age,eduyrs,home,skills,daily,inc4
81,7,No,999,0,Mid-low
27,12,Yes,6,1,Mid-high
64,13,Yes,4,0,Lowest
72,15,Yes,0,1,Lowest
51,12,Yes,2,0,Mid-low
48,12,Yes,10,1,Mid-high
73,17,No,0,0,Lowest
40,12,Yes,10,1,Mid-low
71,11,No,5,0,Lowest
58,19,Yes,9,0,Highest
79,17,No,0,0,Lowest
68,12,Yes,4,0,Mid-low
51,12,No,0,0,Mid-low
48,15,Yes,7,1,Mid-high
35,16,Yes,12,1,Highest
77,11,No,0,0,Lowest
25,16,Yes,12,1,Mid-high
40,11,Yes,4,1,Mid-high
81,13,No,0,0,Lowest
35,12,Yes,10,1,Mid-high
51,12,Yes,3,1,Highest
62,11,No,0,0,Lowest
30,16,Yes,12,1,Mid-low
21,12,Yes,12,1,Mid-high
45,11,Yes,1,1,Mid-low
44,17,Yes,4,1,Mid-low
26,12,Yes,4,1,Mid-high
75,12,Yes,3,0,Lowest
80,13,No,0,0,Lowest
48,12,Yes,10,1,Mid-low
53,19,Yes,5,1,Highest
22,18,Yes,12,1,Mid-high
43,17,Yes,7,0,Highest
71,11,No,0,0,Lowest
72,7,No,0,0,Lowest
40,11,No,3,1,Mid-low
55,16,Yes,9,1,Mid-high
35,11,Yes,3,1,Highest
32,12,Yes,8,1,Highest
51,12,Yes,2,0,Mid-high
43,11,Yes,7,1,Mid-high
82,14,No,0,0,Lowest
64,12,Yes,6,1,Lowest
49,15,Yes,12,1,Lowest
55,12,Yes,8,0,Mid-high
23,16,Yes,12,1,Lowest
60,16,Yes,12,1,Highest
88,8,No,0,0,Lowest
53,12,No,12,0,Lowest
47,11,Yes,10,1,Mid-low
83,15,No,0,0,Lowest
49,16,Yes,9,1,Mid-low
52,17,Yes,11,1,Mid-high
46,12,Yes,7,1,Mid-low
57,11,Yes,8,1,Mid-high
71,11,Yes,4,1,Lowest
70,8,No,0,0,Mid-low
75,8,No,0,0,Lowest
30,18,Yes,9,1,Mid-high
36,11,Yes,4,1,Mid-high
47,11,Yes,6,0,Mid-low
39,18,Yes,7,1,Mid-high
41,16,No,6,1,Mid-low
36,15,Yes,999,1,Mid-low
42,15,Yes,8,1,Mid-high
76,11,Yes,0,0,Lowest
30,18,Yes,11,1,Mid-low
34,17,Yes,8,1,Mid-high
40,11,Yes,5,1,Highest
40,15,Yes,12,1,Highest
27,11,Yes,6,0,Highest
84,12,No,0,0,Lowest
81,11,No,0,0,Lowest
37,12,Yes,9,1,Mid-high
49,10,Yes,6,1,Lowest
34,18,Yes,10,1,Mid-high
75,12,Yes,3,1,Mid-low
37,12,Yes,7,1,Mid-low
33,17,Yes,12,1,Mid-high
74,12,No,0,0,Lowest
22,15,Yes,12,1,Mid-low
53,5,No,9,1,Mid-low
25,19,Yes,5,1,Mid-low
30,18,Yes,9,1,Mid-high
23,7,Yes,5,1,Mid-low
72,11,Yes,0,0,Lowest
61,15,Yes,6,1,Mid-low
59,11,No,0,0,Mid-high
56,8,No,0,0,Lowest
68,7,No,0,0,Lowest
75,14,Yes,7,1,Lowest
45,15,Yes,12,1,Mid-high
36,16,Yes,7,1,Mid-high
69,17,Yes,2,1,Mid-low
82,8,No,0,0,Lowest
42,8,Yes,6,1,Mid-low
49,12,Yes,3,1,Mid-low
72,11,Yes,0,0,Mid-low
71,12,No,0,0,Lowest
67,12,Yes,5,1,Mid-high
31,16,Yes,6,1,Mid-low
69,17,Yes,5,1,Lowest
64,11,Yes,3,1,Highest
57,11,Yes,4,1,Mid-low
67,4,Yes,0,0,Lowest
67,11,No,0,0,Lowest
63,7,No,0,0,Lowest
73,8,No,0,0,Mid-low
53,15,Yes,3,1,Mid-low
46,18,Yes,12,1,Highest
45,11,No,6,1,Lowest
59,10,Yes,9,1,Mid-low
20,12,Yes,8,1,Highest
79,11,No,0,0,Lowest
78,7,No,0,0,Lowest
57,18,Yes,3,1,Mid-high
62,11,No,0,0,Mid-high
31,13,Yes,5,1,Lowest
72,7,No,0,0,Lowest
70,17,Yes,8,1,Mid-high
38,11,Yes,6,1,Mid-high
89,10,No,0,0,Lowest
32,12,Yes,6,1,Mid-high
47,12,Yes,12,1,Mid-high
60,11,Yes,5,0,Mid-low
80,8,No,0,0,Lowest
35,17,Yes,12,1,Mid-high
56,15,Yes,4,1,Mid-high
63,16,Yes,0,0,Mid-high
35,12,Yes,12,1,Mid-high
48,11,Yes,4,1,Mid-high
36,11,No,0,0,Lowest
52,11,Yes,5,1,Mid-high
70,11,No,0,0,Lowest
86,11,No,0,0,Lowest
78,11,No,2,0,Lowest
54,16,Yes,8,1,Mid-high
19,12,Yes,12,1,Highest
82,7,No,0,0,Lowest
63,12,Yes,4,1,Mid-high
51,20,Yes,9,1,Mid-high
49,11,Yes,0,1,Mid-high
56,11,Yes,4,1,Mid-low
84,12,No,0,0,Mid-low
38,16,Yes,6,0,Mid-high
55,12,Yes,7,1,Mid-high
36,24,Yes,3,1,Lowest
43,12,Yes,10,1,Mid-high
20,12,Yes,6,1,Highest
35,11,No,0,0,Mid-low
47,15,Yes,12,1,Mid-high
47,12,Yes,7,1,Highest
72,14,Yes,1,1,Mid-low
44,12,Yes,11,1,Mid-high
45,11,No,0,0,Mid-high
56,12,Yes,2,1,Mid-high
76,12,No,0,0,Lowest
26,12,Yes,5,1,Mid-low
60,17,Yes,10,1,Mid-high
47,17,Yes,11,1,Mid-high
52,11,No,0,0,Lowest
57,11,Yes,8,0,Lowest
36,12,Yes,11,1,Mid-low
75,12,Yes,0,0,Mid-high
69,5,No,0,0,Lowest
86,4,No,0,0,Mid-high
57,17,Yes,8,1,Highest
22,10,Yes,5,1,Mid-high
71,16,Yes,3,1,Mid-high
65,11,Yes,6,0,Mid-high
46,16,Yes,12,1,Highest
60,16,Yes,8,1,Mid-high
61,11,Yes,4,1,Lowest
67,18,No,0,0,Mid-low
54,18,Yes,9,1,Mid-low
52,12,Yes,6,1,Mid-high
68,11,Yes,0,0,Lowest
77,11,Yes,0,1,Lowest
38,16,Yes,7,1,Mid-high
52,4,Yes,0,0,Lowest
51,12,Yes,5,1,Mid-high
47,16,Yes,12,1,Mid-high
43,16,Yes,12,1,Highest
60,11,Yes,2,1,Mid-high
35,16,Yes,9,1,Mid-high
20,13,Yes,12,1,Highest
35,17,Yes,7,1,Mid-high
41,13,Yes,2,1,Highest
28,15,Yes,9,1,Highest
34,12,Yes,5,1,Mid-low
87,4,No,0,0,Mid-low
67,12,No,0,0,Mid-low
63,12,Yes,0,0,Lowest
68,11,No,0,0,Lowest
75,12,No,0,0,Lowest
49,11,Yes,0,1,Mid-high
67,11,No,0,0,Lowest
66,17,Yes,11,1,Mid-high
82,11,No,0,0,Lowest
37,12,Yes,6,1,Mid-high
42,16,Yes,12,1,Mid-high
69,12,No,0,0,Lowest
90,4,No,0,0,Lowest
73,8,Yes,0,1,Lowest
61,16,Yes,9,1,Mid-low
86,11,Yes,0,0,Lowest
85,8,No,0,0,Lowest
62,11,Yes,0,0,Lowest
77,18,Yes,1,1,Mid-low
25,18,Yes,12,1,Lowest
57,11,Yes,0,1,Mid-high
71,8,No,0,0,Lowest
75,12,No,0,0,Lowest
49,17,Yes,12,1,Mid-high
32,12,Yes,3,1,Highest
29,16,Yes,12,1,Mid-high
43,17,Yes,12,1,Highest
64,12,Yes,0,0,Mid-high
68,18,Yes,5,1,Mid-high
29,17,Yes,12,1,Lowest
53,8,Yes,6,1,Highest
27,17,Yes,7,0,Mid-high
73,16,Yes,12,1,Mid-high
27,17,Yes,12,1,Highest
80,4,No,0,0,Lowest
53,12,No,0,0,Mid-high
85,7,Yes,0,0,Lowest
61,13,Yes,0,0,Mid-high
41,12,Yes,9,1,Highest
40,11,Yes,7,1,Mid-high
74,11,No,0,0,Lowest
61,11,Yes,1,0,Mid-low
61,19,Yes,3,1,Mid-low
57,12,Yes,9,1,Mid-high
25,16,Yes,6,1,Mid-high
79,11,No,0,0,Lowest
56,16,Yes,5,1,Lowest
72,16,No,0,0,Mid-low
65,11,Yes,0,1,Lowest
40,12,Yes,6,1,Mid-high
61,12,Yes,6,1,Mid-high
72,11,No,0,0,Lowest
31,16,Yes,12,1,Mid-low
59,11,No,0,0,Lowest
53,11,Yes,3,1,Mid-high
66,13,Yes,1,1,Lowest
53,16,Yes,7,0,Mid-high
66,11,No,0,0,Mid-high
49,11,Yes,6,1,Mid-low
82,10,No,0,0,Lowest
49,10,Yes,0,1,Lowest
55,17,Yes,9,1,Mid-high
74,12,No,0,0,Lowest
66,16,Yes,4,0,Lowest
69,8,No,0,0,Mid-high
46,17,Yes,12,1,Mid-high
57,11,No,0,0,Highest
45,8,Yes,0,1,Mid-high
45,11,Yes,5,1,Mid-high
62,12,No,0,0,Mid-high
49,16,Yes,7,1,Mid-high
77,12,No,0,0,Lowest
61,14,Yes,6,0,Mid-low
86,12,No,0,0,Lowest
37,12,Yes,6,1,Mid-high
54,18,Yes,8,1,Highest
58,11,Yes,2,0,Highest
46,15,Yes,12,1,Mid-high
31,14,Yes,2,0,Mid-high
78,19,No,0,0,Lowest
56,16,Yes,3,1,Mid-high
71,11,No,0,0,Lowest
74,13,No,0,0,Lowest
77,13,No,0,0,Mid-high
45,11,Yes,5,0,Mid-high
68,8,No,0,0,Lowest
50,11,Yes,0,1,Mid-low
53,11,Yes,5,0,Mid-low
71,12,Yes,0,0,Lowest
57,11,No,0,0,Mid-low
59,12,Yes,1,0,Mid-low
48,13,Yes,3,1,Mid-high
24,12,Yes,12,1,Mid-low
45,17,Yes,11,1,Mid-high
51,11,Yes,0,0,Lowest
47,11,Yes,5,1,Mid-high
53,16,Yes,9,1,Mid-low
25,11,Yes,6,1,Mid-high
50,11,Yes,5,0,Mid-low
74,18,Yes,5,1,Mid-low
65,17,Yes,2,0,Mid-low
26,12,Yes,10,1,Mid-high
88,12,Yes,0,0,Lowest
38,12,Yes,8,1,Highest
50,17,Yes,5,0,Mid-high
42,12,Yes,9,1,Mid-high
55,8,Yes,0,1,Lowest
58,12,Yes,12,1,Lowest
61,12,Yes,3,1,Mid-high
45,18,Yes,12,1,Mid-high
