age,educ,sex,race,born,income,raclive,afraid
,13,,white,yes,1,yes,0
71,16,female,white,no,20,yes,0
89,16,female,white,yes,25,yes,0
63,13,female,other,yes,13,yes,0
73,16,male,black,yes,25,yes,0
38,16,female,white,yes,26,yes,0
59,12,female,white,yes,21,yes,0
56,12,female,white,yes,21,yes,0
25,17,male,white,yes,21,yes,0
28,16,female,white,yes,26,yes,1
24,16,female,white,yes,26,no,1
37,19,male,white,yes,26,,0
40,18,female,white,yes,26,yes,0
61,18,female,white,yes,26,yes,0
67,16,female,white,yes,26,yes,0
25,16,female,other,no,20,yes,0
58,12,male,white,yes,19,no,0
84,16,female,white,yes,22,,0
68,12,female,other,yes,9,yes,1
63,11,female,white,yes,20,yes,1
36,16,female,white,yes,23,yes,1
67,14,male,white,yes,22,no,0
53,19,female,white,yes,26,,0
60,16,female,white,yes,23,yes,1
87,12,male,white,yes,15,yes,0
74,20,female,white,yes,25,yes,0
66,14,female,white,yes,2,no,0
46,16,female,white,yes,25,no,0
43,19,male,other,no,22,yes,1
,14,female,black,yes,,yes,1
49,12,male,black,yes,10,yes,0
74,14,male,black,yes,20,yes,1
54,16,female,black,yes,12,yes,1
53,20,male,white,yes,16,yes,1
,17,female,white,yes,,yes,1
62,14,male,white,yes,20,yes,0
65,19,female,white,yes,20,,0
41,20,female,white,yes,10,yes,1
46,16,male,white,no,6,no,1
64,16,female,white,yes,22,yes,1
79,18,female,white,yes,22,yes,1
33,16,female,black,yes,9,yes,0
74,14,male,other,yes,21,yes,0
75,16,female,white,yes,25,yes,1
74,16,male,black,yes,20,yes,0
65,12,male,white,yes,19,yes,1
41,16,female,black,yes,23,yes,0
,18,female,white,yes,,yes,
57,18,male,white,yes,24,yes,0
35,12,female,white,no,,yes,0
36,13,female,other,yes,16,yes,0
43,14,female,black,yes,20,yes,0
,12,female,white,no,11,yes,0
44,13,female,white,yes,24,yes,0
67,10,female,white,yes,9,yes,0
45,14,male,white,yes,23,yes,0
,13,female,white,yes,24,,0
36,16,female,other,no,26,yes,0
40,17,female,white,yes,26,yes,0
33,16,male,white,yes,,yes,0
57,12,male,white,yes,26,yes,0
32,16,female,other,no,21,,0
69,12,male,white,yes,21,no,0
67,20,male,other,yes,26,yes,1
28,10,male,white,yes,1,yes,1
41,12,female,black,yes,11,yes,1
45,14,female,other,yes,6,yes,0
,18,,other,yes,,,1
,16,male,white,yes,22,yes,1
64,12,female,white,yes,13,yes,0
41,9,male,white,yes,20,yes,0
52,14,male,black,yes,19,yes,0
58,12,female,black,yes,19,yes,1
,17,female,black,yes,,no,1
79,6,female,black,yes,20,yes,0
,12,male,other,yes,18,yes,1
85,12,female,white,yes,15,yes,0
,,male,other,no,,,0
53,14,female,white,yes,17,,1
59,13,female,white,yes,18,,1
39,19,male,black,yes,19,yes,0
50,12,female,white,yes,18,,0
37,16,female,other,no,20,,0
35,0,male,other,no,12,yes,1
42,15,female,other,yes,19,yes,0
57,12,female,black,yes,8,yes,1
28,14,female,other,no,8,yes,1
37,12,female,white,yes,4,yes,0
72,17,female,white,yes,22,,1
34,13,female,other,no,3,yes,0
63,18,female,white,yes,26,yes,0
51,17,female,black,yes,10,yes,1
33,12,male,white,yes,22,yes,0
70,20,female,white,yes,26,yes,0
59,14,male,white,yes,26,yes,0
44,14,female,white,yes,17,yes,1
78,16,female,black,yes,26,yes,0
,12,female,other,yes,,,0
46,18,female,black,yes,24,yes,1
37,16,male,white,yes,24,,0
49,14,female,white,yes,1,yes,0
30,16,,white,yes,15,yes,1
50,,male,black,yes,,yes,0
67,12,male,white,yes,19,yes,0
42,15,female,black,no,2,yes,1
20,11,female,white,yes,,,0
65,12,female,white,no,20,yes,1
36,17,female,other,no,18,yes,0
,16,male,white,yes,22,,0
60,16,male,white,yes,26,,0
47,16,male,white,yes,26,yes,0
29,16,female,white,yes,22,yes,0
60,14,female,other,no,25,yes,0
35,19,male,other,no,22,yes,0
43,14,female,white,yes,20,yes,0
64,13,female,white,yes,22,yes,0
34,20,female,white,yes,26,yes,0
39,12,male,white,yes,10,yes,1
68,15,male,other,yes,13,yes,1
32,16,female,white,yes,22,yes,0
29,12,female,other,no,,yes,1
45,12,female,white,yes,7,yes,0
42,18,female,white,yes,21,yes,1
74,16,female,white,yes,19,yes,1
,14,,white,no,,yes,1
32,16,male,white,no,19,yes,1
38,18,male,white,yes,18,yes,1
60,14,female,white,yes,18,yes,1
,14,male,white,yes,18,yes,0
52,12,female,white,yes,8,,1
67,12,male,white,yes,21,yes,1
57,17,male,white,no,,yes,0
,16,male,other,no,26,,0
38,16,female,white,yes,20,yes,0
67,14,female,other,yes,,yes,0
37,16,male,other,no,26,yes,0
58,20,male,,yes,,yes,0
,20,male,other,no,26,yes,0
33,19,male,white,no,22,yes,0
72,14,male,black,yes,19,yes,1
36,12,male,white,yes,16,yes,0
30,16,female,white,yes,23,yes,1
,12,female,white,yes,15,yes,0
46,12,male,other,yes,18,yes,0
33,16,female,white,yes,22,yes,0
34,15,female,white,yes,25,yes,0
52,16,male,white,yes,26,yes,0
39,11,male,white,yes,14,yes,0
78,16,female,white,yes,20,no,0
27,16,female,white,yes,,yes,1
53,15,female,white,yes,18,yes,1
61,15,female,white,yes,23,yes,0
37,13,male,white,yes,16,yes,0
48,12,female,other,yes,3,yes,1
25,18,male,white,yes,3,yes,1
32,19,female,white,yes,,no,0
33,18,male,white,yes,24,yes,0
69,18,male,white,yes,24,no,0
57,15,female,white,yes,18,yes,0
69,14,male,white,no,16,no,0
60,15,male,white,yes,24,,0
,16,male,white,yes,,yes,0
61,18,male,white,yes,23,no,0
61,13,male,white,yes,17,yes,0
65,13,female,white,yes,,yes,0
37,16,female,white,yes,20,no,0
65,13,male,other,no,9,yes,0
63,15,male,white,no,16,no,0
34,13,female,white,yes,17,no,1
65,20,male,white,yes,26,yes,0
,16,female,white,yes,18,yes,1
29,16,female,,yes,21,yes,0
67,17,female,white,yes,23,yes,0
29,16,female,white,yes,22,yes,1
,,,other,,,yes,1
69,17,male,white,yes,26,yes,1
44,16,female,white,yes,22,yes,1
35,16,male,white,no,21,yes,0
57,16,male,white,yes,20,no,0
,19,female,other,no,26,no,0
60,16,female,white,yes,25,,0
66,12,male,white,yes,18,no,0
32,18,male,white,yes,25,no,0
72,16,male,white,yes,19,yes,0
,15,female,black,yes,21,yes,1
24,16,male,white,yes,18,yes,1
57,12,female,white,yes,11,yes,0
76,13,male,white,yes,13,yes,0
52,12,female,white,yes,19,yes,1
64,18,female,black,yes,1,yes,1
36,14,female,black,yes,1,yes,1
42,16,male,white,yes,23,yes,0
39,12,female,white,yes,21,yes,0
66,16,male,white,yes,25,yes,0
44,20,female,other,no,22,,0
63,13,female,white,yes,21,no,0
59,12,female,white,yes,22,yes,0
70,19,female,white,yes,,yes,0
59,13,female,white,yes,,yes,1
66,12,male,white,yes,11,yes,0
74,17,female,white,yes,25,yes,0
80,19,male,white,yes,23,yes,0
75,19,male,white,yes,26,yes,0
49,16,male,white,yes,26,yes,0
42,19,male,white,yes,22,no,0
60,15,female,black,no,10,yes,1
37,14,female,white,yes,26,yes,1
37,13,male,white,yes,13,yes,0
27,13,male,white,,19,yes,1
67,17,female,white,yes,18,yes,1
73,14,female,white,yes,12,yes,0
22,16,female,white,yes,14,yes,1
,16,female,other,,,,0
47,14,male,white,yes,26,yes,0
59,18,female,white,yes,26,yes,1
48,14,female,white,yes,16,,0
30,16,female,white,yes,18,,1
65,14,female,white,yes,15,yes,1
32,14,female,white,yes,18,yes,0
67,17,female,white,yes,,yes,1
34,13,male,white,yes,20,yes,0
,16,female,other,yes,,yes,1
69,18,male,other,yes,22,yes,0
,,,black,,,yes,0
45,12,male,other,no,8,yes,0
41,16,male,white,yes,24,yes,0
51,18,male,white,yes,26,yes,0
39,18,male,white,yes,22,yes,0
89,12,male,white,yes,15,yes,1
70,16,female,white,yes,22,no,1
60,14,male,white,yes,26,yes,0
79,19,male,black,yes,21,yes,0
53,15,male,white,yes,19,yes,0
,12,male,white,yes,23,yes,0
64,14,female,white,yes,18,yes,1
49,16,female,other,yes,22,yes,0
55,14,female,white,yes,16,yes,0
42,20,female,white,yes,20,yes,0
62,14,male,white,yes,,yes,1
56,11,female,white,yes,13,yes,1
44,12,female,white,yes,20,,0
30,14,female,white,yes,18,,0
79,12,male,white,yes,9,yes,1
65,14,female,white,yes,15,,0
43,9,male,white,yes,22,yes,0
43,12,female,black,yes,15,yes,1
31,9,female,white,yes,5,yes,1
43,13,female,black,yes,11,yes,1
26,12,female,black,yes,2,,0
31,16,female,other,no,13,yes,1
64,18,female,white,yes,22,yes,0
31,14,female,other,yes,14,yes,1
47,13,male,white,yes,15,yes,0
27,16,female,white,yes,25,yes,1
30,15,female,white,yes,18,yes,1
,,,white,,,yes,1
36,17,male,white,no,10,yes,1
26,18,female,white,yes,17,yes,1
45,16,female,white,yes,24,no,1
45,18,male,white,yes,,no,0
79,17,female,white,yes,,yes,0
25,17,male,white,yes,26,yes,0
,16,,black,no,,yes,0
40,18,female,white,yes,23,yes,0
28,17,female,white,yes,22,yes,1
36,18,male,white,yes,20,yes,1
37,18,male,white,yes,22,yes,0
61,10,female,white,yes,15,yes,1
52,19,female,white,yes,22,yes,1
65,16,male,other,yes,17,yes,0
65,14,female,white,yes,15,no,0
61,18,male,white,yes,8,yes,0
,12,,other,yes,,,0
49,12,female,white,yes,17,,1
22,13,male,white,yes,10,yes,0
50,18,male,white,yes,19,yes,1
89,18,male,white,yes,13,yes,1
56,12,male,black,yes,15,yes,1
,14,male,white,yes,,yes,0
45,12,male,white,yes,21,yes,1
37,0,female,other,no,18,yes,1
68,15,female,white,,,yes,1
18,11,male,black,yes,19,yes,0
42,12,male,white,yes,22,yes,0
37,19,female,white,yes,23,yes,1
44,12,male,white,yes,23,yes,0
63,20,male,white,yes,17,yes,0
29,17,male,white,yes,17,yes,1
37,16,female,white,yes,25,yes,0
66,16,female,white,yes,8,yes,0
52,17,male,white,yes,26,yes,0
55,15,female,white,yes,25,yes,0
44,16,female,white,yes,24,yes,0
64,12,female,white,yes,,yes,0
59,18,male,white,yes,22,,0
53,14,female,white,yes,21,yes,1
30,11,male,white,yes,8,,1
48,19,male,white,yes,25,,1
50,18,male,white,yes,23,,1
61,18,male,white,yes,24,,0
53,20,male,white,yes,21,yes,1
61,16,male,white,yes,8,yes,1
30,17,female,white,yes,4,yes,1
,20,male,other,yes,,no,0
62,14,female,other,yes,24,no,1
44,14,female,white,yes,21,yes,1
60,16,male,white,yes,23,,0
66,12,male,white,yes,21,yes,0
,,,black,,,yes,0
69,17,male,white,yes,18,yes,0
47,20,male,white,yes,23,yes,0
62,11,female,white,yes,7,yes,1
80,12,female,white,yes,3,yes,1
47,16,male,white,no,23,yes,1
37,16,male,white,yes,25,yes,1
54,14,female,white,no,19,yes,0
47,14,female,white,yes,9,yes,1
59,10,male,white,yes,2,yes,0
57,12,male,white,yes,25,,0
,13,female,black,yes,21,yes,0
33,12,female,white,,15,yes,0
41,15,male,white,yes,20,yes,0
,12,female,white,no,9,no,0
58,18,female,white,yes,23,,1
27,17,male,white,yes,16,no,0
57,15,female,white,yes,20,,0
49,6,female,other,no,9,,0
46,12,female,white,yes,17,yes,0
81,14,female,white,yes,20,yes,
35,16,female,white,yes,18,yes,1
28,8,female,white,yes,16,yes,1
70,14,male,white,yes,18,yes,1
57,14,male,white,yes,24,yes,1
44,12,female,white,yes,24,yes,1
,15,male,white,yes,25,,0
35,16,male,white,yes,20,yes,0
41,16,female,white,yes,23,yes,1
42,15,male,white,yes,18,,0
41,,female,white,,23,yes,1
47,18,male,white,yes,,,0
34,14,female,white,yes,12,yes,0
43,12,female,white,yes,20,yes,1
72,15,female,white,yes,,yes,0
46,20,female,white,yes,24,yes,0
,10,male,white,yes,18,yes,0
59,12,male,black,yes,10,yes,0
67,15,female,white,yes,22,yes,0
32,8,male,other,no,20,yes,0
29,17,female,white,yes,20,yes,1
71,15,female,white,yes,19,,1
64,14,male,white,yes,22,yes,1
73,14,male,white,yes,16,yes,0
,17,female,white,no,,yes,0
77,16,female,white,yes,21,yes,0
70,16,female,white,yes,18,yes,0
72,15,female,white,yes,19,yes,1
,18,male,white,yes,20,yes,0
67,14,male,white,yes,26,yes,1
36,10,male,white,yes,18,yes,0
,12,male,white,yes,19,yes,0
67,12,female,white,yes,20,yes,1
41,14,female,white,yes,21,yes,0
51,19,male,white,yes,26,,0
34,18,male,white,yes,22,no,0
22,16,female,white,yes,26,yes,1
21,14,male,white,yes,,yes,0
64,17,female,white,yes,23,yes,1
49,18,female,white,yes,24,yes,1
67,18,male,white,yes,9,yes,0
33,17,female,white,yes,16,yes,1
31,17,female,other,yes,,yes,0
74,12,female,white,yes,26,yes,1
33,15,female,white,yes,21,yes,1
40,12,male,white,,9,,0
62,12,female,white,yes,13,yes,1
51,12,male,white,yes,21,yes,0
53,16,female,black,yes,20,yes,1
33,14,female,black,yes,22,yes,0
51,14,male,other,yes,,yes,1
53,12,female,white,yes,21,yes,1
46,14,male,black,yes,17,yes,0
72,18,male,white,yes,19,yes,0
63,18,male,white,yes,23,yes,0
70,14,female,white,yes,12,yes,0
71,11,female,white,yes,17,yes,1
46,12,male,white,yes,23,yes,0
36,16,female,white,yes,22,yes,0
72,14,male,white,yes,22,yes,1
42,16,female,white,yes,21,yes,0
76,19,male,white,yes,26,yes,1
69,16,female,other,no,18,yes,0
44,16,male,white,yes,20,yes,0
43,20,female,white,yes,23,yes,1
39,13,female,black,yes,14,yes,1
75,18,male,white,yes,24,yes,0
89,12,female,white,yes,,yes,0
28,17,male,black,yes,25,yes,0
21,12,female,black,yes,9,yes,1
56,15,female,black,yes,15,yes,0
56,15,female,black,yes,12,yes,0
37,14,male,white,yes,22,yes,1
34,12,female,white,yes,15,yes,0
37,14,female,black,yes,18,yes,1
49,16,male,white,no,23,yes,0
81,16,male,white,yes,26,yes,0
70,16,female,white,yes,19,yes,0
78,12,female,white,yes,17,yes,1
74,12,female,white,yes,20,no,0
23,12,female,,yes,7,yes,0
76,16,female,white,yes,20,yes,1
79,14,male,white,yes,25,yes,0
66,13,female,white,yes,17,yes,1
,16,female,black,yes,2,yes,1
22,15,female,white,yes,11,,1
54,12,male,white,yes,20,no,0
54,14,female,white,yes,20,yes,0
39,12,female,white,yes,8,yes,0
38,16,male,white,yes,21,yes,1
42,20,female,black,yes,18,yes,1
43,17,female,black,yes,1,,1
37,12,female,black,yes,16,no,0
36,12,male,white,yes,10,yes,1
62,14,female,other,yes,17,yes,1
60,11,female,black,yes,14,no,1
80,16,female,black,yes,3,yes,1
80,18,female,white,yes,21,no,0
71,16,male,white,yes,19,yes,0
62,16,female,white,yes,21,yes,0
29,17,female,other,yes,6,yes,0
50,18,female,white,yes,26,yes,0
,,,white,,,,0
34,15,male,white,no,20,no,0
66,16,female,white,yes,23,yes,1
52,11,female,white,yes,9,yes,0
65,14,male,white,yes,19,yes,1
42,15,male,black,no,19,yes,1
53,14,female,black,yes,20,yes,0
,16,female,white,yes,21,yes,0
74,12,male,white,yes,19,no,0
,12,female,white,yes,,no,0
41,14,female,white,yes,19,,0
28,14,female,white,yes,15,no,0
83,12,male,white,yes,,no,0
32,13,female,white,yes,18,no,1
41,15,female,white,yes,20,,1
43,14,male,white,yes,,yes,1
49,13,female,white,yes,2,yes,0
76,12,female,white,yes,15,yes,1
38,11,female,white,yes,10,yes,1
46,13,female,black,yes,24,yes,0
,12,male,white,yes,,yes,0
48,16,female,white,yes,22,yes,1
29,12,female,white,yes,11,yes,0
73,15,male,white,yes,19,no,0
35,12,female,white,yes,9,no,0
69,19,male,white,yes,26,no,0
53,15,male,white,yes,11,yes,1
,,,white,,,,0
53,14,female,white,yes,17,,0
30,14,female,other,yes,,yes,0
70,,male,white,yes,9,yes,0
52,12,female,white,yes,9,no,0
49,20,male,white,yes,19,yes,1
48,16,male,white,yes,25,yes,0
69,11,male,white,yes,11,yes,0
24,17,female,white,yes,11,yes,0
31,17,male,,yes,15,yes,0
49,16,male,white,yes,26,yes,0
65,16,female,white,yes,24,,0
26,13,female,white,yes,12,,1
77,12,male,white,yes,22,no,0
29,12,male,white,yes,,,0
69,16,male,white,yes,15,yes,0
62,16,male,white,yes,13,yes,0
25,12,male,white,yes,18,yes,1
25,14,female,white,yes,10,yes,1
22,12,male,white,yes,,,0
82,17,female,white,yes,13,yes,1
76,12,female,white,yes,16,yes,0
35,14,female,white,yes,19,yes,1
69,16,female,other,yes,23,yes,0
76,12,female,white,yes,17,,0
31,14,male,white,yes,17,yes,0
50,17,male,white,yes,26,yes,0
52,13,male,white,yes,21,yes,0
84,12,male,white,yes,18,yes,0
41,16,female,white,yes,18,,1
28,16,male,white,yes,21,yes,1
69,12,female,white,yes,20,no,0
44,14,female,white,yes,10,yes,0
61,12,female,white,yes,17,yes,0
40,20,female,white,yes,21,no,0
75,16,male,white,yes,21,no,0
69,12,female,white,yes,20,,0
63,16,male,white,yes,23,no,0
75,14,male,white,yes,18,yes,0
61,12,male,white,yes,21,yes,0
89,12,male,white,yes,17,,1
53,11,female,white,yes,26,no,0
,,,white,,,no,0
80,15,female,black,yes,13,yes,0
66,13,female,white,yes,20,no,0
35,12,male,white,yes,20,yes,0
81,16,male,white,yes,19,yes,0
21,12,male,white,yes,18,yes,1
89,12,female,white,yes,17,yes,0
69,14,male,white,yes,18,,0
70,12,female,white,yes,10,yes,1
70,12,male,white,yes,11,yes,1
38,13,male,white,yes,26,,0
51,18,male,white,yes,26,,0
79,12,female,white,yes,19,,0
80,12,female,white,yes,11,yes,1
39,12,female,white,,22,yes,0
30,12,female,white,yes,16,yes,0
33,12,female,white,no,10,yes,1
29,13,male,other,yes,11,yes,0
22,14,female,white,yes,18,,1
59,16,female,other,no,19,yes,0
61,12,female,white,yes,11,yes,1
46,12,female,white,no,14,yes,0
39,14,female,white,yes,21,yes,0
72,12,male,white,no,,yes,1
55,12,female,white,yes,19,yes,1
51,14,male,other,yes,17,yes,0
23,15,female,white,yes,6,yes,1
55,18,female,white,yes,22,yes,0
,,,white,,,,0
53,18,male,white,yes,,no,1
59,20,male,white,yes,25,no,0
61,20,male,white,yes,19,,1
33,18,male,white,yes,1,yes,0
27,19,male,other,yes,13,yes,1
25,17,female,white,no,19,yes,1
65,13,male,white,yes,18,yes,1
55,14,female,black,yes,23,yes,0
25,10,male,white,yes,1,yes,0
61,20,male,white,yes,25,yes,0
77,20,male,other,no,16,no,1
67,13,male,white,yes,14,yes,0
,18,male,other,yes,7,yes,1
27,16,female,white,no,22,,0
50,18,female,white,yes,25,yes,0
72,16,male,white,yes,20,yes,0
71,16,male,white,yes,24,yes,0
56,16,female,white,yes,26,yes,1
35,16,female,white,yes,19,yes,1
72,12,female,white,yes,19,yes,1
35,14,male,white,yes,,,0
46,16,male,other,no,,yes,0
28,16,male,white,yes,25,yes,1
32,7,male,other,,12,no,1
32,20,male,white,yes,20,yes,1
43,14,female,white,yes,12,yes,1
34,11,female,white,yes,19,,1
47,16,female,white,yes,26,yes,1
59,18,female,white,yes,23,yes,0
,16,male,white,yes,13,,0
,12,male,other,yes,10,yes,0
46,15,male,white,yes,20,yes,1
69,18,female,white,yes,26,yes,1
62,19,female,white,yes,21,yes,1
55,13,female,white,yes,16,no,0
,10,,white,yes,9,yes,1
78,12,female,white,yes,10,no,1
72,12,female,white,yes,14,,1
71,12,female,white,yes,18,yes,0
85,12,female,white,yes,20,yes,0
76,17,male,white,yes,24,,0
35,16,male,black,no,22,yes,0
54,14,female,white,yes,10,yes,1
28,17,male,other,yes,19,,1
77,14,female,white,yes,,yes,0
69,14,male,white,yes,25,yes,1
77,18,male,white,yes,20,no,0
60,20,female,white,yes,21,no,0
,12,female,white,yes,18,yes,0
,,,white,,,no,0
75,12,female,white,yes,18,no,0
43,15,male,white,yes,25,,0
75,12,male,white,yes,17,,0
76,18,female,white,yes,22,yes,1
31,17,female,white,yes,16,yes,1
47,12,male,white,yes,14,yes,1
48,18,male,white,yes,26,yes,0
,13,female,white,yes,18,,1
38,18,female,white,yes,,,1
23,12,female,white,yes,9,,1
31,16,female,white,yes,17,yes,0
47,13,male,other,yes,20,yes,0
89,16,male,white,yes,17,no,0
60,15,male,white,yes,18,yes,0
89,11,male,white,yes,16,yes,1
53,13,male,white,yes,15,,0
62,12,male,white,yes,25,no,0
60,12,female,white,yes,20,yes,0
54,12,female,white,yes,10,no,0
73,16,female,white,yes,12,yes,1
25,15,female,white,yes,16,no,1
42,13,female,white,yes,,no,1
49,12,female,white,yes,15,yes,1
37,14,female,white,yes,14,yes,1
30,12,female,white,no,11,,1
67,17,female,white,yes,15,yes,1
37,19,female,white,yes,7,yes,0
26,15,male,white,yes,18,yes,0
55,20,male,white,yes,3,yes,0
70,13,female,white,yes,20,yes,0
,14,female,white,yes,22,no,0
32,18,male,white,yes,19,yes,0
33,14,male,white,yes,20,yes,0
38,14,female,white,yes,,no,0
42,16,female,white,yes,24,,1
68,18,female,white,yes,22,yes,0
70,20,male,white,yes,23,yes,0
67,14,female,black,yes,17,yes,1
89,14,male,white,yes,21,yes,0
49,16,male,white,yes,22,yes,0
57,14,male,white,yes,21,yes,1
25,12,female,black,yes,,yes,1
68,18,female,white,yes,18,no,0
65,16,female,white,yes,17,,0
,11,female,white,yes,9,no,0
58,15,female,white,yes,21,yes,0
66,12,female,white,yes,11,,0
,13,,white,yes,24,no,1
67,17,male,white,yes,26,yes,0
55,15,female,white,yes,7,no,0
57,14,female,white,yes,10,no,0
,16,,white,,,no,0
64,12,male,white,yes,9,no,1
55,16,male,white,yes,20,yes,0
39,16,female,white,yes,19,yes,0
27,17,female,white,yes,13,yes,1
27,16,male,white,yes,21,yes,0
81,12,female,white,yes,18,yes,0
57,12,female,white,yes,18,yes,1
42,20,female,white,yes,26,yes,0
56,12,female,white,yes,15,no,0
55,12,female,white,yes,14,yes,1
30,14,female,white,yes,,yes,0
22,13,female,black,yes,,yes,1
51,15,female,white,yes,9,yes,1
65,16,female,white,yes,26,no,0
57,12,female,white,yes,22,,0
79,12,male,white,yes,,,0
52,17,female,white,yes,22,no,0
73,15,male,white,yes,17,no,0
78,11,female,white,yes,7,yes,1
38,16,male,white,yes,20,,0
45,14,female,white,yes,21,yes,1
,13,female,black,no,8,yes,1
28,12,female,black,yes,14,,1
68,12,female,black,yes,13,no,0
35,18,male,white,yes,21,no,0
29,12,female,white,yes,,yes,0
64,16,male,black,yes,18,yes,0
62,15,female,black,yes,19,yes,0
34,9,male,white,yes,15,yes,0
43,16,female,white,yes,17,yes,0
30,17,female,white,yes,21,no,1
57,15,female,white,yes,18,no,0
45,12,male,black,yes,,yes,0
37,14,female,white,yes,19,,1
,,,black,,,yes,0
62,14,female,white,yes,21,yes,1
41,14,female,black,yes,3,no,0
89,6,male,black,yes,,yes,0
46,16,male,white,yes,1,yes,0
53,16,female,white,yes,,yes,1
45,12,female,black,yes,,yes,0
73,12,female,white,yes,10,yes,1
,12,male,white,yes,,yes,0
85,15,male,white,no,12,yes,0
60,10,female,white,yes,,yes,1
36,12,female,white,yes,19,yes,0
33,14,female,white,yes,19,yes,1
69,12,male,white,yes,21,yes,1
70,13,male,white,yes,14,no,0
52,15,male,white,yes,20,yes,0
37,12,male,other,yes,,no,0
50,10,female,black,yes,1,yes,0
,17,female,white,no,15,no,0
49,14,female,white,yes,8,no,0
66,12,male,white,yes,18,no,0
63,19,male,white,yes,18,yes,0
67,12,female,white,yes,,yes,1
,18,female,white,yes,,,1
41,16,male,white,yes,21,yes,0
44,15,male,white,yes,20,yes,1
64,20,male,white,yes,18,,0
80,18,female,white,yes,17,yes,0
51,20,male,white,no,21,yes,0
71,16,male,white,yes,20,no,0
40,16,female,white,yes,21,yes,0
48,13,male,white,yes,24,yes,0
