YYYY,Month,MM,DD,DD365,Tmax,Tmin,Tmean,Trange,Rainfall_mm
1827,Feb,2,10,41,2.8,-4.4,-0.8,7.2,0
1827,Feb,2,11,42,1.7,-2.2,-0.3,3.9,0
1827,Feb,2,12,43,3.3,-1.1,1.1,4.4,0
1827,Feb,2,13,44,2.2,-1.1,0.6,3.3,0
1827,Feb,2,14,45,4.4,-4.4,0,8.8,0
1827,Feb,2,15,46,2.2,-1.1,0.6,3.3,0
1827,Feb,2,16,47,-0.6,-8.3,-4.5,7.7,0
1827,Feb,2,17,48,-1.7,-11.7,-6.7,10,0
1827,Feb,2,18,49,-1.1,-7.2,-4.2,6.1,0
1827,Feb,2,19,50,-1.7,-7.2,-4.5,5.5,0
1827,Feb,2,20,51,1.1,-10,-4.5,11.1,0
1827,Feb,2,21,52,2.2,-4.4,-1.1,6.6,0
1827,Feb,2,22,53,3.3,-1.1,1.1,4.4,0
1827,Feb,2,23,54,3.9,-8.3,-2.2,12.2,0
1827,Feb,2,24,55,4.4,-2.2,1.1,6.6,0
1827,Feb,2,25,56,2.8,-9.4,-3.3,12.2,0
1827,Feb,2,26,57,8.9,0,4.5,8.9,0
1827,Feb,2,27,58,11.7,7.8,9.8,3.9,0
1827,Feb,2,28,59,10,1.1,5.6,8.9,20
1827,Mar,3,1,60,11.7,3.9,7.8,7.8,0
1827,Mar,3,2,61,6.7,0.6,3.7,6.1,0
1827,Mar,3,3,62,8.3,0,4.2,8.3,16.3
1827,Mar,3,4,63,8.3,4.4,6.4,3.9,0
1827,Mar,3,5,64,8.9,-1.7,3.6,10.6,0
1827,Mar,3,6,65,9.4,3.9,6.7,5.5,16.8
1827,Mar,3,7,66,9.4,1.1,5.3,8.3,0
1827,Mar,3,8,67,8.3,5.6,7,2.7,0
1827,Mar,3,9,68,3.9,-2.2,0.9,6.1,0
1827,Mar,3,10,69,8.9,-4.4,2.3,13.3,0
1827,Mar,3,11,70,11.7,2.2,7,9.5,0
1827,Mar,3,12,71,11.7,6.7,9.2,5,0
1827,Mar,3,13,72,12.8,7.2,10,5.6,0
1827,Mar,3,14,73,9.4,6.7,8.1,2.7,0
1827,Mar,3,15,74,7.8,5,6.4,2.8,9.6
1827,Mar,3,16,75,8.3,0.6,4.5,7.7,0
1827,Mar,3,17,76,8.3,5.6,7,2.7,3.4
1827,Mar,3,18,77,6.1,0,3.1,6.1,0
1827,Mar,3,19,78,10,-1.1,4.5,11.1,0
1827,Mar,3,20,79,12.2,3.3,7.8,8.9,0.7
1827,Mar,3,21,80,11.7,8.3,10,3.4,0
1827,Mar,3,22,81,12.8,6.7,9.8,6.1,0
1827,Mar,3,23,82,13.3,6.1,9.7,7.2,0
1827,Mar,3,24,83,13.9,6.7,10.3,7.2,0
1827,Mar,3,25,84,8.3,5.6,7,2.7,0
1827,Mar,3,26,85,8.3,-1.1,3.6,9.4,0
1827,Mar,3,27,86,11.1,1.1,6.1,10,0
1827,Mar,3,28,87,11.7,5,8.4,6.7,0
1827,Mar,3,29,88,8.9,2.2,5.6,6.7,8.4
1827,Mar,3,30,89,8.3,1.1,4.7,7.2,0
1827,Mar,3,31,90,9.4,1.1,5.3,8.3,0
1827,Apr,4,1,91,11.1,3.3,7.2,7.8,0
1827,Apr,4,2,92,15,8.3,11.7,6.7,3.4
1827,Apr,4,3,93,13.9,7.2,10.6,6.7,0
1827,Apr,4,4,94,14.4,8.3,11.4,6.1,0
1827,Apr,4,5,95,17.2,6.7,12,10.5,0
1827,Apr,4,6,96,17.8,9.4,13.6,8.4,0
1827,Apr,4,7,97,14.4,6.7,10.6,7.7,0
1827,Apr,4,8,98,17.2,0.6,8.9,16.6,0
1827,Apr,4,9,99,16.1,7.2,11.7,8.9,0
1827,Apr,4,10,100,15.6,7.2,11.4,8.4,0
1827,Apr,4,11,101,15,5.6,10.3,9.4,2.3
1827,Apr,4,12,102,12.8,5.6,9.2,7.2,0
1827,Apr,4,13,103,13.3,3.3,8.3,10,5
1827,Apr,4,14,104,13.9,1.7,7.8,12.2,0
1827,Apr,4,15,105,13.9,6.1,10,7.8,0
1827,Apr,4,16,106,10.6,6.7,8.7,3.9,0
1827,Apr,4,17,107,11.1,2.8,7,8.3,0
1827,Apr,4,18,108,9.4,3.9,6.7,5.5,0
1827,Apr,4,19,109,12.2,4.4,8.3,7.8,2.5
1827,Apr,4,20,110,10.6,3.3,7,7.3,0
1827,Apr,4,21,111,8.9,5.6,7.3,3.3,0
1827,Apr,4,22,112,6.7,3.9,5.3,2.8,0
1827,Apr,4,23,113,9.4,2.2,5.8,7.2,4.8
1827,Apr,4,24,114,9.4,2.2,5.8,7.2,2.3
1827,Apr,4,25,115,11.7,0,5.9,11.7,0
1827,Apr,4,26,116,13.9,-2.2,5.9,16.1,0
1827,Apr,4,27,117,15.6,1.7,8.7,13.9,0
1827,Apr,4,28,118,21,-1.2,9.9,22.2,0
1827,Apr,4,29,119,24.3,2.1,13.2,22.2,0
1827,Apr,4,30,120,25.4,4.7,15.1,20.7,0
1827,May,5,1,121,21.7,6.4,14.1,15.3,0
1827,May,5,2,122,20,7,13.5,13,0
1827,May,5,3,123,19.4,5.3,12.4,14.1,0
1827,May,5,4,124,18.3,4.2,11.3,14.1,0
1827,May,5,5,125,17.2,7.5,12.4,9.7,0
1827,May,5,6,126,13.9,8.6,11.3,5.3,0
1827,May,5,7,127,12.8,2.1,7.5,10.7,15.9
1827,May,5,8,128,11.7,-3.4,4.2,15.1,0
1827,May,5,9,129,16.7,-0.2,8.3,16.9,0
1827,May,5,10,130,16.7,-2.3,7.2,19,0
1827,May,5,11,131,15,0.4,7.7,14.6,0
1827,May,5,12,132,15.5,0.4,8,15.1,0
1827,May,5,13,133,15,-2.8,6.1,17.8,0
1827,May,5,14,134,15.5,0.4,8,15.1,0
1827,May,5,15,135,21,4.2,12.6,16.8,3.3
1827,May,5,16,136,20.7,3.4,12.1,17.3,0
1827,May,5,17,137,19.5,5.7,12.6,13.8,3.8
1827,May,5,18,138,22.2,7.7,15,14.5,7.4
1827,May,5,19,139,24.2,5.2,14.7,19,0
1827,May,5,20,140,23.8,3.4,13.6,20.4,0
1827,May,5,21,141,23.9,13.3,18.6,10.6,0
1827,May,5,22,142,21.7,7.1,14.4,14.6,0
1827,May,5,23,143,21.4,8.6,15,12.8,0
1827,May,5,24,144,18.3,7.3,12.8,11,0
1827,May,5,25,145,19.6,1.6,10.6,18,3.2
1827,May,5,26,146,20.6,4.6,12.6,16,0
1827,May,5,27,147,18.9,5.1,12,13.8,4.2
1827,May,5,28,148,18.9,8.6,13.8,10.3,0
1827,May,5,29,149,19.4,9.1,14.3,10.3,3
1827,May,5,30,150,21.7,5.8,13.8,15.9,0
1827,May,5,31,151,19.4,-1.2,9.1,20.6,0
1827,Jun,6,1,152,19,5.3,12.2,13.7,0
1827,Jun,6,2,153,19.3,4.2,11.8,15.1,0
1827,Jun,6,3,154,18.4,2,10.2,16.4,0
1827,Jun,6,4,155,14.5,4.7,9.6,9.8,7.2
1827,Jun,6,5,156,17.9,5.3,11.6,12.6,0
1827,Jun,6,6,157,14.5,4.7,9.6,9.8,0
1827,Jun,6,7,158,18.4,3.7,11.1,14.7,18.6
1827,Jun,6,8,159,21.2,0.4,10.8,20.8,0
1827,Jun,6,9,160,24,5.8,14.9,18.2,0
1827,Jun,6,10,161,21.2,8.1,14.7,13.1,0
1827,Jun,6,11,162,23.4,6.4,14.9,17,0
1827,Jun,6,12,163,22.3,5.8,14.1,16.5,0
1827,Jun,6,13,164,23.4,7,15.2,16.4,0
1827,Jun,6,14,165,19.5,6.4,13,13.1,0
1827,Jun,6,15,166,20.6,9.6,15.1,11,0
1827,Jun,6,16,167,23.8,9.6,16.7,14.2,1
1827,Jun,6,17,168,25.1,9.6,17.4,15.5,0
1827,Jun,6,18,169,24.5,10.2,17.4,14.3,0
1827,Jun,6,19,170,22.3,7,14.7,15.3,0
1827,Jun,6,20,171,21.8,13,17.4,8.8,1.2
1827,Jun,6,21,172,14.5,3.7,9.1,10.8,0
1827,Jun,6,22,173,20.1,3.7,11.9,16.4,0.9
1827,Jun,6,23,174,19,7,13,12,0
1827,Jun,6,24,175,20.6,3.7,12.2,16.9,0
1827,Jun,6,25,176,23.4,7.5,15.5,15.9,0
1827,Jun,6,26,177,24.1,4.1,14.1,20,0
1827,Jun,6,27,178,22.7,9.4,16.1,13.3,0.6
1827,Jun,6,28,179,24.5,9.7,17.1,14.8,6.1
1827,Jun,6,29,180,26.2,10,18.1,16.2,5.3
1827,Jun,6,30,181,24.4,8.1,16.3,16.3,0
1827,Jul,7,1,182,21.8,10.1,16,11.7,1.6
1827,Jul,7,2,183,22.9,9.1,16,13.8,15.1
1827,Jul,7,3,184,25.6,7.5,16.6,18.1,0
1827,Jul,7,4,185,24,6.4,15.2,17.6,0
1827,Jul,7,5,186,24.5,11.3,17.9,13.2,1.8
1827,Jul,7,6,187,26.8,4.7,15.8,22.1,0
1827,Jul,7,7,188,26.2,13,19.6,13.2,0
1827,Jul,7,8,189,29,9.1,19.1,19.9,0
1827,Jul,7,9,190,26.8,10,18.4,16.8,0
1827,Jul,7,10,191,24,8.6,16.3,15.4,0
1827,Jul,7,11,192,23.4,10.2,16.8,13.2,0
1827,Jul,7,12,193,23.4,4.7,14.1,18.7,0
1827,Jul,7,13,194,27.3,8.1,17.7,19.2,0
1827,Jul,7,14,195,24.4,5.8,15.1,18.6,0
1827,Jul,7,15,196,23.4,5.5,14.5,17.9,0
1827,Jul,7,16,197,29.5,6.4,18,23.1,0
1827,Jul,7,17,198,27.9,8.6,18.3,19.3,0
1827,Jul,7,18,199,22.9,10.7,16.8,12.2,0
1827,Jul,7,19,200,21.8,9.1,15.5,12.7,0.4
1827,Jul,7,20,201,21.8,10.2,16,11.6,3.3
1827,Jul,7,21,202,21.8,5.8,13.8,16,0
1827,Jul,7,22,203,22.3,6.4,14.4,15.9,0
1827,Jul,7,23,204,26.8,12.4,19.6,14.4,8.3
1827,Jul,7,24,205,26.2,12.4,19.3,13.8,0
1827,Jul,7,25,206,24.5,12.4,18.5,12.1,0
1827,Jul,7,26,207,23.4,7,15.2,16.4,3.1
1827,Jul,7,27,208,25.6,10.2,17.9,15.4,3.7
1827,Jul,7,28,209,26.8,9.6,18.2,17.2,0
1827,Jul,7,29,210,27.9,10.3,19.1,17.6,0.5
1827,Jul,7,30,211,24,16.2,20.1,7.8,0
1827,Jul,7,31,212,27.3,7.5,17.4,19.8,0
1827,Aug,8,1,213,27.8,8.6,18.2,19.2,0
1827,Aug,8,2,214,28.9,6.4,17.7,22.5,0
1827,Aug,8,3,215,25.5,7,16.3,18.5,0
1827,Aug,8,4,216,23.3,11.3,17.3,12,1.3
1827,Aug,8,5,217,21.1,10.2,15.7,10.9,0
1827,Aug,8,6,218,22.8,8.1,15.5,14.7,1.5
1827,Aug,8,7,219,23.3,4.7,14,18.6,0
1827,Aug,8,8,220,23.3,3.7,13.5,19.6,0
1827,Aug,8,9,221,24.4,5.8,15.1,18.6,0
1827,Aug,8,10,222,23.3,5.3,14.3,18,1.2
1827,Aug,8,11,223,20.5,5.3,12.9,15.2,0
1827,Aug,8,12,224,21.1,7,14.1,14.1,2.4
1827,Aug,8,13,225,21.1,3.7,12.4,17.4,0
1827,Aug,8,14,226,23.3,10.7,17,12.6,3.5
1827,Aug,8,15,227,22.2,13,17.6,9.2,6.9
1827,Aug,8,16,228,21.7,9.6,15.7,12.1,0
1827,Aug,8,17,229,21.7,9.6,15.7,12.1,25.5
1827,Aug,8,18,230,17.2,9.1,13.2,8.1,2.2
1827,Aug,8,19,231,19.4,7,13.2,12.4,0
1827,Aug,8,20,232,19.4,8.1,13.8,11.3,0
1827,Aug,8,21,233,18.9,11.1,15,7.8,1.1
1827,Aug,8,22,234,20.6,11.1,15.9,9.5,0
1827,Aug,8,23,235,22.2,11.1,16.7,11.1,0
1827,Aug,8,24,236,17.6,11.7,14.7,5.9,0
1827,Aug,8,25,237,15.9,11.6,13.8,4.3,0
1827,Aug,8,26,238,15.6,9.9,12.8,5.7,0
1827,Aug,8,27,239,19.7,5.7,12.7,14,0
1827,Aug,8,28,240,18.9,11.1,15,7.8,0
1827,Aug,8,29,241,17.2,9.8,13.5,7.4,0.1
1827,Aug,8,30,242,18.3,6.6,12.5,11.7,0
1827,Aug,8,31,243,18.3,11.5,14.9,6.8,0
1827,Sep,9,1,244,20,7.2,13.6,12.8,0
1827,Sep,9,2,245,19.4,7.8,13.6,11.6,0
1827,Sep,9,3,246,18.9,9.4,14.2,9.5,0
1827,Sep,9,4,247,16.1,11.7,13.9,4.4,0
1827,Sep,9,5,248,17.2,11.1,14.2,6.1,0
1827,Sep,9,6,249,15.6,7.8,11.7,7.8,0
1827,Sep,9,7,250,15.6,7.8,11.7,7.8,0
1827,Sep,9,8,251,17.8,9.4,13.6,8.4,0
1827,Sep,9,9,252,17.8,12.2,15,5.6,0
1827,Sep,9,10,253,20.6,13.3,17,7.3,14.8
1827,Sep,9,11,254,21.7,16.7,19.2,5,4.5
1827,Sep,9,12,255,17.8,14.4,16.1,3.4,9.7
1827,Sep,9,13,256,18.3,10,14.2,8.3,1.1
1827,Sep,9,14,257,19.4,14.4,16.9,5,0
1827,Sep,9,15,258,18.9,15,17,3.9,0
1827,Sep,9,16,259,19.4,15.6,17.5,3.8,0
1827,Sep,9,17,260,20,15,17.5,5,0
1827,Sep,9,18,261,20.6,15,17.8,5.6,0
1827,Sep,9,19,262,15,7.8,11.4,7.2,0
1827,Sep,9,20,263,18.3,7.8,13.1,10.5,13
1827,Sep,9,21,264,17.8,7.2,12.5,10.6,0
1827,Sep,9,22,265,16.7,8.9,12.8,7.8,1.6
1827,Sep,9,23,266,16.7,6.9,11.8,9.8,1.6
1827,Sep,9,24,267,16.7,7.2,12,9.5,0
1827,Sep,9,25,268,17.8,9.4,13.6,8.4,0
1827,Sep,9,26,269,19.4,11.7,15.6,7.7,0
1827,Sep,9,27,270,20.6,11.1,15.9,9.5,17.8
1827,Sep,9,28,271,18.3,10,14.2,8.3,0
1827,Sep,9,29,272,16.7,12.2,14.5,4.5,0
1827,Sep,9,30,273,18.3,12.8,15.6,5.5,24.1
1827,Oct,10,1,274,17.8,11.1,14.5,6.7,0
1827,Oct,10,2,275,17.8,11.1,14.5,6.7,0
1827,Oct,10,3,276,14.4,10,12.2,4.4,0
1827,Oct,10,4,277,14.4,7.2,10.8,7.2,0
1827,Oct,10,5,278,15.6,7.8,11.7,7.8,0
1827,Oct,10,6,279,16.1,7.8,12,8.3,0
1827,Oct,10,7,280,15,7.2,11.1,7.8,0
1827,Oct,10,8,281,15.6,10,12.8,5.6,0
1827,Oct,10,9,282,16.1,11.7,13.9,4.4,38.7
1827,Oct,10,10,283,12.2,6.7,9.5,5.5,0
1827,Oct,10,11,284,11.7,7.2,9.5,4.5,21.3
1827,Oct,10,12,285,11.7,6.7,9.2,5,0
1827,Oct,10,13,286,12.8,7.8,10.3,5,0
1827,Oct,10,14,287,13.3,12.8,13.1,0.5,0
1827,Oct,10,15,288,16.1,9.4,12.8,6.7,0
1827,Oct,10,16,289,16.7,13.3,15,3.4,0
1827,Oct,10,17,290,16.1,9.4,12.8,6.7,0
1827,Oct,10,18,291,16.7,5.6,11.2,11.1,0
1827,Oct,10,19,292,16.7,10,13.4,6.7,0
1827,Oct,10,20,293,10.6,9.7,10.2,0.9,1.6
1827,Oct,10,21,294,15,14.1,14.6,0.9,0
1827,Oct,10,22,295,15,10.6,12.8,4.4,4.8
1827,Oct,10,23,296,13.3,11.1,12.2,2.2,14.8
1827,Oct,10,24,297,15.6,9.4,12.5,6.2,16.6
1827,Oct,10,25,298,15,10,12.5,5,0
1827,Oct,10,26,299,15.6,11.7,13.7,3.9,4.4
1827,Oct,10,27,300,15.6,11.1,13.4,4.5,0
1827,Oct,10,28,301,8.3,7.8,8.1,0.5,0
1827,Oct,10,29,302,8.3,0.6,4.5,7.7,11.7
1827,Oct,10,30,303,10,1.7,5.9,8.3,0
1827,Oct,10,31,304,11.1,3.9,7.5,7.2,1.3
1827,Nov,11,1,305,11.1,1.1,6.1,10,0
1827,Nov,11,2,306,11.1,3.3,7.2,7.8,0
1827,Nov,11,3,307,10.6,0.6,5.6,10,0
1827,Nov,11,4,308,13.9,7.9,10.9,6,0
1827,Nov,11,5,309,13.9,7.8,10.9,6.1,0
1827,Nov,11,6,310,12.8,10.6,11.7,2.2,0
1827,Nov,11,7,311,12.2,8.9,10.6,3.3,0
1827,Nov,11,8,312,10,7.2,8.6,2.8,0
1827,Nov,11,9,313,12.8,8.3,10.6,4.5,0
1827,Nov,11,10,314,11.7,7.2,9.5,4.5,1.5
1827,Nov,11,11,315,12.2,8.9,10.6,3.3,0
1827,Nov,11,12,316,12.8,8.3,10.6,4.5,0
1827,Nov,11,13,317,15.6,9.4,12.5,6.2,0
1827,Nov,11,14,318,10,9.4,9.7,0.6,0
1827,Nov,11,15,319,10,7.8,8.9,2.2,9.3
1827,Nov,11,16,320,9.4,6.1,7.8,3.3,0
1827,Nov,11,17,321,10.6,0.6,5.6,10,10
1827,Nov,11,18,322,8.9,6.5,7.7,2.4,0
1827,Nov,11,19,323,10,6.7,8.4,3.3,0
1827,Nov,11,20,324,8.9,7.2,8.1,1.7,0
1827,Nov,11,21,325,2.8,2.2,2.5,0.6,0.4
1827,Nov,11,22,326,1.7,-5.6,-2,7.3,0
1827,Nov,11,23,327,0.6,-5.6,-2.5,6.2,0
1827,Nov,11,24,328,0.6,-3.3,-1.4,3.9,0
1827,Nov,11,25,329,6.1,-4.4,0.9,10.5,0
1827,Nov,11,26,330,7.8,2.8,5.3,5,0
1827,Nov,11,27,331,8.9,3.3,6.1,5.6,0
1827,Nov,11,28,332,7.2,3.3,5.3,3.9,0
1827,Nov,11,29,333,10,5.6,7.8,4.4,18.5
1827,Nov,11,30,334,11.7,6.7,9.2,5,5.5
1827,Dec,12,1,335,10.6,8.9,9.8,1.7,0
1827,Dec,12,2,336,7.8,6.1,7,1.7,0
1827,Dec,12,3,337,10,6.1,8.1,3.9,1.6
1827,Dec,12,4,338,11.7,5.6,8.7,6.1,0
1827,Dec,12,5,339,12.2,8.9,10.6,3.3,0
1827,Dec,12,6,340,7.8,6.7,7.3,1.1,1.8
1827,Dec,12,7,341,9.4,-0.1,4.7,9.5,0
1827,Dec,12,8,342,12.9,4.4,8.7,8.5,1.3
1827,Dec,12,9,343,10.6,-1.1,4.8,11.7,0
1827,Dec,12,10,344,11.7,1.7,6.7,10,0
1827,Dec,12,11,345,10,5.6,7.8,4.4,0
1827,Dec,12,12,346,6.1,1.1,3.6,5,7
1827,Dec,12,13,347,7.2,1.7,4.5,5.5,2.9
1827,Dec,12,14,348,10.6,2.2,6.4,8.4,0
1827,Dec,12,15,349,11.1,5,8.1,6.1,0
1827,Dec,12,16,350,7.1,5.6,6.4,1.5,16.9
1827,Dec,12,17,351,10.9,1.1,6,9.8,0
1827,Dec,12,18,352,12.1,5.7,8.9,6.4,2.5
1827,Dec,12,19,353,12.2,9.8,11,2.4,8.7
1827,Dec,12,20,354,8.4,7.7,8.1,0.7,3.6
1827,Dec,12,21,355,9.3,2.8,6.1,6.5,0
1827,Dec,12,22,356,9.8,3.6,6.7,6.2,0
1827,Dec,12,23,357,11.1,5.9,8.5,5.2,2.9
1827,Dec,12,24,358,12.2,3.9,8.1,8.3,14.8
1827,Dec,12,25,359,8.9,2.2,5.6,6.7,0
1827,Dec,12,26,360,10,5,7.5,5,0
1827,Dec,12,27,361,10.6,7.2,8.9,3.4,0
1827,Dec,12,28,362,4.4,0.6,2.5,3.8,0
1827,Dec,12,29,363,1.1,-1.1,0,2.2,0
1827,Dec,12,30,364,3.9,-4.4,-0.3,8.3,0
1827,Dec,12,31,365,7.8,0,3.9,7.8,7.7
1828,Jan,1,1,1,7.2,3.3,5.3,3.9,0
1828,Jan,1,2,2,10,1.1,5.6,8.9,0
1828,Jan,1,3,3,6.7,2.8,4.8,3.9,12.8
1828,Jan,1,4,4,4.4,0,2.2,4.4,0
1828,Jan,1,5,5,3.3,0,1.7,3.3,3.6
1828,Jan,1,6,6,2.8,0.6,1.7,2.2,0
1828,Jan,1,7,7,3.3,-1.1,1.1,4.4,0
1828,Jan,1,8,8,2.2,-1.1,0.6,3.3,0
1828,Jan,1,9,9,-1.1,-1.1,-1.1,0,0
1828,Jan,1,10,10,-0.6,-5,-2.8,4.4,0
1828,Jan,1,11,11,2.8,-4.4,-0.8,7.2,0
1828,Jan,1,12,12,7.8,-2.8,2.5,10.6,0
1828,Jan,1,13,13,7.8,1.7,4.8,6.1,24.5
1828,Jan,1,14,14,3.3,2.2,2.8,1.1,0
1828,Jan,1,15,15,1.7,1.1,1.4,0.6,1.7
1828,Jan,1,16,16,7.8,0,3.9,7.8,0
1828,Jan,1,17,17,8.9,1.7,5.3,7.2,16.9
1828,Jan,1,18,18,12.8,8.3,10.6,4.5,3.4
1828,Jan,1,19,19,12.8,7.8,10.3,5,0
1828,Jan,1,20,20,11.7,8.6,10.2,3.1,0
1828,Jan,1,21,21,10,5.6,7.8,4.4,0
1828,Jan,1,22,22,11.1,6.7,8.9,4.4,0
1828,Jan,1,23,23,10.6,6.7,8.7,3.9,0
1828,Jan,1,24,24,11.1,5,8.1,6.1,0
1828,Jan,1,25,25,11.7,8.3,10,3.4,0
1828,Jan,1,26,26,8.3,3.9,6.1,4.4,0.4
1828,Jan,1,27,27,10,5.6,7.8,4.4,0
1828,Jan,1,28,28,6.1,0.6,3.4,5.5,0
1828,Jan,1,29,29,8.3,3.9,6.1,4.4,0
1828,Jan,1,30,30,8.3,2.8,5.6,5.5,0
1828,Jan,1,31,31,10,3.3,6.7,6.7,1.7
1828,Feb,2,1,32,10,8.9,9.5,1.1,0
1828,Feb,2,2,33,8.8,6.1,7.5,2.7,0
1828,Feb,2,3,34,9.4,1.3,5.4,8.1,0
1828,Feb,2,4,35,11.7,2.2,7,9.5,0.5
1828,Feb,2,5,36,11.7,8.3,10,3.4,0
1828,Feb,2,6,37,10.6,7.2,8.9,3.4,0
1828,Feb,2,7,38,8.3,3.9,6.1,4.4,0
1828,Feb,2,8,39,5.6,1.1,3.4,4.5,2.9
1828,Feb,2,9,40,4.4,1.1,2.8,3.3,0
1828,Feb,2,10,41,2.2,0.6,1.4,1.6,0
1828,Feb,2,11,42,1.7,-2.2,-0.3,3.9,0
1828,Feb,2,12,43,-0.6,-3.3,-2,2.7,0
1828,Feb,2,13,44,1.7,-3.3,-0.8,5,0
1828,Feb,2,14,45,2.8,-1.1,0.9,3.9,7.5
1828,Feb,2,15,46,3.9,-1.1,1.4,5,0
1828,Feb,2,16,47,5.3,-3.9,0.7,9.2,0
1828,Feb,2,17,48,4.4,-1.7,1.4,6.1,0
1828,Feb,2,18,49,6.7,-0.6,3.1,7.3,0
1828,Feb,2,19,50,8.3,1.7,5,6.6,0
1828,Feb,2,20,51,9.4,2.2,5.8,7.2,0
1828,Feb,2,21,52,7.2,3.9,5.6,3.3,0
1828,Feb,2,22,53,8.3,2.2,5.3,6.1,0
1828,Feb,2,23,54,5,3.9,4.5,1.1,3.5
1828,Feb,2,24,55,8.9,1.7,5.3,7.2,0
1828,Feb,2,25,56,11.7,5.6,8.7,6.1,0
1828,Feb,2,26,57,13.9,10.6,12.3,3.3,5.4
1828,Feb,2,27,58,15,8.9,12,6.1,0
1828,Feb,2,28,59,11.1,5.6,8.4,5.5,0
1828,Feb,2,29,60,15.2,4.4,9.8,10.8,0
1828,Mar,3,1,61,9.1,7.8,8.5,1.3,0
1828,Mar,3,2,62,7.8,5.6,6.7,2.2,0
1828,Mar,3,3,63,8.9,0.6,4.8,8.3,0
1828,Mar,3,4,64,10.6,3.3,7,7.3,0
1828,Mar,3,5,65,6.1,-1.1,2.5,7.2,0
1828,Mar,3,6,66,2.8,-2.8,0,5.6,0
1828,Mar,3,7,67,5.6,-4.4,0.6,10,0
1828,Mar,3,8,68,13.9,1.7,7.8,12.2,2
1828,Mar,3,9,69,12.8,8.9,10.9,3.9,0
1828,Mar,3,10,70,12.8,6.1,9.5,6.7,0
1828,Mar,3,11,71,15,6.1,10.6,8.9,0
1828,Mar,3,12,72,11.1,6.1,8.6,5,0
1828,Mar,3,13,73,15.6,6.7,11.2,8.9,0
1828,Mar,3,14,74,13.3,6.7,10,6.6,0
1828,Mar,3,15,75,16.5,2.8,9.7,13.7,0
1828,Mar,3,16,76,11.1,7.6,9.4,3.5,0
1828,Mar,3,17,77,15,8.9,12,6.1,1.3
1828,Mar,3,18,78,12.8,6.7,9.8,6.1,0
1828,Mar,3,19,79,10,7.2,8.6,2.8,0.7
1828,Mar,3,20,80,10,3.9,7,6.1,0
1828,Mar,3,21,81,9.4,3.3,6.4,6.1,0
1828,Mar,3,22,82,7.2,0.6,3.9,6.6,0.5
1828,Mar,3,23,83,7.2,-1.1,3.1,8.3,0
1828,Mar,3,24,84,7.8,-1.1,3.4,8.9,0
1828,Mar,3,25,85,7.8,0,3.9,7.8,0
1828,Mar,3,26,86,8.3,-3.3,2.5,11.6,0
