ID,Sex,Age,EthnicGroup,Education,SES,DeprivationIndex,bcsvictim,effectx,fairx,confx,antisocx
135254090.00,2.00,32.00,1.00,4.00,5.00,3.00,0.00,-0.21,-2.17,1.08,-0.30
135255050.00,2.00,53.00,1.00,3.00,1.00,5.00,0.00,0.45,-0.02,-0.32,-0.41
135255130.00,2.00,33.00,1.00,2.00,4.00,4.00,0.00,-0.44,-0.68,-1.28,1.41
135255290.00,2.00,64.00,1.00,4.00,1.00,3.00,0.00,9999.00,9999.00,9999.00,0.20
135258170.00,2.00,32.00,1.00,4.00,1.00,1.00,0.00,1.06,0.96,1.98,-0.27
135260210.00,2.00,48.00,1.00,4.00,1.00,4.00,0.00,0.70,9999.00,0.34,-0.43
135263170.00,2.00,64.00,1.00,4.00,2.00,1.00,0.00,-0.18,-0.53,-0.82,-0.75
135267050.00,2.00,54.00,1.00,2.00,5.00,1.00,0.00,2.18,1.25,3.12,2.69
135267090.00,1.00,51.00,1.00,4.00,1.00,2.00,1.00,9999.00,9999.00,9999.00,9999.00
135267170.00,2.00,29.00,1.00,2.00,3.00,2.00,0.00,0.99,-0.53,-0.12,2.02
135267290.00,1.00,48.00,1.00,4.00,1.00,4.00,0.00,-0.14,-0.14,-0.12,-0.71
135272210.00,2.00,63.00,3.00,5.00,5.00,2.00,0.00,9999.00,9999.00,-1.23,9999.00
135274130.00,2.00,96.00,1.00,1.00,1.00,3.00,0.00,9999.00,9999.00,9999.00,9999.00
135277050.00,1.00,24.00,1.00,2.00,5.00,1.00,1.00,-0.77,-0.53,-0.11,0.50
135280210.00,2.00,20.00,3.00,3.00,5.00,1.00,0.00,9999.00,-0.39,-0.32,2.43
135281010.00,2.00,31.00,1.00,2.00,4.00,1.00,1.00,1.88,9999.00,-1.04,1.93
135281050.00,2.00,36.00,1.00,4.00,5.00,2.00,0.00,-1.34,-1.23,0.07,-0.73
135282130.00,2.00,51.00,1.00,2.00,3.00,3.00,0.00,-0.73,9999.00,-0.12,0.24
135282290.00,2.00,46.00,1.00,4.00,2.00,5.00,1.00,1.03,9999.00,-0.12,0.01
135284050.00,2.00,38.00,1.00,2.00,1.00,3.00,0.00,-1.06,-0.53,-0.12,-1.22
135284090.00,2.00,47.00,9999.00,1.00,1.00,5.00,0.00,-0.77,-0.73,0.43,-0.97
135284290.00,2.00,26.00,1.00,3.00,1.00,1.00,0.00,-1.34,9999.00,-1.72,1.49
135287050.00,2.00,18.00,1.00,3.00,1.00,2.00,0.00,0.12,0.92,-0.08,0.97
135290090.00,1.00,19.00,1.00,3.00,8.00,2.00,0.00,-0.47,9999.00,-0.52,0.47
135290170.00,2.00,66.00,1.00,3.00,1.00,5.00,0.00,-0.45,-0.10,-0.32,0.78
135290210.00,2.00,69.00,1.00,1.00,5.00,5.00,0.00,9999.00,9999.00,-1.23,-1.22
135292050.00,1.00,53.00,1.00,4.00,3.00,5.00,0.00,-0.44,-0.14,-0.32,1.01
135292090.00,1.00,48.00,1.00,5.00,5.00,3.00,0.00,1.01,1.90,1.07,1.54
135293050.00,1.00,21.00,1.00,3.00,4.00,4.00,0.00,-0.48,9999.00,-0.32,-1.22
135296210.00,1.00,20.00,3.00,3.00,7.00,4.00,0.00,9999.00,0.62,0.79,0.42
135297250.00,1.00,41.00,1.00,3.00,1.00,4.00,0.00,-0.47,-0.53,-0.32,-0.75
135298130.00,2.00,21.00,1.00,2.00,5.00,1.00,0.00,0.69,1.60,0.76,0.69
135298170.00,1.00,51.00,1.00,2.00,4.00,2.00,0.00,9999.00,-0.40,2.04,-0.19
135300170.00,2.00,71.00,1.00,1.00,1.00,4.00,0.00,2.18,1.03,1.27,-0.52
135302010.00,1.00,39.00,1.00,4.00,3.00,3.00,0.00,-1.34,-0.35,0.13,-1.22
135303050.00,1.00,66.00,1.00,1.00,4.00,4.00,0.00,1.29,0.27,2.01,-1.22
135303170.00,2.00,64.00,1.00,2.00,3.00,4.00,1.00,9999.00,9999.00,1.27,-1.22
135303210.00,1.00,37.00,1.00,3.00,3.00,1.00,0.00,0.72,1.57,-0.34,-0.28
135304010.00,2.00,21.00,1.00,2.00,1.00,1.00,0.00,9999.00,9999.00,0.37,0.49
135306130.00,2.00,53.00,3.00,2.00,8.00,3.00,0.00,9999.00,9999.00,9999.00,-0.54
135306210.00,1.00,42.00,1.00,4.00,2.00,5.00,0.00,0.14,0.36,0.34,-0.73
135306290.00,1.00,56.00,1.00,1.00,3.00,5.00,0.00,1.63,2.56,-0.32,-0.50
135307050.00,2.00,56.00,1.00,2.00,4.00,2.00,1.00,1.90,9999.00,1.24,0.88
135307210.00,1.00,23.00,3.00,4.00,8.00,1.00,1.00,9999.00,9999.00,9999.00,3.80
135309210.00,2.00,40.00,1.00,5.00,5.00,4.00,0.00,-1.90,-1.91,-0.33,-1.22
135311050.00,1.00,42.00,1.00,2.00,1.00,1.00,0.00,-1.34,-0.80,0.58,0.53
135313010.00,2.00,41.00,1.00,1.00,4.00,4.00,0.00,9999.00,9999.00,1.47,-0.52
135319210.00,1.00,33.00,1.00,1.00,2.00,4.00,0.00,1.62,1.55,-0.77,-1.00
135321250.00,2.00,21.00,1.00,4.00,3.00,4.00,0.00,-0.19,0.58,1.97,0.02
135331010.00,2.00,53.00,1.00,4.00,3.00,2.00,0.00,-0.16,-0.11,1.03,1.11
135332170.00,2.00,30.00,1.00,1.00,5.00,4.00,0.00,-0.48,-0.86,-0.32,0.01
135335130.00,1.00,44.00,1.00,2.00,1.00,4.00,0.00,0.15,-0.76,-0.32,-1.22
135337210.00,2.00,66.00,1.00,2.00,1.00,9999.00,0.00,1.59,0.68,-1.52,-0.94
135339250.00,2.00,28.00,1.00,4.00,5.00,1.00,1.00,1.02,0.68,0.58,2.49
135341170.00,1.00,75.00,1.00,5.00,5.00,9999.00,1.00,9999.00,9999.00,-1.12,-0.29
135342170.00,2.00,30.00,1.00,2.00,3.00,9999.00,0.00,0.39,9999.00,1.07,-1.00
135343090.00,2.00,76.00,1.00,1.00,5.00,9999.00,0.00,-1.05,9999.00,-0.32,-1.22
135343330.00,2.00,19.00,1.00,1.00,5.00,9999.00,0.00,0.66,1.58,2.87,-0.43
135344130.00,1.00,31.00,1.00,3.00,5.00,9999.00,0.00,-0.17,0.52,0.62,0.97
135345050.00,2.00,53.00,1.00,5.00,4.00,9999.00,1.00,1.87,9999.00,0.48,2.24
135345330.00,2.00,32.00,1.00,3.00,3.00,9999.00,1.00,9999.00,0.59,1.34,1.90
135349210.00,1.00,79.00,1.00,1.00,5.00,3.00,0.00,-1.34,-0.83,-0.32,-1.22
135349250.00,1.00,31.00,1.00,4.00,1.00,3.00,0.00,0.08,-0.53,-1.52,0.21
135349370.00,1.00,65.00,1.00,3.00,2.00,3.00,0.00,0.72,1.26,-0.63,-0.74
135351010.00,2.00,54.00,1.00,1.00,5.00,1.00,0.00,-0.43,9999.00,0.56,1.56
135354010.00,1.00,43.00,4.00,4.00,5.00,1.00,1.00,-1.31,9999.00,-0.99,1.55
135354290.00,2.00,33.00,1.00,4.00,2.00,2.00,0.00,-0.14,9999.00,-0.32,1.01
135354330.00,1.00,47.00,3.00,2.00,4.00,2.00,1.00,-1.03,-0.53,-0.32,0.23
135355130.00,2.00,30.00,1.00,4.00,2.00,1.00,0.00,-0.43,-0.17,-0.33,1.08
135356090.00,2.00,48.00,1.00,4.00,1.00,3.00,0.00,9999.00,9999.00,1.33,-0.28
135357010.00,2.00,67.00,1.00,3.00,1.00,2.00,0.00,0.71,0.01,-0.12,-0.46
135357290.00,1.00,42.00,1.00,3.00,1.00,4.00,0.00,-0.47,0.95,-0.32,-0.75
135360130.00,2.00,17.00,1.00,3.00,7.00,3.00,1.00,-0.76,-0.08,0.17,1.89
135362090.00,2.00,50.00,1.00,2.00,1.00,5.00,1.00,-0.14,-1.19,-1.02,0.45
135365170.00,2.00,42.00,4.00,5.00,6.00,2.00,1.00,-0.19,-0.90,-0.08,1.41
135366290.00,1.00,34.00,1.00,4.00,1.00,5.00,0.00,-0.45,-1.12,-1.02,0.06
135366330.00,2.00,34.00,1.00,4.00,1.00,5.00,0.00,-0.50,-1.01,-0.08,-1.22
135367090.00,2.00,17.00,1.00,2.00,5.00,4.00,1.00,-1.04,-0.17,-0.32,-0.21
135367130.00,1.00,35.00,1.00,4.00,1.00,5.00,0.00,-0.46,-0.41,-0.31,0.01
135369050.00,2.00,37.00,1.00,2.00,1.00,3.00,0.00,-0.17,9999.00,0.13,0.26
135369090.00,2.00,33.00,1.00,3.00,4.00,2.00,0.00,9999.00,-0.50,-0.57,0.78
135369290.00,2.00,39.00,1.00,2.00,2.00,1.00,1.00,-0.15,9999.00,1.07,2.49
135370130.00,1.00,27.00,1.00,2.00,6.00,3.00,0.00,-0.15,-0.17,1.33,1.45
135371250.00,1.00,44.00,1.00,4.00,1.00,2.00,0.00,-0.47,-0.68,-0.11,-0.02
135373050.00,2.00,54.00,5.00,1.00,6.00,3.00,0.00,9999.00,9999.00,1.45,-1.00
135375010.00,2.00,9999.00,1.00,4.00,1.00,2.00,0.00,-1.34,-1.13,-0.32,0.69
135375130.00,1.00,9999.00,1.00,3.00,2.00,1.00,0.00,-1.34,-0.50,1.40,0.74
135376010.00,1.00,52.00,3.00,1.00,5.00,2.00,0.00,9999.00,9999.00,-0.32,9999.00
135376130.00,2.00,36.00,4.00,1.00,1.00,2.00,0.00,9999.00,9999.00,-0.99,-0.43
135377090.00,1.00,26.00,1.00,4.00,2.00,2.00,0.00,0.08,9999.00,1.07,0.52
135378090.00,1.00,52.00,1.00,3.00,5.00,2.00,0.00,-1.34,-0.53,-0.32,0.51
135378290.00,1.00,35.00,1.00,1.00,6.00,2.00,0.00,9999.00,9999.00,-0.73,0.76
135379130.00,1.00,69.00,1.00,1.00,5.00,1.00,0.00,0.14,9999.00,-0.12,-1.00
135380010.00,1.00,32.00,1.00,4.00,1.00,2.00,1.00,0.40,-0.29,-0.57,1.43
135380090.00,1.00,23.00,1.00,3.00,1.00,1.00,1.00,-0.43,-1.29,1.08,0.92
135380210.00,2.00,43.00,4.00,4.00,2.00,1.00,0.00,-1.05,9999.00,-0.32,1.44
135380250.00,1.00,37.00,1.00,4.00,1.00,3.00,0.00,9999.00,9999.00,1.06,-0.02
135381250.00,1.00,60.00,1.00,4.00,1.00,3.00,0.00,0.12,-1.01,-0.11,-0.50
135382130.00,2.00,49.00,4.00,5.00,5.00,1.00,0.00,9999.00,9999.00,-1.48,3.59
135382210.00,1.00,57.00,1.00,4.00,1.00,2.00,1.00,-0.80,-1.15,-0.11,0.48
135382250.00,1.00,68.00,1.00,1.00,3.00,3.00,0.00,9999.00,9999.00,9999.00,-1.22
135382290.00,1.00,44.00,1.00,4.00,1.00,3.00,0.00,9999.00,9999.00,-1.01,-0.21
135383090.00,1.00,62.00,1.00,1.00,3.00,3.00,0.00,0.44,0.18,0.84,1.14
135383170.00,1.00,31.00,1.00,4.00,1.00,2.00,1.00,0.98,-1.52,1.07,2.00
135383210.00,1.00,75.00,1.00,1.00,5.00,1.00,0.00,1.01,1.07,0.57,0.72
135386130.00,2.00,66.00,4.00,5.00,2.00,2.00,0.00,9999.00,-0.68,-0.32,0.72
135387090.00,2.00,31.00,1.00,3.00,1.00,4.00,1.00,0.98,9999.00,0.82,0.96
135392010.00,1.00,26.00,1.00,3.00,1.00,2.00,0.00,9999.00,9999.00,-0.57,0.00
135392050.00,1.00,79.00,1.00,1.00,3.00,2.00,0.00,9999.00,0.01,-0.12,-0.55
135395170.00,2.00,55.00,1.00,3.00,5.00,2.00,1.00,0.44,0.27,-1.52,0.24
135396290.00,2.00,46.00,1.00,4.00,1.00,4.00,0.00,0.12,9999.00,0.32,0.44
135397090.00,1.00,80.00,1.00,1.00,4.00,1.00,0.00,9999.00,9999.00,-1.72,-1.00
135397170.00,1.00,39.00,1.00,3.00,1.00,1.00,0.00,2.18,2.86,3.62,0.42
135397250.00,1.00,44.00,1.00,4.00,1.00,3.00,0.00,-1.09,-0.97,-1.51,-0.44
135398010.00,2.00,72.00,1.00,4.00,1.00,4.00,0.00,1.31,1.39,9999.00,9999.00
135398130.00,2.00,79.00,1.00,4.00,1.00,5.00,0.00,0.44,0.31,-0.25,-0.71
135398290.00,2.00,49.00,1.00,4.00,1.00,5.00,0.00,2.18,9999.00,9999.00,-0.24
135398330.00,2.00,62.00,1.00,2.00,5.00,5.00,0.00,-0.44,0.85,-0.12,0.24
135402250.00,2.00,44.00,1.00,4.00,1.00,4.00,1.00,9999.00,9999.00,-0.77,-0.78
135403050.00,1.00,28.00,1.00,3.00,5.00,3.00,0.00,-0.76,9999.00,-0.79,-0.97
135403170.00,2.00,28.00,1.00,2.00,5.00,3.00,0.00,0.38,-0.34,1.30,1.41
135403210.00,1.00,65.00,1.00,3.00,5.00,4.00,1.00,0.71,9999.00,0.34,1.94
135405170.00,1.00,21.00,1.00,1.00,2.00,3.00,1.00,1.63,0.94,0.83,-1.22
135405290.00,1.00,23.00,1.00,4.00,7.00,2.00,0.00,0.11,-0.09,-0.32,-0.47
135407090.00,2.00,21.00,1.00,2.00,5.00,2.00,0.00,-0.74,-0.44,-0.32,1.70
135407130.00,2.00,42.00,1.00,4.00,1.00,2.00,0.00,-1.34,-0.86,0.07,1.76
135407210.00,1.00,52.00,1.00,4.00,3.00,1.00,0.00,2.18,9999.00,3.21,1.64
135407250.00,2.00,59.00,1.00,2.00,3.00,1.00,0.00,0.45,0.16,-1.72,-1.00
135410210.00,2.00,32.00,1.00,4.00,1.00,4.00,0.00,9999.00,9999.00,0.34,0.23
135414130.00,1.00,69.00,1.00,1.00,4.00,4.00,0.00,9999.00,9999.00,0.12,-0.05
135415250.00,1.00,55.00,1.00,2.00,2.00,2.00,0.00,-0.47,1.25,0.58,-0.51
135415330.00,2.00,41.00,1.00,4.00,1.00,4.00,0.00,-0.47,-0.68,-0.32,0.31
135420090.00,2.00,61.00,1.00,2.00,3.00,3.00,0.00,1.03,0.62,-0.11,2.16
135421050.00,1.00,59.00,1.00,4.00,1.00,4.00,0.00,-0.43,-0.61,0.62,-1.00
135423170.00,1.00,39.00,1.00,2.00,1.00,2.00,0.00,-0.14,-0.20,1.06,-0.71
135423290.00,2.00,24.00,1.00,2.00,5.00,1.00,0.00,9999.00,9999.00,0.62,-0.05
135427130.00,1.00,56.00,1.00,4.00,1.00,4.00,0.00,9999.00,-2.03,-1.28,-1.22
135427290.00,1.00,30.00,1.00,2.00,3.00,5.00,0.00,-0.22,-1.36,-0.11,0.45
135428290.00,2.00,43.00,1.00,4.00,1.00,3.00,0.00,-0.16,0.59,-0.18,1.01
135430090.00,1.00,66.00,1.00,1.00,5.00,1.00,0.00,-1.05,-0.68,0.57,-1.22
135430170.00,2.00,19.00,1.00,5.00,5.00,1.00,1.00,-0.77,-0.44,1.29,9999.00
135430250.00,1.00,44.00,1.00,3.00,3.00,3.00,0.00,-0.77,0.41,0.17,-0.10
135433250.00,1.00,54.00,1.00,4.00,1.00,4.00,0.00,1.02,1.46,0.61,0.28
135435170.00,2.00,63.00,1.00,1.00,5.00,1.00,0.00,-0.17,9999.00,0.37,2.19
135436010.00,1.00,53.00,1.00,1.00,5.00,1.00,0.00,1.01,0.45,-0.12,0.51
135436250.00,2.00,34.00,1.00,4.00,4.00,2.00,1.00,9999.00,9999.00,0.12,-0.48
135440010.00,1.00,28.00,1.00,3.00,5.00,5.00,0.00,9999.00,9999.00,0.14,-1.22
135440170.00,2.00,50.00,1.00,4.00,1.00,4.00,0.00,9999.00,9999.00,0.55,-1.22
135440250.00,2.00,58.00,1.00,4.00,1.00,4.00,0.00,9999.00,9999.00,0.10,-1.00
135444010.00,2.00,28.00,1.00,2.00,5.00,2.00,0.00,0.15,-0.53,-0.57,-0.67
135445170.00,2.00,66.00,1.00,1.00,3.00,4.00,0.00,0.74,9999.00,9999.00,0.09
135445250.00,1.00,39.00,1.00,5.00,5.00,4.00,0.00,-0.76,-0.68,0.56,-1.22
135446010.00,2.00,25.00,1.00,3.00,7.00,3.00,0.00,9999.00,9999.00,-1.02,0.74
135451170.00,2.00,76.00,1.00,4.00,2.00,2.00,0.00,1.59,9999.00,9999.00,9999.00
135453130.00,2.00,47.00,2.00,3.00,4.00,2.00,0.00,-0.19,0.66,1.32,9999.00
135456010.00,2.00,39.00,1.00,2.00,2.00,3.00,0.00,9999.00,9999.00,0.12,0.24
135456130.00,1.00,39.00,1.00,3.00,4.00,2.00,1.00,9999.00,9999.00,0.74,0.50
135457290.00,1.00,47.00,1.00,4.00,1.00,5.00,1.00,9999.00,9999.00,-0.08,-1.00
135460010.00,2.00,18.00,1.00,4.00,8.00,3.00,1.00,9999.00,9999.00,0.87,-0.05
135460170.00,1.00,54.00,1.00,1.00,5.00,1.00,0.00,-0.18,9999.00,0.11,9999.00
135461170.00,1.00,52.00,1.00,3.00,1.00,5.00,1.00,1.04,0.11,-0.32,-0.02
135463290.00,2.00,48.00,1.00,4.00,8.00,5.00,0.00,1.01,1.03,1.71,0.03
135464210.00,2.00,34.00,1.00,3.00,5.00,1.00,1.00,1.29,9999.00,9999.00,0.97
135465090.00,1.00,49.00,1.00,4.00,3.00,4.00,0.00,-0.51,-0.37,9999.00,0.14
135466250.00,2.00,45.00,1.00,4.00,7.00,5.00,0.00,9999.00,9999.00,-1.51,-1.22
135468050.00,2.00,63.00,1.00,1.00,5.00,5.00,0.00,0.15,0.63,0.59,-1.22
135470210.00,2.00,74.00,1.00,1.00,4.00,2.00,0.00,-0.13,9999.00,-0.36,0.67
135471170.00,2.00,33.00,1.00,2.00,3.00,5.00,0.00,1.01,0.77,0.82,-1.22
135472130.00,2.00,71.00,1.00,4.00,1.00,9999.00,0.00,-0.47,1.10,0.27,-1.22
135472250.00,1.00,77.00,1.00,3.00,4.00,9999.00,0.00,1.56,9999.00,1.52,9999.00
135474170.00,2.00,26.00,1.00,2.00,8.00,9999.00,1.00,0.16,0.00,-1.28,2.47
135474210.00,2.00,62.00,1.00,2.00,5.00,9999.00,0.00,-0.75,9999.00,0.34,-0.31
135478130.00,2.00,42.00,1.00,3.00,3.00,9999.00,0.00,0.72,1.62,1.23,-1.22
135478250.00,2.00,66.00,1.00,2.00,2.00,9999.00,0.00,0.10,-0.35,-0.11,-0.01
135481050.00,2.00,48.00,1.00,2.00,1.00,9999.00,0.00,-0.47,-0.11,0.58,9999.00
135481250.00,1.00,70.00,1.00,4.00,1.00,9999.00,0.00,0.15,1.22,0.07,-1.22
135481330.00,1.00,68.00,9999.00,9999.00,6.00,9999.00,1.00,2.18,2.34,2.41,9999.00
135482090.00,2.00,45.00,1.00,2.00,5.00,9999.00,1.00,1.32,2.15,1.97,1.53
135482130.00,2.00,41.00,1.00,3.00,1.00,9999.00,0.00,-0.17,9999.00,-0.11,0.01
135482330.00,1.00,32.00,1.00,3.00,1.00,9999.00,0.00,1.29,9999.00,0.61,0.75
135483050.00,1.00,53.00,1.00,4.00,4.00,9999.00,0.00,-0.75,9999.00,0.30,-0.45
135484010.00,2.00,53.00,1.00,4.00,1.00,9999.00,0.00,0.11,-0.05,0.16,0.97
135485250.00,1.00,27.00,1.00,2.00,5.00,9999.00,0.00,-0.46,-1.28,-1.72,-0.02
135485290.00,1.00,73.00,1.00,3.00,3.00,9999.00,1.00,-1.31,-1.45,-1.72,0.67
135488130.00,1.00,25.00,4.00,2.00,5.00,1.00,0.00,9999.00,9999.00,-1.03,-1.22
135489010.00,1.00,48.00,1.00,4.00,1.00,5.00,0.00,-0.18,0.41,-0.57,-0.21
135490170.00,1.00,20.00,2.00,2.00,5.00,1.00,0.00,9999.00,9999.00,9999.00,9999.00
135490250.00,1.00,39.00,3.00,4.00,5.00,2.00,0.00,0.07,-0.63,-0.32,-0.48
135491050.00,1.00,56.00,1.00,3.00,4.00,2.00,1.00,0.14,0.95,-0.12,2.21
135492330.00,2.00,85.00,2.00,1.00,5.00,4.00,0.00,1.33,9999.00,9999.00,-1.22
135493010.00,1.00,78.00,1.00,1.00,4.00,3.00,0.00,0.14,9999.00,0.58,-0.73
135494010.00,2.00,45.00,1.00,2.00,4.00,5.00,0.00,9999.00,9999.00,1.05,-1.22
135494090.00,1.00,41.00,1.00,4.00,5.00,1.00,0.00,1.59,9999.00,3.38,1.68
135494170.00,2.00,74.00,1.00,4.00,1.00,3.00,0.00,9999.00,9999.00,-0.32,-0.99
135494250.00,1.00,33.00,1.00,1.00,1.00,4.00,0.00,-0.47,-0.71,-0.32,0.04
135494290.00,2.00,55.00,1.00,4.00,1.00,5.00,0.00,9999.00,9999.00,1.18,-0.24
135495090.00,1.00,51.00,1.00,3.00,2.00,2.00,0.00,-0.16,0.01,0.17,-1.00
135495170.00,2.00,33.00,1.00,4.00,1.00,1.00,0.00,0.99,-0.14,1.15,1.17
135496210.00,1.00,71.00,1.00,3.00,1.00,5.00,1.00,0.46,0.52,-1.31,-1.22
135499010.00,2.00,58.00,1.00,4.00,1.00,2.00,0.00,-0.43,-0.10,-0.11,0.78
135499050.00,1.00,82.00,1.00,1.00,5.00,1.00,0.00,-0.14,0.04,0.13,0.75
135499090.00,2.00,63.00,1.00,5.00,5.00,4.00,0.00,1.29,1.80,1.30,-1.00
135499130.00,1.00,43.00,1.00,4.00,4.00,1.00,0.00,0.15,-0.32,-0.32,0.52
135499170.00,1.00,51.00,1.00,4.00,2.00,1.00,0.00,9999.00,9999.00,1.24,9999.00
135499210.00,2.00,51.00,1.00,4.00,2.00,1.00,0.00,-0.20,-0.32,0.12,0.56
135499250.00,1.00,62.00,1.00,3.00,3.00,4.00,1.00,0.69,0.86,0.16,-0.97
135499290.00,1.00,61.00,1.00,3.00,3.00,1.00,1.00,0.44,0.95,-0.32,-1.22
135500010.00,1.00,49.00,1.00,3.00,1.00,4.00,0.00,9999.00,9999.00,0.82,9999.00
135500090.00,2.00,35.00,1.00,2.00,1.00,2.00,1.00,-0.77,9999.00,-0.11,-0.05
135502050.00,1.00,89.00,1.00,1.00,5.00,1.00,0.00,0.42,-0.53,-0.32,-0.73
135505090.00,2.00,66.00,1.00,2.00,3.00,2.00,0.00,1.29,9999.00,1.52,-1.00
135506290.00,1.00,62.00,2.00,1.00,6.00,1.00,0.00,0.17,1.51,-1.51,2.65
135507170.00,2.00,44.00,4.00,4.00,6.00,1.00,0.00,9999.00,9999.00,-0.11,1.19
135507250.00,1.00,51.00,4.00,3.00,1.00,2.00,0.00,9999.00,9999.00,-1.72,0.21
135507330.00,1.00,46.00,1.00,1.00,5.00,1.00,0.00,-1.34,-0.68,-0.32,-1.22
135508250.00,1.00,34.00,1.00,5.00,5.00,4.00,1.00,9999.00,9999.00,-1.72,-0.49
135509010.00,1.00,68.00,1.00,4.00,1.00,3.00,0.00,9999.00,-0.79,-0.11,-0.74
135509210.00,1.00,55.00,1.00,4.00,1.00,4.00,0.00,-0.77,-0.86,0.33,-0.03
135509250.00,2.00,27.00,1.00,4.00,4.00,2.00,0.00,9999.00,9999.00,-0.12,9999.00
135510010.00,2.00,44.00,1.00,4.00,1.00,5.00,1.00,-1.05,9999.00,-1.31,-0.20
135510290.00,1.00,37.00,1.00,3.00,5.00,2.00,1.00,9999.00,9999.00,-1.02,-0.01
135511010.00,1.00,49.00,1.00,4.00,3.00,5.00,0.00,-0.77,9999.00,-0.32,9999.00
135511170.00,1.00,42.00,1.00,4.00,1.00,5.00,0.00,-0.77,9999.00,-0.32,0.49
135511290.00,2.00,55.00,1.00,4.00,1.00,2.00,0.00,-1.05,9999.00,-0.74,-0.08
135512010.00,2.00,48.00,3.00,4.00,1.00,1.00,1.00,9999.00,9999.00,-1.72,1.42
135512090.00,1.00,44.00,4.00,4.00,1.00,1.00,0.00,-0.46,-1.85,-1.06,1.90
135512290.00,1.00,40.00,4.00,4.00,1.00,3.00,0.00,-1.34,-0.41,-0.08,-1.22
135514010.00,1.00,23.00,3.00,3.00,3.00,2.00,0.00,-1.92,9999.00,-0.57,-0.22
135514050.00,1.00,33.00,1.00,1.00,3.00,1.00,0.00,9999.00,9999.00,-0.32,0.78
135514250.00,1.00,54.00,1.00,5.00,4.00,1.00,0.00,1.01,-0.08,-0.12,0.23
135515010.00,1.00,27.00,1.00,3.00,1.00,1.00,0.00,1.01,9999.00,-0.07,2.20
135516050.00,2.00,23.00,1.00,4.00,7.00,1.00,0.00,9999.00,9999.00,-0.32,0.95
135516330.00,2.00,35.00,3.00,4.00,1.00,1.00,0.00,-1.39,9999.00,1.24,3.07
135517130.00,2.00,30.00,1.00,4.00,1.00,1.00,0.00,-1.34,9999.00,-0.31,0.44
135517210.00,2.00,21.00,1.00,3.00,7.00,1.00,0.00,-0.75,-1.82,-0.32,-1.22
135517250.00,1.00,66.00,1.00,1.00,5.00,1.00,0.00,-0.75,9999.00,0.61,9999.00
135518050.00,2.00,42.00,1.00,4.00,1.00,2.00,1.00,9999.00,9999.00,9999.00,0.23
135520050.00,1.00,39.00,4.00,4.00,6.00,2.00,0.00,9999.00,9999.00,-1.72,-1.22
135520170.00,2.00,50.00,1.00,3.00,2.00,1.00,0.00,0.73,0.41,1.11,2.98
135521050.00,2.00,84.00,1.00,1.00,1.00,4.00,0.00,1.31,9999.00,-1.72,9999.00
135521290.00,2.00,56.00,1.00,2.00,1.00,5.00,0.00,1.03,0.61,1.05,-0.24
135523090.00,1.00,55.00,1.00,4.00,1.00,5.00,0.00,-0.43,9999.00,0.33,0.44
135523130.00,1.00,47.00,1.00,3.00,3.00,2.00,0.00,0.40,9999.00,1.27,0.41
135524090.00,2.00,76.00,1.00,4.00,1.00,5.00,0.00,1.59,-0.17,1.03,-0.20
135524130.00,1.00,20.00,4.00,4.00,4.00,4.00,1.00,1.26,-0.53,1.32,-0.94
135524170.00,2.00,50.00,1.00,1.00,6.00,4.00,0.00,0.43,0.85,0.13,0.53
