ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,effectx,fairx,confx,antisocx
135307050.0,Female,56.0,5,White,GCSE,4.0,2.0,1.0,1.889381878414786,,1.2244717789743116,0.88
135307210.0,Male,23.0,1,Asian or Asian British,University,8.0,1.0,1.0,,,,3.8
135309210.0,Female,40.0,3,White,Other,5.0,4.0,0.0,-1.9039228897355718,-1.943682789821644,-0.3695030624588558,-1.22
135311050.0,Male,42.0,3,White,GCSE,1.0,1.0,0.0,-1.3449095554818349,-0.8184830639990504,0.5543931832125979,0.53
135313010.0,Female,41.0,3,White,None,4.0,4.0,0.0,,,1.4579840168912723,-0.52
135319210.0,Male,33.0,2,White,None,2.0,4.0,0.0,1.6098752112879178,1.5636965357154502,-0.8162221262999981,-1.0
135321250.0,Female,21.0,1,White,University,3.0,4.0,0.0,-0.1969357440679108,0.5804138924290392,1.9656193167107523,0.02
135331010.0,Female,53.0,4,White,University,3.0,2.0,0.0,-0.16698860116146064,-0.11903458578500552,1.01126495305013,1.11
135332170.0,Female,30.0,2,White,None,5.0,4.0,0.0,-0.486424792163596,-0.8793046708002716,-0.35935035646246616,0.01
135335130.0,Male,44.0,3,White,GCSE,1.0,4.0,0.0,0.14246520887185804,-0.7779353261315695,-0.35935035646246616,-1.22
135337210.0,Female,66.0,6,White,GCSE,1.0,,0.0,1.5799280683814674,0.6817832370977415,-1.5776750760292182,-0.94
135339250.0,Female,28.0,2,White,University,5.0,1.0,1.0,1.0109323531589138,0.6817832370977415,0.5543931832125979,2.49
135341170.0,Male,75.0,7,White,Other,5.0,,1.0,,,-1.1715668361736342,-0.29
135342170.0,Female,30.0,2,White,GCSE,3.0,,0.0,0.3820423521234596,,1.0518757770356884,-1.0
135343090.0,Female,76.0,7,White,None,5.0,,0.0,-1.0554205073861498,,-0.35935035646246616,-1.22
135343330.0,Female,19.0,1,White,None,5.0,,0.0,0.6515666382815114,1.594107339116061,2.8793628563858165,-0.43
135344130.0,Male,31.0,2,White,ALevel,5.0,,0.0,-0.17697098213027737,0.519592285627818,0.5950040071981564,0.97
135345050.0,Female,53.0,4,White,Other,4.0,,1.0,1.859434735508336,,0.45286612324870185,2.24
135345330.0,Female,32.0,2,White,ALevel,3.0,,1.0,,0.5905508268959094,1.3259988389382076,1.9
135349210.0,Male,79.0,7,White,None,5.0,3.0,0.0,-1.3449095554818349,-0.8488938673996609,-0.35935035646246616,-1.22
135349250.0,Male,31.0,2,White,University,1.0,3.0,0.0,0.07258854209014093,-0.5447858333935546,-1.5776750760292182,0.21
135349370.0,Male,65.0,6,White,ALevel,2.0,3.0,0.0,0.7114609240944116,1.269725436176214,-0.6740842423505438,-0.74
135351010.0,Female,54.0,4,White,None,5.0,1.0,0.0,-0.4365128873195124,,0.5340877712198188,1.56
135354010.0,Male,43.0,3,Black or Black British,University,5.0,1.0,1.0,-1.3149624125753847,,-1.0395816582205692,1.55
135354290.0,Female,33.0,2,White,University,2.0,2.0,0.0,-0.1470238392238272,,-0.35935035646246616,1.01
135354330.0,Male,47.0,4,Asian or Asian British,GCSE,4.0,2.0,1.0,-1.0354557454485163,-0.5447858333935546,-0.35935035646246616,0.23
135355130.0,Female,30.0,2,White,University,2.0,1.0,0.0,-0.4365128873195124,-0.17985619258622682,-0.3695030624588558,1.08
135356090.0,Female,48.0,4,White,University,1.0,3.0,0.0,,,1.315846132941818,-0.28
135357010.0,Female,67.0,6,White,ALevel,1.0,2.0,0.0,0.701478543125595,0.0026086278174370565,-0.15629623653467414,-0.46
135357290.0,Male,42.0,3,White,ALevel,1.0,4.0,0.0,-0.47644241119477926,0.9554804677032371,-0.35935035646246616,-0.75
135360130.0,Female,17.0,1,White,ALevel,7.0,3.0,1.0,-0.7659314592904646,-0.08862378238439488,0.13813223736062427,1.89
135362090.0,Female,50.0,4,White,GCSE,1.0,5.0,1.0,-0.1470238392238272,-1.2138235082069886,-1.0700397762097382,0.45
135365170.0,Female,42.0,3,Black or Black British,Other,6.0,2.0,1.0,-0.1969357440679108,-0.9198524086677525,-0.11568541254911573,1.41
135366290.0,Male,34.0,2,White,University,1.0,5.0,0.0,-0.4564776492571459,-1.1428649669388973,-1.0700397762097382,0.06
135366330.0,Female,34.0,2,White,University,1.0,5.0,0.0,-0.5063895541012295,-1.0313586878033247,-0.11568541254911573,-1.22
135367090.0,Female,17.0,1,White,GCSE,5.0,4.0,1.0,-1.0454381264173331,-0.17985619258622682,-0.35935035646246616,-0.21
135367130.0,Male,35.0,3,White,University,1.0,5.0,0.0,-0.4664600302259626,-0.4231426197911119,-0.34919765046607654,0.01
135369050.0,Female,37.0,3,White,GCSE,1.0,3.0,0.0,-0.17697098213027737,,0.09752141337506587,0.26
135369090.0,Female,33.0,2,White,ALevel,4.0,2.0,0.0,,-0.5143750299929439,-0.613168006372206,0.78
135369290.0,Female,39.0,3,White,GCSE,2.0,1.0,1.0,-0.1570062201926439,,1.0518757770356884,2.49
135370130.0,Male,27.0,2,White,GCSE,6.0,3.0,0.0,-0.1570062201926439,-0.17985619258622682,1.315846132941818,1.45
135371250.0,Male,44.0,3,White,University,1.0,2.0,0.0,-0.47644241119477926,-0.6968398503966078,-0.14614353053828452,-0.02
135373050.0,Female,54.0,4,Chinese or other,None,6.0,3.0,0.0,,,1.437678604898493,-1.0
135375010.0,Female,,2,White,University,1.0,2.0,0.0,-1.3449095554818349,-1.153001901405767,-0.35935035646246616,0.69
135375130.0,Male,,2,White,ALevel,2.0,1.0,0.0,-1.3449095554818349,-0.5143750299929439,1.386915074916545,0.74
135376010.0,Male,52.0,4,Asian or Asian British,None,5.0,2.0,0.0,,,-0.35935035646246616,
135376130.0,Female,36.0,3,Black or Black British,None,1.0,2.0,0.0,,,-1.0395816582205692,-0.43
135377090.0,Male,26.0,2,White,University,2.0,2.0,0.0,0.07258854209014093,,1.0518757770356884,0.52
135378090.0,Male,52.0,4,White,ALevel,5.0,2.0,0.0,-1.3449095554818349,-0.5447858333935546,-0.35935035646246616,0.51
135378290.0,Male,35.0,3,White,None,6.0,2.0,0.0,,,-0.7756113023144396,0.76
135379130.0,Male,69.0,6,White,None,5.0,1.0,0.0,0.1324828279030413,,-0.15629623653467414,-1.0
135380010.0,Male,32.0,2,White,University,1.0,2.0,1.0,0.3920247330922763,-0.3014994061886693,-0.613168006372206,1.43
135380090.0,Male,23.0,1,White,ALevel,1.0,1.0,1.0,-0.4365128873195124,-1.3151928528756907,1.062028483032078,0.92
135380210.0,Female,43.0,3,Black or Black British,University,2.0,1.0,0.0,-1.0554205073861498,,-0.35935035646246616,1.44
135380250.0,Male,37.0,3,White,University,1.0,3.0,0.0,,,1.0417230710392988,-0.02
135381250.0,Male,60.0,5,White,University,1.0,3.0,0.0,0.11251806596540785,-1.0313586878033247,-0.14614353053828452,-0.5
135382130.0,Female,49.0,4,Black or Black British,Other,5.0,1.0,0.0,,,-1.5370642520436597,3.59
135382210.0,Male,57.0,5,White,University,1.0,2.0,1.0,-0.8058609831657315,-1.1732757703395076,-0.14614353053828452,0.48
135382250.0,Male,68.0,6,White,None,3.0,3.0,0.0,,,,-1.22
135382290.0,Male,44.0,3,White,University,1.0,3.0,0.0,,,-1.0598870702133485,-0.21
135383090.0,Male,62.0,5,White,None,3.0,3.0,0.0,0.43195425696754325,0.1749365137542307,0.8183635391187275,1.14
135383170.0,Male,31.0,2,White,University,1.0,2.0,1.0,0.9710028292836468,-1.5483423456137058,1.0518757770356884,2.0
135383210.0,Male,75.0,7,White,None,5.0,1.0,0.0,1.000949972190097,1.07712368130568,0.5442404772162083,0.72
135386130.0,Female,66.0,6,Black or Black British,Other,2.0,2.0,0.0,,-0.6968398503966078,-0.35935035646246616,0.72
135387090.0,Female,31.0,2,White,ALevel,1.0,4.0,1.0,0.9710028292836468,,0.7980581271259483,0.96
135392010.0,Male,26.0,2,White,ALevel,1.0,2.0,0.0,,,-0.613168006372206,0.0
135392050.0,Male,79.0,7,White,None,3.0,2.0,0.0,,0.0026086278174370565,-0.15629623653467414,-0.55
135395170.0,Female,55.0,5,White,ALevel,5.0,2.0,1.0,0.43195425696754325,0.2661689239560627,-1.5776750760292182,0.24
135396290.0,Female,46.0,4,White,University,1.0,4.0,0.0,0.11251806596540785,,0.2904228273064683,0.44
135397090.0,Male,80.0,7,White,None,4.0,1.0,0.0,,,-1.7807291959570102,-1.0
135397170.0,Male,39.0,3,White,ALevel,1.0,1.0,0.0,2.1688885455416544,2.891634950875448,3.6408158061150364,0.42
135397250.0,Male,44.0,3,White,University,1.0,3.0,0.0,-1.0953500312614166,-0.990810949935844,-1.5675223700328285,-0.44
135398010.0,Female,72.0,6,White,University,1.0,4.0,0.0,1.300421401254599,1.4015055842455266,,
135398130.0,Female,79.0,7,White,University,1.0,5.0,0.0,0.43195425696754325,0.3067166618235435,-0.288281414487739,-0.71
135398290.0,Female,49.0,4,White,University,1.0,5.0,0.0,2.1688885455416544,,,-0.24
135398330.0,Female,62.0,5,White,GCSE,5.0,5.0,0.0,-0.4464952682883291,0.854111123034535,-0.15629623653467414,0.24
135402250.0,Female,44.0,3,White,University,1.0,4.0,1.0,,,-0.8162221262999981,-0.78
135403050.0,Male,28.0,2,White,ALevel,5.0,3.0,0.0,-0.7659314592904646,,-0.8365275382927774,-0.97
135403170.0,Female,28.0,2,White,GCSE,5.0,3.0,0.0,0.3720599711546429,-0.3521840785230204,1.2853880149526493,1.41
135403210.0,Male,65.0,6,White,ALevel,5.0,4.0,1.0,0.701478543125595,,0.3107282392992475,1.94
135405170.0,Male,21.0,1,White,None,2.0,3.0,1.0,1.6198575922567342,0.9453435332363669,0.8082108331223379,-1.22
135405290.0,Male,23.0,1,White,University,7.0,2.0,0.0,0.10253568499659113,-0.09876071685126508,-0.35935035646246616,-0.47
135407090.0,Female,21.0,1,White,GCSE,5.0,2.0,0.0,-0.745966697352831,-0.45355342319172254,-0.35935035646246616,1.7
135407130.0,Female,42.0,3,White,University,1.0,2.0,0.0,-1.3449095554818349,-0.8793046708002716,0.03660517739672828,1.76
135407210.0,Male,52.0,4,White,University,3.0,1.0,0.0,2.1688885455416544,,3.2245548602630625,1.64
135407250.0,Female,59.0,5,White,GCSE,3.0,1.0,0.0,0.44193663793636,0.15466264482049027,-1.7807291959570102,-1.0
135410210.0,Female,32.0,2,White,University,1.0,4.0,0.0,,,0.3107282392992475,0.23
135414130.0,Male,69.0,6,White,None,4.0,4.0,0.0,,,0.08736870737867626,-0.05
135415250.0,Male,55.0,5,White,GCSE,2.0,2.0,0.0,-0.47644241119477926,1.2595885017093438,0.5543931832125979,-0.51
135415330.0,Female,41.0,3,White,University,1.0,4.0,0.0,-0.47644241119477926,-0.6968398503966078,-0.35935035646246616,0.31
135420090.0,Female,61.0,5,White,GCSE,3.0,3.0,0.0,1.0209147341277305,0.6209616302965201,-0.14614353053828452,2.16
135421050.0,Male,59.0,5,White,University,1.0,4.0,0.0,-0.4365128873195124,-0.6258813091285162,0.5950040071981564,-1.0
135423170.0,Male,39.0,3,White,GCSE,1.0,2.0,0.0,-0.1470238392238272,-0.21026699598683746,1.0417230710392988,-0.71
135423290.0,Female,24.0,1,White,GCSE,5.0,1.0,0.0,,,0.5950040071981564,-0.05
135427130.0,Male,56.0,5,White,University,1.0,4.0,0.0,,-2.0653260034240866,-1.3340101321158677,-1.22
135427290.0,Male,30.0,2,White,GCSE,3.0,5.0,0.0,-0.22688288697436101,-1.3861513941437824,-0.14614353053828452,0.45
135428290.0,Female,43.0,3,White,University,1.0,3.0,0.0,-0.16698860116146064,0.5905508268959094,-0.21721247251301173,1.01
135430090.0,Male,66.0,6,White,None,5.0,1.0,0.0,-1.0554205073861498,-0.6968398503966078,0.5442404772162083,-1.22
135430170.0,Female,19.0,1,White,Other,5.0,1.0,1.0,-0.7759138402592812,-0.45355342319172254,1.2752353089562596,
135430250.0,Male,44.0,3,White,ALevel,3.0,3.0,0.0,-0.7759138402592812,0.40808600649224563,0.13813223736062427,-0.1
135433250.0,Male,54.0,4,White,University,1.0,4.0,0.0,1.0109323531589138,1.4724641255136182,0.5848513012017668,0.28
135435170.0,Female,63.0,5,White,None,5.0,1.0,0.0,-0.17697098213027737,,0.3411863572884163,2.19
135436010.0,Male,53.0,4,White,None,5.0,1.0,0.0,1.000949972190097,0.4486337443597265,-0.15629623653467414,0.51
135436250.0,Female,34.0,2,White,University,4.0,2.0,1.0,,,0.08736870737867626,-0.48
135440010.0,Male,28.0,2,White,ALevel,5.0,5.0,0.0,,,0.10767411937145548,-1.22
135440170.0,Female,50.0,4,White,University,1.0,4.0,0.0,,,0.5239350652234291,-1.22
135440250.0,Female,58.0,5,White,University,1.0,4.0,0.0,,,0.06706329538589707,-1.0
135444010.0,Female,28.0,2,White,GCSE,5.0,2.0,0.0,0.14246520887185804,-0.5447858333935546,-0.613168006372206,-0.67
135445170.0,Female,66.0,6,White,None,3.0,4.0,0.0,0.7314256860320452,,,0.09
135445250.0,Male,39.0,3,White,Other,5.0,4.0,0.0,-0.7659314592904646,-0.6968398503966078,0.5340877712198188,-1.22
135446010.0,Female,25.0,2,White,ALevel,7.0,3.0,0.0,,,-1.0700397762097382,0.74
135451170.0,Female,76.0,7,White,University,2.0,2.0,0.0,1.5799280683814674,,,
135453130.0,Female,47.0,4,Mixed,ALevel,4.0,2.0,0.0,-0.1969357440679108,0.661509368164001,1.3056934269454283,
135456010.0,Female,39.0,3,White,GCSE,2.0,3.0,0.0,,,0.08736870737867626,0.24
135456130.0,Male,39.0,3,White,ALevel,4.0,2.0,1.0,,,0.7168364791548315,0.5
135457290.0,Male,47.0,4,White,University,1.0,5.0,1.0,,,-0.11568541254911573,-1.0
135460010.0,Female,18.0,1,White,University,8.0,3.0,1.0,,,0.8488216571078964,-0.05
135460170.0,Male,54.0,4,White,None,5.0,1.0,0.0,-0.1869533630990941,,0.07721600138228668,
135461170.0,Male,52.0,4,White,ALevel,1.0,5.0,1.0,1.0308971150965471,0.1039779724861392,-0.35935035646246616,-0.02
135463290.0,Female,48.0,4,White,University,8.0,5.0,0.0,1.000949972190097,1.036575943438199,1.7016489608046228,0.03
135464210.0,Female,34.0,2,White,ALevel,5.0,1.0,1.0,1.2804566393169654,,,0.97
135465090.0,Male,49.0,4,White,University,3.0,4.0,0.0,-0.5163719350700463,-0.38259488192363106,,0.14
135466250.0,Female,45.0,4,White,University,7.0,5.0,0.0,,,-1.5675223700328285,-1.22
135468050.0,Female,63.0,5,White,None,5.0,5.0,0.0,0.14246520887185804,0.6310985647633903,0.5645458892089875,-1.22
135470210.0,Female,74.0,6,White,None,4.0,2.0,0.0,-0.13704145825501043,,-0.39996118044802453,0.67
135471170.0,Female,33.0,2,White,GCSE,3.0,5.0,0.0,1.000949972190097,0.7730156472995733,0.7980581271259483,-1.22
135472130.0,Female,71.0,6,White,University,1.0,,0.0,-0.47644241119477926,1.1075344847062907,0.2396592973245203,-1.22
135472250.0,Male,77.0,7,White,ALevel,4.0,,0.0,1.5499809254750172,,1.5087475468732203,
135474170.0,Female,26.0,2,White,GCSE,8.0,,1.0,0.15244758984067475,-0.007528306649433158,-1.3340101321158677,2.47
135474210.0,Female,62.0,5,White,GCSE,5.0,,0.0,-0.7559490783216478,,0.3107282392992475,-0.31
135478130.0,Female,42.0,3,White,ALevel,3.0,,0.0,0.7114609240944116,1.6346550769835417,1.2143190729779219,-1.22
135478250.0,Female,66.0,6,White,GCSE,2.0,,0.0,0.0925533040277744,-0.3623210129898906,-0.14614353053828452,-0.01
135481050.0,Female,48.0,4,White,GCSE,1.0,,0.0,-0.47644241119477926,-0.11903458578500552,0.5543931832125979,
135481250.0,Male,70.0,6,White,University,1.0,,0.0,0.14246520887185804,1.229177698308733,0.03660517739672828,-1.22
135481330.0,Male,68.0,6,,,6.0,,1.0,2.1688885455416544,2.3645143585981967,2.4123383805518945,
135482090.0,Female,45.0,4,White,GCSE,5.0,,1.0,1.3104037822234156,2.171912603727663,1.9656193167107523,1.53
135482130.0,Female,41.0,3,White,ALevel,1.0,,0.0,-0.17697098213027737,,-0.14614353053828452,0.01
135482330.0,Male,32.0,2,White,ALevel,1.0,,0.0,1.2804566393169654,,0.5848513012017668,0.75
135483050.0,Male,53.0,4,White,University,4.0,,0.0,-0.7559490783216478,,0.27011741531368905,-0.45
135484010.0,Female,53.0,4,White,University,1.0,,0.0,0.10253568499659113,-0.05821297898378423,0.12797953136423468,0.97
135485250.0,Male,27.0,2,White,GCSE,5.0,,0.0,-0.4664600302259626,-1.3050559184088206,-1.7807291959570102,-0.02
135485290.0,Male,73.0,6,White,ALevel,3.0,,1.0,-1.3149624125753847,-1.477383804345614,-1.7807291959570102,0.67
135488130.0,Male,25.0,2,Black or Black British,GCSE,5.0,1.0,0.0,,,-1.0801924822061277,-1.22
135489010.0,Male,48.0,4,White,University,1.0,5.0,0.0,-0.1869533630990941,0.40808600649224563,-0.613168006372206,-0.21
135490170.0,Male,20.0,1,Mixed,GCSE,5.0,1.0,0.0,,,,
135490250.0,Male,39.0,3,Asian or Asian British,University,5.0,2.0,0.0,0.06260616112132421,-0.6461551780622566,-0.35935035646246616,-0.48
135491050.0,Male,56.0,5,White,ALevel,4.0,2.0,1.0,0.1324828279030413,0.9554804677032371,-0.15629623653467414,2.21
135492330.0,Female,85.0,7,Mixed,None,5.0,4.0,0.0,1.3203861631922325,,,-1.22
135493010.0,Male,78.0,7,White,None,4.0,3.0,0.0,0.1324828279030413,,0.5543931832125979,-0.73
135494010.0,Female,45.0,4,White,GCSE,4.0,5.0,0.0,,,1.031570365042909,-1.22
135494090.0,Male,41.0,3,White,University,5.0,1.0,0.0,1.5799280683814674,,3.397150862201686,1.68
135494170.0,Female,74.0,6,White,University,1.0,3.0,0.0,,,-0.35935035646246616,-0.99
135494250.0,Male,33.0,2,White,None,1.0,4.0,0.0,-0.47644241119477926,-0.7272506537972183,-0.35935035646246616,0.04
135494290.0,Female,55.0,5,White,University,1.0,5.0,0.0,,,1.1635555429959739,-0.24
135495090.0,Male,51.0,4,White,ALevel,2.0,2.0,0.0,-0.16698860116146064,0.0026086278174370565,0.13813223736062427,-1.0
135495170.0,Female,33.0,2,White,University,1.0,1.0,0.0,0.9809852102524635,-0.14944538918561617,1.133097425006805,1.17
135496210.0,Male,71.0,6,White,ALevel,1.0,5.0,1.0,0.4519190189051767,0.519592285627818,-1.3644682501050367,-1.22
135499010.0,Female,58.0,5,White,University,1.0,2.0,0.0,-0.4365128873195124,-0.10889765131813531,-0.14614353053828452,0.78
135499050.0,Male,82.0,7,White,None,5.0,1.0,0.0,-0.1470238392238272,0.0330194312180477,0.09752141337506587,0.75
135499090.0,Female,63.0,5,White,Other,5.0,4.0,0.0,1.2804566393169654,1.8171198973872056,1.2853880149526493,-1.0
135499130.0,Male,43.0,3,White,University,4.0,1.0,0.0,0.14246520887185804,-0.33191020958927997,-0.35935035646246616,0.52
135499170.0,Male,51.0,4,White,University,2.0,1.0,0.0,,,1.2244717789743116,
135499210.0,Female,51.0,4,White,University,2.0,1.0,0.0,-0.20691812503672757,-0.33191020958927997,0.08736870737867626,0.56
135499250.0,Male,62.0,5,White,ALevel,3.0,4.0,1.0,0.6815137811879615,0.8642480575014052,0.12797953136423468,-0.97
135499290.0,Male,61.0,5,White,ALevel,3.0,1.0,1.0,0.43195425696754325,0.9554804677032371,-0.35935035646246616,-1.22
135500010.0,Male,49.0,4,White,ALevel,1.0,4.0,0.0,,,0.7980581271259483,
135500090.0,Female,35.0,3,White,GCSE,1.0,2.0,1.0,-0.7759138402592812,,-0.14614353053828452,-0.05
135502050.0,Male,89.0,7,White,None,5.0,1.0,0.0,0.4119894950299098,-0.5447858333935546,-0.35935035646246616,-0.73
135505090.0,Female,66.0,6,White,GCSE,3.0,2.0,0.0,1.2804566393169654,,1.5087475468732203,-1.0
135506290.0,Male,62.0,5,Mixed,None,6.0,1.0,0.0,0.1624299708094915,1.5231487978479692,-1.5675223700328285,2.65
135507170.0,Female,44.0,3,Black or Black British,University,6.0,1.0,0.0,,,-0.14614353053828452,1.19
135507250.0,Male,51.0,4,Black or Black British,ALevel,1.0,2.0,0.0,,,-1.7807291959570102,0.21
135507330.0,Male,46.0,4,White,None,5.0,1.0,0.0,-1.3449095554818349,-0.6968398503966078,-0.35935035646246616,-1.22
135508250.0,Male,34.0,2,White,Other,5.0,4.0,1.0,,,-1.7807291959570102,-0.49
135509010.0,Male,68.0,6,White,University,1.0,3.0,0.0,,-0.8083461295321801,-0.14614353053828452,-0.74
