Sserial,Sex,Age,Married,Children,Education,eq_inc_quintiles,RClassGp,CCBELIEV,carallow,carreduc,carnod2,cartaxhi,carenvdc,plnenvt,plnuppri,Politics,Voted,actchar,actpol,govnosa2,PartyId2,leftrigh,libauth,WtFactor
290817,1,18,4,2,3,2,5,2,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,2,2,2.4,4,1.735342643
290834,2,24,4,1,1,-1,4,3,3,3,1,4,1,4,3,3,-1,-1,-1,-1,2,3,3.166666667,1.000039462
290854,1,20,4,2,3,5,3,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,1,5,2.2,3.5,1.95396044
290859,2,19,3,2,2,-1,1,3,9,9,9,9,1,9,1,2,-1,-1,-1,-1,1,3.6,3,0.7301237
290864,2,23,4,1,3,-1,5,2,3,3,2,4,3,3,3,4,-1,-1,-1,-1,2,2.2,4,1.007186445
290870,2,24,4,2,1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,1,-1,-1,1.94954507
290914,2,23,1,1,3,2,4,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,8,2,4.666666667,1.874906592
290949,2,18,4,2,3,-1,-1,3,4,2,3,1,2,5,1,2,-1,-1,-1,-1,2,2,2.833333333,1.869354843
290977,2,19,4,2,3,5,5,2,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,-1,-1,2.97724106
290978,1,21,4,2,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,1,4,5,5,2,1.2,2.333333333,1.072530224
290990,2,20,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,1.189846863
291010,2,24,1,2,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,4,1,4,5,2,1,4.4,3.666666667,1.845998623
291042,2,21,4,1,3,-1,1,3,2,1,4,4,3,2,5,3,-1,-1,-1,-1,2,2.2,2.833333333,0.916585489
291045,2,20,4,1,8,2,-1,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,2,-1,-1,1.925664379
291080,1,24,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,5,2,1,3.4,2.333333333,2.102099004
291085,2,20,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,5,5,2,2.6,3,0.739364389
291101,1,19,4,2,1,-1,8,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,-1,-1,3.289086424
291110,2,21,4,2,8,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,2.4,2.833333333,1.607154255
291131,1,24,1,1,3,-1,5,2,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,2,5,2.8,3.833333333,2.029969135
291135,2,18,4,2,2,-1,5,3,2,2,2,4,1,1,1,4,-1,-1,-1,-1,8,2.6,4.333333333,2.343369341
291143,2,21,4,2,3,2,5,2,-1,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,2,-1,-1,2.143497712
291145,1,19,4,2,1,2,5,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,2.314717804
291166,1,24,4,2,2,-1,5,3,2,4,2,4,4,2,4,3,-1,-1,-1,-1,2,2.6,3.333333333,2.748522436
291179,2,21,4,1,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,2,-1,-1,0.883927915
291191,2,24,1,2,2,1,4,3,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,2,1,3.8,2.833333333,1.803259875
291209,2,19,1,2,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,3,1,3,4.666666667,2.704889967
291227,2,18,4,2,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,-1,-1,1.660550027
291234,1,19,4,2,3,-1,5,3,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5,-1,-1,2.389353187
291295,1,21,1,1,2,4,4,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,3,2,3,3.166666667,1.67836038
291339,2,19,4,2,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,2.952868706
291345,2,25,1,2,2,-1,5,3,4,2,4,4,2,4,2,5,-1,-1,-1,-1,5,2.8,3.666666667,1.155710199
291357,2,22,4,2,4,-1,-1,3,3,2,3,2,2,4,4,3,-1,-1,-1,-1,2,2,2.666666667,1.923627314
291371,1,20,4,2,1,-1,5,3,2,2,3,4,2,3,2,3,-1,-1,-1,-1,1,2,2.666666667,1.869948491
291383,2,22,4,2,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,1,2,4,2.73677484
291386,1,22,4,2,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,2.695871973
291392,1,23,4,2,3,-1,-1,3,3,3,3,4,3,3,3,3,-1,-1,-1,-1,1,2.8,3.833333333,3.00845986
291447,2,19,4,2,2,5,8,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,3,2.4,2,1.915855887
291503,1,23,4,2,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,5,5,4,2,1.4,2.333333333,2.594654307
291514,2,20,4,2,2,-1,5,3,3,2,2,4,2,4,3,4,-1,-1,-1,-1,2,3.6,3.666666667,1.963117869
291521,2,21,1,1,3,-1,5,1,2,4,2,4,4,2,2,4,-1,-1,-1,-1,5,2.8,4,1.635303296
291560,2,18,1,1,4,2,5,2,-1,-1,-1,-1,-1,-1,-1,5,2,9,3,3,5,3,3,1.612064846
291603,1,19,4,2,3,-1,5,3,3,2,2,2,3,3,3,4,-1,-1,-1,-1,1,2.6,3.333333333,2.399191547
291607,1,21,4,2,3,-1,5,1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,5,-1,-1,1.040454071
291622,1,21,4,2,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,3.778975575
291623,2,22,4,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,2,2,2.6,2,0.794870891
291682,1,23,1,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,5,3,1,3,3.5,3.723120096
291723,1,23,4,2,3,-1,4,3,5,2,4,2,2,9,9,2,-1,-1,-1,-1,2,2.2,2.666666667,3.78075237
291724,1,18,4,2,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,4,2.6,2.5,2.944239152
291795,2,18,4,1,3,-1,5,2,4,2,3,2,2,3,2,3,-1,-1,-1,-1,2,1.8,3.333333333,0.928034404
291805,2,25,4,2,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,2.429521887
291812,1,24,4,2,3,-1,5,2,3,2,4,3,3,3,4,4,-1,-1,-1,-1,2,2.6,3,3.082485655
291833,2,21,4,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,1,1,2,1,2,1.368934331
291864,2,24,1,1,2,1,5,3,-1,-1,-1,-1,-1,-1,-1,2,2,5,5,2,3,2.2,3,1.37706758
291878,2,24,4,2,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,1.4,3.166666667,1.440796006
291911,1,23,4,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,8,-1,-1,3.258021452
291921,2,25,1,1,3,-1,5,3,4,2,2,2,2,3,3,3,-1,-1,-1,-1,2,2.2,3.666666667,1.129950682
291976,1,23,4,2,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,3,2.2,2,2.55838904
292003,2,18,4,2,3,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,5,1,3,5,1,2,2.6,3.5,1.146809047
292040,1,19,4,2,3,-1,5,3,2,3,9,2,9,3,4,5,-1,-1,-1,-1,5,1,2.5,2.348522127
292072,2,24,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,1.4,3.166666667,0.748500308
292083,2,24,4,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,2,2,3,3.333333333,2.207212056
292106,1,22,4,2,2,1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,3.4,3,0.824666546
292127,1,22,4,2,2,-1,-1,3,2,2,1,2,1,2,3,2,-1,-1,-1,-1,2,2.6,3.166666667,2.344588516
292136,2,19,4,2,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,2.4,3.166666667,2.726815305
292137,1,25,4,2,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,2,5,5,3,2,3.2,3.166666667,2.078365796
292173,2,18,4,2,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,2.001290206
292195,1,22,4,2,4,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,3.456080569
292197,2,19,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,3.2,1.833333333,0.613681863
292202,1,25,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,5,1,5,5,3,2,2.2,3.166666667,2.486933911
292221,2,18,4,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,2,2,3,3.5,1.744934631
292224,2,18,1,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,5,1,2,2,3.5,2.039822971
292253,1,22,4,2,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,1,4,2.666666667,3.63038481
292259,2,22,4,2,1,-1,1,3,3,2,4,4,2,3,3,2,-1,-1,-1,-1,2,2,2.833333333,2.935119947
292303,1,22,4,2,3,3,5,3,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,2.2,3.166666667,3.097252249
292336,1,20,1,1,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,3,1,2,3.833333333,1.581543226
292352,2,24,4,2,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,4,4,1,2,2.833333333,2.536554389
292354,1,18,4,2,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,2.7284353
292400,2,21,4,2,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,4,2,4,5,2,2,3,2.833333333,2.381674614
292409,2,24,4,2,3,-1,5,3,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,2,-1,-1,0.715234694
292422,1,23,4,1,8,4,2,-1,-1,-1,-1,-1,-1,-1,-1,1,9,-1,-1,-1,1,-1,-1,1.896429098
292437,1,19,4,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,2,3,5,2,2,3.8,1.666666667,3.604078304
292458,2,21,4,1,4,-1,5,3,3,3,3,3,3,3,3,5,-1,-1,-1,-1,5,3,3,0.858397592
292492,2,24,4,2,2,-1,-1,3,4,2,4,4,2,3,4,3,-1,-1,-1,-1,2,3.4,3,2.667855712
292497,1,21,4,2,2,2,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,2.2,1.666666667,1.313802186
292500,1,20,4,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,1,2,2.6,3.333333333,1.105555346
292525,1,23,4,2,1,-1,1,3,2,4,2,2,1,4,2,2,-1,-1,-1,-1,4,1.8,3,3.127951065
292538,2,24,1,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,5,1,5,5,1,8,3,4,1.192993535
292561,2,19,1,1,4,2,5,-1,-1,-1,-1,-1,-1,-1,-1,5,2,4,4,1,5,2.2,4.5,1.595768171
292574,1,24,4,2,1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,3,3.5,2.738783584
292603,2,21,4,2,3,-1,-1,3,3,2,4,2,2,4,3,3,-1,-1,-1,-1,2,2.4,3,2.051163711
292604,2,20,4,1,3,1,4,8,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,0.662888792
292605,2,21,4,1,4,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,1,5,2,4.166666667,0.859289224
292620,1,19,4,2,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,1.460272007
292638,2,18,4,2,2,5,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,3,2,2.6,2.833333333,2.98358145
292645,2,19,4,1,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,-1,-1,0.756258813
292655,1,19,4,2,2,-1,3,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,1,1.833333333,2.767741386
292670,2,25,1,2,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,4,4,2,2.2,2.333333333,1.366590228
292671,1,22,4,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,1,2,2.4,3.833333333,2.860925776
292703,2,20,4,2,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,8,2.2,3.166666667,1.833800994
292732,2,23,4,1,3,1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,-1,-1,0.764968144
292734,2,24,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,3,3,3,2,1.6,2.166666667,1.247875206
292735,2,18,4,1,2,-1,5,3,3,2,3,4,1,3,2,4,-1,-1,-1,-1,1,2.6,4.5,0.878720113
292744,1,21,4,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,3,2,2.2,3.5,2.963525575
292747,2,25,1,1,8,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,5,-1,-1,2.285248376
292758,1,20,1,2,1,2,8,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,2,-1,-1,1.908859327
292776,2,21,4,2,1,3,5,3,-1,-1,-1,-1,-1,-1,-1,1,1,9,9,9,2,2.2,2.5,0.53182502
292786,2,25,4,2,1,-1,-1,3,4,1,4,2,1,2,2,1,-1,-1,-1,-1,1,3.2,3,2.389097993
292799,2,19,4,2,1,1,5,2,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,1.4,2.666666667,1.961687606
292818,1,24,4,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,2.960691977
292828,2,25,4,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,2,2,2.6,3.5,1.150366521
292846,2,25,4,2,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,6,3.2,3.166666667,1.640088844
292935,2,18,4,1,2,1,5,3,-1,-1,-1,-1,-1,-1,-1,5,1,1,5,1,4,2.25,4.166666667,0.918713087
292963,2,19,4,2,2,4,1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,2,5,2.6,3.5,1.674697439
293000,2,25,4,2,1,-1,5,1,3,3,2,4,2,3,4,3,-1,-1,-1,-1,1,3,3.833333333,1.932614821
293034,2,25,4,2,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,1,1,4,4,5,2,1,2.5,2.298040736
293052,1,23,4,2,2,-1,5,2,4,2,4,3,2,4,3,3,-1,-1,-1,-1,2,2.8,2.166666667,3.614867955
293066,1,25,4,2,3,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,2.685727968
293091,2,22,1,2,2,3,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,4,4,2.2,3.666666667,1.37706758
293102,2,18,1,2,1,-1,-1,3,5,1,4,3,1,5,2,1,-1,-1,-1,-1,2,1.8,2.5,1.130574661
293120,2,18,4,2,2,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,2,2.2,2.5,2.362751095
293128,1,18,4,2,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,8,3,3,2.574605551
293140,1,25,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,9,9,3,2,9,9,1.720680356
293153,2,23,4,2,1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,1.803537199
293182,1,20,4,2,3,1,5,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,1.6,3.166666667,3.472126073
293233,1,21,4,2,2,4,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,2,5,4,2,1,3.5,0.810929086
293265,2,21,4,1,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,0.66137055
293270,1,18,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,1.4,2.833333333,0.860252508
293297,2,21,4,2,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,2.4,2.5,1.632207849
293322,1,23,4,2,3,-1,-1,3,4,3,2,5,1,8,8,5,-1,-1,-1,-1,5,1.8,3.833333333,2.959725365
293347,1,23,4,2,2,1,2,3,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,5,2.4,3.666666667,2.571093188
293368,1,20,4,2,1,3,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,4,5,5,2,1.2,1.833333333,1.155482784
293372,2,23,1,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,3,2,2,1,2.166666667,1.935003339
293389,1,25,1,2,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,2,1,4.2,3.333333333,2.203608541
293391,2,22,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,5,2,3,2.4,2.5,2.437650648
293409,2,21,4,2,2,-1,-1,3,4,1,5,3,2,3,3,4,-1,-1,-1,-1,6,3.2,2.833333333,2.116480098
293419,1,19,1,2,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,6,1.8,2.5,1.917815573
293445,2,25,1,1,4,2,5,1,-1,-1,-1,-1,-1,-1,-1,4,2,3,5,1,5,1,4.666666667,1.892397991
293453,2,25,4,2,3,1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,0.885862453
293464,2,22,4,2,3,-1,5,2,2,8,1,8,8,1,8,4,-1,-1,-1,-1,1,1,4.833333333,1.016997491
293476,1,22,4,2,2,3,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,4,4,2,1.8,2.833333333,3.07740932
293494,1,22,2,2,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,1,2,1.8,2.833333333,1.426469386
293506,1,18,4,2,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,1.2,3.833333333,3.235033863
293513,1,23,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,2,1,3.2,2.666666667,1.099425735
293550,2,25,4,2,1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,4,2,2.6,3,3.639456041
293554,2,19,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,5,2,2.6,3.5,2.002633651
293586,2,24,4,2,3,1,5,2,-1,-1,-1,-1,-1,-1,-1,3,1,9,9,3,2,2.6,4.166666667,1.842385668
293589,1,21,4,2,3,4,2,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,1,2,3,3.166666667,2.637609405
293592,2,25,4,2,3,-1,5,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,2.4,5,1.831991731
293605,2,22,1,2,1,4,1,2,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,4,3.666666667,1.416622824
293608,2,24,4,2,3,3,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,1,2.2,3.666666667,1.998395633
293632,2,21,4,2,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,2,2,2.6,3.5,2.014152206
293637,1,23,4,2,1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,2,1,5,2,2,2.4,3.166666667,1.519805438
293643,1,20,1,2,3,2,5,-1,-1,-1,-1,-1,-1,-1,-1,5,2,9,9,8,5,5,1.333333333,2.133524868
293658,2,22,4,2,2,4,2,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,4,5,2.2,3.333333333,2.355127616
