happy,ladder,sex,marital,educ,work,income,region,age,leftout
6,5,Male,Single,Upper secondary education,Other,Low-medium,South East,69,Neither agree nor disagree
10,7,Male,Single,Lower secondary or below,Employed,Low,Yorkshire and the Humber,40,Neither agree nor disagree
8,8,Female,Single,Tertiary education,Employed,High,North East,30,Agree
9,6,Female,Married/living with a partner,Upper secondary education,Other,Low-medium,South East,67,Disagree
8,9,Male,Married/living with a partner,Tertiary education,Employed,,London,46,Neither agree nor disagree
5,3,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,West Midlands,49,Neither agree nor disagree
7,4,Female,Single,Upper secondary education,Other,Low,London,67,Strongly disagree
7,7,Male,Married/living with a partner,Upper secondary education,Employed,Low-medium,South West,53,Disagree
6,7,Female,Married/living with a partner,Tertiary education,Employed,High,South East,39,Strongly disagree
7,99,Male,Divorced/Separated,Upper secondary education,Employed,,London,20,Strongly disagree
3,7,Female,Married/living with a partner,Upper secondary education,Employed,Low,Yorkshire and the Humber,57,Disagree
8,6,Female,Married/living with a partner,Upper secondary education,Other,Medium-high,North West,62,Disagree
7,7,Female,Single,Upper secondary education,Employed,Low-medium,Yorkshire and the Humber,31,Neither agree nor disagree
5,6,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,Scotland,69,Neither agree nor disagree
6,4,Female,Single,Upper secondary education,Employed,High,Scotland,26,Disagree
0,1,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,,West Midlands,51,Strongly agree
5,5,Female,Married/living with a partner,Tertiary education,Employed,High,London,54,Disagree
9,9,Female,Married/living with a partner,Lower secondary or below,Employed,Low-medium,West Midlands,51,Disagree
3,5,Female,Single,Lower secondary or below,Unemployed/not working,Low,East Midlands,61,Disagree
2,3,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,London,57,Agree
6,11,Male,Married/living with a partner,Upper secondary education,Full time student,Low-medium,London,19,Strongly agree
8,9,Male,Married/living with a partner,Tertiary education,Other,High,South East,66,Strongly disagree
7,8,Female,Single,Upper secondary education,Unemployed/not working,,East of England,51,Strongly disagree
7,8,Male,Married/living with a partner,Tertiary education,Employed,,West Midlands,72,Strongly disagree
9,7,Female,Married/living with a partner,Upper secondary education,Other,Medium-high,London,68,Strongly disagree
6,7,Male,Married/living with a partner,Upper secondary education,Employed,Medium-high,Northern Ireland,59,Disagree
7,8,Female,Married/living with a partner,Tertiary education,Other,High,London,65,Strongly disagree
8,8,Female,Married/living with a partner,Tertiary education,Unemployed/not working,,Yorkshire and the Humber,56,Strongly disagree
0,2,Male,Married/living with a partner,Tertiary education,Employed,High,East of England,46,Agree
8,9,Female,Married/living with a partner,Upper secondary education,Unemployed/not working,High,South West,32,Strongly disagree
7,7,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,South East,47,Strongly disagree
2,6,Male,Married/living with a partner,Lower secondary or below,Other,Medium-high,East Midlands,68,Agree
10,99,Male,Married/living with a partner,Tertiary education,Other,,East Midlands,71,Strongly disagree
10,10,Male,Single,Tertiary education,Employed,High,London,32,Strongly disagree
7,7,Female,Married/living with a partner,Tertiary education,Other,Medium-high,West Midlands,62,Strongly disagree
7,6,Female,Single,Tertiary education,Full time student,Low-medium,Yorkshire and the Humber,24,Strongly disagree
7,99,Male,Married/living with a partner,Tertiary education,Employed,,London,48,Neither agree nor disagree
7,5,Female,Married/living with a partner,Lower secondary or below,Employed,Medium-high,North West,58,Disagree
10,8,Female,Single,Tertiary education,Employed,,Scotland,33,Disagree
7,6,Male,Married/living with a partner,Tertiary education,Employed,High,East Midlands,50,Neither agree nor disagree
4,6,Male,Married/living with a partner,Lower secondary or below,Employed,Low-medium,South West,48,Agree
8,9,Female,Married/living with a partner,Lower secondary or below,Employed,Medium-high,North West,22,Agree
8,7,Female,Married/living with a partner,Upper secondary education,Other,Low-medium,East Midlands,61,Strongly disagree
5,3,Female,Single,Upper secondary education,Unemployed/not working,Low,West Midlands,49,Agree
5,99,Female,Married/living with a partner,Upper secondary education,Employed,,Yorkshire and the Humber,49,
5,99,Female,Single,Upper secondary education,Employed,,North East,23,Agree
7,8,Male,Single,Upper secondary education,Employed,High,Wales,24,Disagree
5,5,Female,Married/living with a partner,Lower secondary or below,Employed,Low-medium,Yorkshire and the Humber,37,Neither agree nor disagree
6,7,Male,Married/living with a partner,Upper secondary education,Employed,Medium-high,West Midlands,56,Disagree
9,3,Female,Married/living with a partner,Upper secondary education,Employed,,South East,27,Disagree
7,7,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,South East,31,Disagree
8,8,Female,Married/living with a partner,Tertiary education,Employed,Low-medium,East Midlands,64,Strongly disagree
6,8,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,North East,48,Neither agree nor disagree
7,6,Female,Married/living with a partner,Tertiary education,Other,Low,Scotland,72,Strongly disagree
5,8,Male,Married/living with a partner,Tertiary education,Employed,High,East of England,46,Disagree
8,7,Female,Married/living with a partner,Tertiary education,Employed,High,London,24,Disagree
4,6,Female,Married/living with a partner,Tertiary education,Employed,,East of England,37,Strongly disagree
8,6,Female,Single,Tertiary education,Employed,Low-medium,South East,27,Disagree
7,7,Male,Married/living with a partner,Tertiary education,Other,Low-medium,North West,62,Strongly disagree
7,8,Male,Married/living with a partner,Upper secondary education,Employed,,North West,52,Disagree
7,5,Female,Single,Tertiary education,Full time student,,South West,20,Neither agree nor disagree
4,4,Female,Married/living with a partner,Tertiary education,Employed,High,North West,57,Disagree
3,7,Male,Married/living with a partner,Tertiary education,Employed,,North West,60,Agree
9,8,Male,Married/living with a partner,Lower secondary or below,Employed,Medium-high,East of England,66,Strongly disagree
7,8,Female,Married/living with a partner,Tertiary education,Employed,High,Wales,39,Strongly disagree
5,8,Female,Single,Tertiary education,Employed,Medium-high,South East,29,Neither agree nor disagree
3,5,Male,Married/living with a partner,Tertiary education,Employed,Low-medium,West Midlands,64,Neither agree nor disagree
5,6,Male,Married/living with a partner,Tertiary education,Employed,High,London,41,Disagree
8,6,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,South East,56,Disagree
0,99,Female,Single,Lower secondary or below,Employed,,South West,63,Neither agree nor disagree
8,8,Female,Married/living with a partner,Tertiary education,Employed,High,East of England,28,Strongly disagree
5,9,Female,Married/living with a partner,Upper secondary education,Employed,High,London,34,Strongly disagree
9,6,Female,Single,Upper secondary education,Full time student,,London,19,Disagree
8,8,Female,Married/living with a partner,Upper secondary education,Unemployed/not working,High,South East,54,Disagree
5,6,Male,Married/living with a partner,Lower secondary or below,Employed,,North West,54,Strongly disagree
3,9,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,North West,37,Agree
0,7,Male,Married/living with a partner,Tertiary education,Employed,High,East Midlands,37,Agree
8,8,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,West Midlands,59,Disagree
7,99,Female,Single,Upper secondary education,Employed,,Scotland,55,Neither agree nor disagree
6,9,Male,Married/living with a partner,Tertiary education,Employed,,Scotland,33,Neither agree nor disagree
5,6,Female,Single,Tertiary education,Other,,Yorkshire and the Humber,70,Disagree
9,7,Female,Married/living with a partner,Upper secondary education,Other,Low-medium,North East,65,Disagree
8,8,Female,Married/living with a partner,Upper secondary education,Employed,High,Scotland,60,Strongly disagree
2,6,Female,Single,Tertiary education,Employed,Low-medium,North West,37,Neither agree nor disagree
6,6,Male,Single,Upper secondary education,Full time student,Medium-high,East of England,19,Disagree
7,6,Female,Married/living with a partner,Tertiary education,Employed,,West Midlands,56,Disagree
3,6,Male,Married/living with a partner,Tertiary education,Employed,Medium-high,Yorkshire and the Humber,35,Disagree
4,6,Female,Single,Tertiary education,Employed,,South West,23,Neither agree nor disagree
3,4,Female,Single,Upper secondary education,Employed,Low-medium,East of England,65,Agree
2,3,Female,Married/living with a partner,Upper secondary education,Employed,High,Yorkshire and the Humber,39,Agree
9,6,Female,Married/living with a partner,Upper secondary education,Other,Low,South West,62,Disagree
0,6,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,Yorkshire and the Humber,45,Neither agree nor disagree
7,6,Male,Single,Tertiary education,Employed,High,London,30,Strongly disagree
6,7,Female,Single,Lower secondary or below,Employed,Low,West Midlands,64,Disagree
7,6,Female,Single,Tertiary education,Unemployed/not working,,Yorkshire and the Humber,29,Neither agree nor disagree
5,7,Female,Single,Lower secondary or below,Full time student,,London,24,Neither agree nor disagree
7,9,Female,Married/living with a partner,Tertiary education,Employed,High,London,30,Strongly disagree
7,6,Female,Married/living with a partner,Upper secondary education,Other,,East Midlands,65,Neither agree nor disagree
6,6,Female,Single,Tertiary education,Employed,,Yorkshire and the Humber,29,Disagree
7,7,Female,Married/living with a partner,Upper secondary education,Employed,High,Wales,44,Strongly disagree
5,1,Female,Married/living with a partner,Upper secondary education,Other,Low,South East,80,
9,7,Male,Single,Upper secondary education,Other,Low-medium,North East,63,Strongly disagree
3,3,Female,Married/living with a partner,Lower secondary or below,Employed,Low-medium,North West,60,Neither agree nor disagree
7,6,Female,Married/living with a partner,Tertiary education,Other,Low-medium,Wales,64,Disagree
7,7,Male,Married/living with a partner,Tertiary education,Employed,High,South East,41,Disagree
6,8,Male,Married/living with a partner,Tertiary education,Other,Low-medium,East Midlands,67,Disagree
2,5,Female,Single,Upper secondary education,Unemployed/not working,Low-medium,North West,26,Agree
6,7,Female,Single,Upper secondary education,Employed,Low,South East,59,Neither agree nor disagree
7,7,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Medium-high,South East,55,Disagree
3,4,Female,Married/living with a partner,Tertiary education,Full time student,Low-medium,Wales,41,Neither agree nor disagree
4,8,Female,Single,Lower secondary or below,Employed,Medium-high,East Midlands,30,Neither agree nor disagree
2,7,Male,Married/living with a partner,Upper secondary education,Employed,High,South East,57,Agree
8,7,Male,Single,Tertiary education,Employed,Low-medium,London,26,Disagree
6,7,Female,Married/living with a partner,Tertiary education,Employed,,South West,31,Strongly disagree
8,8,Female,Single,Upper secondary education,Employed,Medium-high,London,70,Strongly disagree
7,6,Female,Married/living with a partner,Tertiary education,Employed,High,Wales,60,Disagree
6,6,Male,Married/living with a partner,Tertiary education,Employed,High,Wales,36,Neither agree nor disagree
6,6,Male,Married/living with a partner,Tertiary education,Employed,High,Wales,40,Disagree
5,10,Male,Married/living with a partner,Tertiary education,Employed,High,Scotland,54,Neither agree nor disagree
5,7,Male,Married/living with a partner,Upper secondary education,Employed,Low-medium,Wales,33,Neither agree nor disagree
7,7,Female,Married/living with a partner,Upper secondary education,Other,High,Scotland,55,Disagree
9,6,Male,Single,Upper secondary education,Full time student,,Scotland,18,Neither agree nor disagree
0,5,Female,Single,Lower secondary or below,Other,,North West,73,Agree
8,8,Male,Single,Tertiary education,Employed,High,South East,44,Disagree
6,6,Male,Married/living with a partner,Lower secondary or below,Employed,Medium-high,East of England,58,Strongly disagree
4,5,Female,Single,Tertiary education,Employed,,London,26,Neither agree nor disagree
7,6,Male,Single,Tertiary education,Full time student,,West Midlands,21,Agree
5,6,Male,Divorced/Separated,Lower secondary or below,Other,Low,Scotland,75,Neither agree nor disagree
5,6,Male,Married/living with a partner,Lower secondary or below,Employed,Low-medium,East of England,57,Strongly disagree
8,7,Female,Married/living with a partner,Lower secondary or below,Employed,High,Wales,34,Disagree
10,6,Male,Married/living with a partner,Lower secondary or below,Other,Low-medium,Yorkshire and the Humber,73,Strongly disagree
6,6,Female,Single,Upper secondary education,Employed,,Wales,28,Disagree
9,2,Male,Single,Lower secondary or below,Employed,Medium-high,East of England,54,Agree
8,7,Female,Single,Lower secondary or below,Other,,Wales,68,Disagree
7,99,Female,Married/living with a partner,Lower secondary or below,Employed,High,North East,63,Strongly disagree
5,4,Male,Married/living with a partner,Lower secondary or below,Other,,East Midlands,63,Disagree
6,6,Male,Married/living with a partner,Tertiary education,Employed,High,South East,27,Strongly agree
8,7,Male,Married/living with a partner,Tertiary education,Employed,Medium-high,West Midlands,28,Neither agree nor disagree
1,6,Female,Single,Lower secondary or below,Other,,South West,85,Neither agree nor disagree
3,6,Male,Married/living with a partner,Upper secondary education,Employed,High,North West,33,Disagree
6,8,Male,Married/living with a partner,Tertiary education,Employed,High,Yorkshire and the Humber,44,Disagree
0,6,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,London,67,Disagree
0,7,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low-medium,North East,58,Strongly agree
8,8,Female,Married/living with a partner,Upper secondary education,Other,Low,Scotland,66,Strongly disagree
7,5,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,London,31,Neither agree nor disagree
6,8,Male,Married/living with a partner,Tertiary education,Employed,Low-medium,South West,60,Disagree
3,8,Female,Married/living with a partner,Upper secondary education,Unemployed/not working,High,West Midlands,63,Disagree
8,99,Female,Married/living with a partner,Upper secondary education,Employed,,East of England,29,Neither agree nor disagree
7,6,Male,Single,Tertiary education,Other,Low-medium,East of England,64,Disagree
3,4,Male,Single,Tertiary education,Employed,Low,North East,52,Agree
4,5,Male,Single,Tertiary education,Employed,Low-medium,South East,33,Neither agree nor disagree
7,5,Male,Single,Tertiary education,Other,Low-medium,South East,73,Disagree
5,6,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,South West,45,Agree
10,99,Male,Married/living with a partner,Upper secondary education,Employed,,Wales,52,Strongly disagree
8,6,Female,Married/living with a partner,Upper secondary education,Unemployed/not working,,South West,57,Neither agree nor disagree
3,8,Male,Single,Tertiary education,Employed,,East Midlands,48,Disagree
6,8,Female,Married/living with a partner,Lower secondary or below,Other,High,South East,54,Agree
10,99,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,,South East,60,Neither agree nor disagree
5,5,Female,Single,Upper secondary education,Employed,,East of England,22,Agree
7,4,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,West Midlands,30,Disagree
7,7,Male,Married/living with a partner,Tertiary education,Other,,South East,73,Disagree
7,9,Female,Single,Tertiary education,Employed,Medium-high,East Midlands,39,Neither agree nor disagree
5,3,Female,Married/living with a partner,Upper secondary education,Employed,,North West,33,Agree
1,2,Female,Single,Tertiary education,Employed,Low,West Midlands,37,Strongly agree
3,8,Female,Married/living with a partner,Tertiary education,Other,,South East,60,Disagree
6,5,Female,Single,Lower secondary or below,Unemployed/not working,,South East,29,Neither agree nor disagree
5,6,Female,Married/living with a partner,Upper secondary education,Employed,High,South West,53,Agree
5,6,Female,Married/living with a partner,Lower secondary or below,Employed,Low-medium,Yorkshire and the Humber,50,Neither agree nor disagree
10,7,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,London,60,Strongly disagree
7,6,Female,Married/living with a partner,Tertiary education,Other,Medium-high,London,63,Disagree
7,8,Female,Single,Tertiary education,Employed,High,London,36,Disagree
7,7,Male,Married/living with a partner,Tertiary education,Employed,High,North West,58,Disagree
5,6,Male,Single,Tertiary education,Employed,,South West,57,Neither agree nor disagree
7,1,Male,Married/living with a partner,Upper secondary education,Other,Low,South West,60,Agree
6,7,Male,Married/living with a partner,Upper secondary education,Employed,High,North East,46,Disagree
7,7,Female,Married/living with a partner,Upper secondary education,Employed,High,London,37,Neither agree nor disagree
10,9,Female,Married/living with a partner,Tertiary education,Other,High,West Midlands,63,Strongly disagree
6,6,Female,Single,Tertiary education,Employed,Medium-high,Scotland,45,Neither agree nor disagree
7,8,Female,Married/living with a partner,Tertiary education,Employed,High,London,29,Disagree
5,7,Female,Married/living with a partner,Tertiary education,Full time student,,London,22,Disagree
2,9,Female,Married/living with a partner,Tertiary education,Unemployed/not working,Low-medium,West Midlands,25,Disagree
8,8,Male,Married/living with a partner,Upper secondary education,Employed,High,South East,31,Disagree
3,6,Male,Married/living with a partner,Tertiary education,Employed,High,North West,32,Disagree
10,6,Female,Married/living with a partner,Lower secondary or below,Other,,Wales,72,Disagree
10,8,Male,Married/living with a partner,Tertiary education,Employed,High,London,31,Disagree
7,5,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,East of England,42,Neither agree nor disagree
8,3,Male,Married/living with a partner,Upper secondary education,Other,Low,North West,64,Disagree
9,4,Male,Married/living with a partner,Tertiary education,Other,Medium-high,Scotland,65,Agree
7,7,Male,Married/living with a partner,Lower secondary or below,Employed,Medium-high,North East,33,Strongly disagree
2,5,Male,Married/living with a partner,Upper secondary education,Employed,High,South West,61,Agree
5,7,Male,Married/living with a partner,Tertiary education,Employed,,North West,81,Disagree
6,6,Female,Married/living with a partner,Upper secondary education,Employed,,Scotland,49,Strongly disagree
5,8,Male,Married/living with a partner,Upper secondary education,Employed,High,Yorkshire and the Humber,57,Disagree
10,6,Male,Married/living with a partner,Lower secondary or below,Employed,High,North West,48,Strongly disagree
10,9,Male,Married/living with a partner,Upper secondary education,Employed,High,South West,39,Strongly disagree
0,5,Female,Single,Lower secondary or below,Other,Low,East of England,72,Agree
7,5,Female,Single,Tertiary education,Employed,Medium-high,South East,26,Neither agree nor disagree
6,6,Male,Single,Upper secondary education,Employed,Medium-high,South West,44,Disagree
2,4,Male,Married/living with a partner,Tertiary education,Employed,High,West Midlands,27,Strongly disagree
9,7,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,North West,73,Disagree
8,5,Female,Married/living with a partner,Upper secondary education,Other,,West Midlands,59,Neither agree nor disagree
7,7,Male,Married/living with a partner,Tertiary education,Employed,,Wales,43,Disagree
7,8,Female,Married/living with a partner,Tertiary education,Employed,High,West Midlands,35,Disagree
8,7,Female,Single,Lower secondary or below,Other,Low,East of England,81,Disagree
9,7,Male,Married/living with a partner,Tertiary education,Employed,High,West Midlands,63,Strongly disagree
9,7,Female,Married/living with a partner,Upper secondary education,Unemployed/not working,,South West,49,Disagree
8,8,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,London,29,Strongly disagree
6,9,Female,Single,Tertiary education,Full time student,Low,South West,24,Strongly disagree
8,9,Female,Married/living with a partner,Upper secondary education,Employed,Low,Scotland,62,Strongly disagree
8,5,Male,Married/living with a partner,Tertiary education,Employed,High,North West,30,Disagree
5,99,Male,Single,Tertiary education,Employed,High,Scotland,53,Neither agree nor disagree
6,7,Male,Married/living with a partner,Tertiary education,Other,,East Midlands,84,Disagree
7,7,Female,Married/living with a partner,Tertiary education,Employed,High,West Midlands,27,Disagree
2,7,Female,Married/living with a partner,Upper secondary education,Employed,High,East of England,59,Disagree
9,8,Male,Married/living with a partner,Upper secondary education,Other,Medium-high,South East,64,Strongly disagree
8,99,Female,Single,Upper secondary education,Other,,East of England,67,Neither agree nor disagree
6,6,Female,Single,Tertiary education,Full time student,Low,Scotland,22,Disagree
5,7,Male,Single,Tertiary education,Employed,High,East of England,25,Disagree
6,6,Male,Married/living with a partner,Tertiary education,Unemployed/not working,Medium-high,South East,39,Disagree
5,6,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low,South East,33,Neither agree nor disagree
0,1,Male,Married/living with a partner,Upper secondary education,Unemployed/not working,Low,East of England,54,Strongly agree
4,5,Female,Married/living with a partner,Upper secondary education,Other,Low-medium,Wales,71,Neither agree nor disagree
6,6,Female,Married/living with a partner,Upper secondary education,Employed,Low,South West,43,Disagree
9,7,Male,Married/living with a partner,Tertiary education,Employed,High,East of England,51,Disagree
6,6,Female,Married/living with a partner,Lower secondary or below,Employed,,East of England,57,Neither agree nor disagree
6,5,Male,Single,Upper secondary education,Employed,,Yorkshire and the Humber,58,Neither agree nor disagree
7,8,Female,Married/living with a partner,Tertiary education,Employed,High,East Midlands,38,Disagree
8,8,Male,Single,Tertiary education,Employed,High,London,50,Disagree
6,7,Female,Married/living with a partner,Tertiary education,Full time student,High,East of England,26,Disagree
6,8,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,South East,64,Disagree
2,3,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,Scotland,57,Agree
0,6,Female,Married/living with a partner,Upper secondary education,Employed,,West Midlands,36,Strongly agree
9,10,Female,Married/living with a partner,Upper secondary education,Unemployed/not working,High,East of England,45,Strongly disagree
6,9,Female,Married/living with a partner,Tertiary education,Employed,High,South East,30,Disagree
6,7,Female,Married/living with a partner,Upper secondary education,Employed,High,East Midlands,36,Neither agree nor disagree
7,6,Male,Single,Tertiary education,Employed,Medium-high,South West,35,Disagree
7,7,Female,Married/living with a partner,Upper secondary education,Employed,High,South East,32,Disagree
6,7,Female,Married/living with a partner,Tertiary education,Unemployed/not working,,Scotland,32,Disagree
2,6,Male,Divorced/Separated,Tertiary education,Other,,South West,61,Neither agree nor disagree
7,6,Female,Married/living with a partner,Upper secondary education,Employed,,Scotland,65,Neither agree nor disagree
3,4,Female,Married/living with a partner,Lower secondary or below,Employed,Low,East of England,54,Neither agree nor disagree
7,7,Female,Married/living with a partner,Upper secondary education,Other,Low,North West,70,Neither agree nor disagree
10,3,Female,Single,Tertiary education,Employed,Low-medium,East of England,29,Agree
7,6,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,North West,55,Neither agree nor disagree
4,5,Female,Single,Tertiary education,Employed,High,Yorkshire and the Humber,34,Agree
8,6,Female,Single,Upper secondary education,Employed,Low-medium,Wales,30,Strongly disagree
10,8,Female,Single,Upper secondary education,Other,,East Midlands,63,Agree
2,6,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,East of England,62,Neither agree nor disagree
6,6,Female,Married/living with a partner,Upper secondary education,Other,,South East,65,Disagree
7,4,Female,Married/living with a partner,Tertiary education,Unemployed/not working,Low,South East,60,Neither agree nor disagree
6,6,Female,Married/living with a partner,Tertiary education,Employed,High,Yorkshire and the Humber,45,Disagree
5,7,Female,Married/living with a partner,Upper secondary education,Employed,High,East of England,40,Strongly disagree
10,9,Male,Married/living with a partner,Tertiary education,Other,Low-medium,East Midlands,70,Strongly disagree
8,7,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,South West,70,Strongly disagree
8,8,Female,Married/living with a partner,Upper secondary education,Other,Low,Yorkshire and the Humber,65,Strongly disagree
5,8,Female,Single,Tertiary education,Employed,High,London,43,Disagree
7,8,Female,Married/living with a partner,Tertiary education,Employed,High,East Midlands,56,Disagree
8,6,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,South West,59,Disagree
9,6,Female,Single,Upper secondary education,Employed,Low-medium,London,27,Disagree
6,6,Male,Married/living with a partner,Lower secondary or below,Other,Medium-high,North West,83,Strongly disagree
7,4,Male,Married/living with a partner,Lower secondary or below,Other,Low-medium,East of England,57,Agree
8,5,Male,Single,Upper secondary education,Other,Low,North East,71,Disagree
7,6,Male,Married/living with a partner,Upper secondary education,Employed,Low-medium,West Midlands,47,Disagree
6,7,Male,Single,Tertiary education,Employed,Low-medium,North West,38,Disagree
8,8,Female,Single,Upper secondary education,Employed,,East of England,26,Neither agree nor disagree
4,7,Female,Single,Upper secondary education,Employed,,East of England,28,Disagree
8,7,Female,Single,Tertiary education,Employed,,North West,24,Disagree
7,7,Female,Married/living with a partner,Tertiary education,Other,Low-medium,Scotland,63,Strongly disagree
6,6,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,,Scotland,61,Neither agree nor disagree
3,3,Female,Single,Upper secondary education,Unemployed/not working,,Scotland,39,Agree
3,5,Male,Divorced/Separated,Upper secondary education,Unemployed/not working,,North East,29,Agree
6,5,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,North East,37,Neither agree nor disagree
8,6,Male,Married/living with a partner,Tertiary education,Employed,High,London,54,Strongly disagree
8,8,Male,Married/living with a partner,Lower secondary or below,Employed,Medium-high,South East,58,Agree
