Sserial	Rsex	RAgeCat	Married	ChildHh	HEdQual3	eq_inc_quintiles	RClassGp	CCBELIEV	carallow	carreduc	carnod2	cartaxhi	carenvdc	plnenvt	plnuppri	Politics	Voted	actchar	actpol	govnosa2	PartyId2	leftrigh	libauth	WtFactor
290038	1	3	1	1	1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	2	5	2	3.666666667	0.974394
290039	2	2	4	2	2	-1	2	3	2	4	2	5	4	3	4	4	-1	-1	-1	-1	8	2.2	3.333333333	0.508080863
290040	2	4	1	2	4	-1	3	2	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	8	-1	-1	0.904996287
290041	1	7	4	2	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	5	5	4	2	2.2	2	0.562515867
290042	2	7	1	1	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	4	4	5	6	1.8	3	1.482669044
290043	1	4	4	2	1	-1	1	3	3	1	5	1	1	5	1	1	-1	-1	-1	-1	6	2.6	2.833333333	0.435089153
290044	2	6	4	2	4	-1	4	3	1	2	4	2	3	4	1	2	-1	-1	-1	-1	2	2.4	3.6	0.480223383
290045	2	6	1	2	2	4	1	2	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	2.6	3	0.951874395
290046	1	5	2	2	2	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	3	1	3	5	4	2	2.4	3	0.494463726
290047	1	2	4	2	8	2	5	2	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	5	2.8	3.666666667	1.435407061
290048	2	3	1	1	1	-1	1	3	3	2	2	4	2	4	2	2	-1	-1	-1	-1	2	2.2	3.333333333	0.924484513
290049	1	2	1	2	1	4	2	-1	-1	-1	-1	-1	-1	-1	-1	2	2	2	2	3	1	1.8	4.833333333	1.296201297
290050	2	4	1	1	2	-1	2	3	2	3	4	2	2	2	2	3	-1	-1	-1	-1	3	4	3.833333333	1.414979305
290051	2	4	1	1	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	3	2	2.2	3.166666667	1.294038492
290052	2	3	1	1	1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	2	2	3	2.5	0.640915208
290053	1	7	1	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	-1	-1	1.019094447
290054	2	4	1	1	2	2	1	3	-1	-1	-1	-1	-1	-1	-1	5	1	-1	-1	-1	5	4	3.833333333	1.166745372
290055	2	3	1	2	2	3	2	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	3	3.166666667	0.835698933
290056	1	4	1	2	3	-1	3	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	2	3.2	1.039787378
290057	2	3	1	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	3	3	3	3.166666667	1.567020065
290058	2	3	1	1	3	1	4	2	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	1	2.2	4	1.354870952
290059	1	7	1	2	3	2	4	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	-1	-1	0.71111228
290060	1	4	3	1	2	5	1	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	1	3.6	3.666666667	1.298354662
290061	2	4	4	2	4	4	8	-1	-1	-1	-1	-1	-1	-1	-1	3	2	5	5	2	5	1	3.333333333	0.491693462
290062	2	6	1	2	8	-1	4	2	3	4	3	2	1	3	4	3	-1	-1	-1	-1	4	2.6	3.833333333	1.078789212
290063	2	2	1	1	4	1	1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	-1	-1	1.343868511
290064	2	5	1	2	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2	5	4	1	2.8	3.166666667	0.753183793
290065	2	6	2	2	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	4	5	4	1	2.8	3.666666667	0.424718119
290066	2	7	3	2	1	4	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	6	1.6	2.833333333	0.577233325
290067	1	7	1	2	1	4	4	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	2	3.666666667	0.734955675
290068	2	7	2	2	3	4	1	2	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	1	1.2	4.166666667	0.533518022
290069	1	3	1	2	2	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	-1	-1	0.921032738
290070	2	7	3	2	4	-1	2	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	1	-1	-1	0.558650194
290071	1	2	1	1	1	4	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	3.4	3.166666667	1.276151071
290072	1	2	1	1	3	-1	5	2	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	1.4	3.5	1.918483504
290073	1	4	2	2	3	-1	5	3	4	3	3	3	4	3	3	3	-1	-1	-1	-1	5	3.4	3.333333333	0.48244488
290074	2	7	3	2	2	4	4	3	-1	-1	-1	-1	-1	-1	-1	3	1	8	5	2	2	3.6	4	0.562896182
290075	1	4	1	1	3	4	5	-1	-1	-1	-1	-1	-1	-1	-1	2	2	5	5	1	2	1.6	5	1.255106376
290076	1	3	1	1	4	-1	3	3	5	5	2	8	2	3	3	3	-1	-1	-1	-1	2	2.4	3.666666667	1.55420542
290077	2	1	4	2	2	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	-1	-1	1.236154615
290078	2	7	3	2	4	-1	5	2	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	1	2.8	4.166666667	0.676190225
290079	2	7	3	2	2	5	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	2.75	4	0.569872081
290080	2	7	1	2	2	-1	2	3	-1	-1	-1	-1	-1	-1	-1	3	1	4	5	3	1	3.6	3.833333333	0.637389846
290081	2	7	1	2	4	4	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	2	4	1.110766939
290082	2	3	2	1	3	2	2	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	5	2.4	3.166666667	0.441852262
290083	2	6	1	2	3	-1	4	3	-1	-1	-1	-1	-1	-1	-1	2	1	9	9	9	1	2.2	4.166666667	0.67993008
290084	2	2	4	2	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	4	5	3	2	2.2	1.666666667	1.470006835
290085	2	4	1	2	2	4	2	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	1	2	4	0.718721289
290086	2	4	1	1	2	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	4	4	2	1	1.8	3.333333333	0.797214762
290087	2	7	4	2	2	-1	1	3	-1	-1	-1	-1	-1	-1	-1	4	1	1	5	2	1	2.4	4	0.497623669
290088	2	7	1	2	4	3	5	3	-1	-1	-1	-1	-1	-1	-1	3	2	5	5	3	1	2.6	4.666666667	1.201264285
290089	2	2	4	1	3	3	5	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	6	3	3.2	0.647753606
290090	2	7	1	2	3	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	5	1	3	3.833333333	1.062395968
290091	1	7	3	2	4	-1	3	1	4	4	2	4	2	2	3	1	-1	-1	-1	-1	1	3.4	4.166666667	0.427313547
290092	2	3	2	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	3	2	2	2.333333333	0.870294142
290093	2	5	1	1	3	3	2	3	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	5	1.2	4.166666667	1.935547773
290094	2	2	4	1	3	1	-1	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	5	9	4.8	0.560894904
290095	1	4	1	2	2	4	3	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	-1	-1	1.95333646
290096	1	7	1	2	3	-1	3	2	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	4	3.4	4.5	0.783990707
290097	2	7	1	2	4	-1	5	3	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	4	-1	-1	1.135626468
290098	2	2	1	2	1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	-1	-1	1.852645432
290099	2	4	1	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	1	-1	-1	0.91278938
290100	2	2	1	1	3	2	3	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	2	-1	-1	0.962645785
290101	2	4	2	2	1	2	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	1	5	5	3	1	4.666666667	0.626482812
290102	1	2	1	2	8	4	5	3	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	1	5	2.2	3.166666667	1.659790016
290103	2	7	3	2	4	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	2.2	3.833333333	0.749284848
290104	2	2	1	1	2	3	2	3	-1	-1	-1	-1	-1	-1	-1	2	2	1	5	3	2	2.2	3.833333333	1.066680413
290105	2	7	1	2	4	3	5	3	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	2	1	2.8	4.5	1.199597708
290106	2	7	3	2	2	-1	1	3	3	1	4	3	2	3	2	2	-1	-1	-1	-1	2	2.6	2.666666667	0.45592183
290107	2	5	1	1	3	5	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	1	4	3.5	0.849438483
290108	2	4	1	1	1	4	1	3	-1	-1	-1	-1	-1	-1	-1	4	2	5	5	3	5	3.4	3.666666667	1.247651272
290109	1	4	4	2	1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	4	5	2	1	2.4	3.833333333	0.700112624
290110	2	1	1	2	3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	-1	-1	1.793359147
290111	1	2	1	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	2.6	3.333333333	1.54818646
290112	1	7	3	2	4	3	5	3	-1	-1	-1	-1	-1	-1	-1	2	2	-1	-1	-1	1	2	5	0.379550036
290113	2	2	4	1	3	2	5	3	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	3	5	2.8	3	0.784159625
290114	1	7	1	2	2	4	4	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	1.2	3.333333333	0.825742648
290115	1	3	1	2	8	4	1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	5	5	1	5	2.2	3.333333333	3.18670545
290116	1	2	4	2	4	-1	2	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	1.8	3.666666667	2.516405041
290117	1	3	1	1	3	-1	3	3	-1	-1	-1	-1	-1	-1	-1	3	2	3	4	3	1	2.4	3.833333333	1.033160843
290118	1	4	1	1	3	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	3	5	2.8	3.833333333	1.89116953
290119	1	5	1	2	2	5	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3	5	4	3	2	2.5	0.988723947
290120	2	7	3	2	4	-1	1	3	2	4	2	4	2	3	4	5	-1	-1	-1	-1	5	1	3.166666667	0.649525224
290121	1	7	3	2	4	-1	5	2	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	2	-1	-1	0.55906769
290122	2	1	4	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	3	5	1	3	3.2	1.666666667	1.085762403
290123	1	2	4	2	3	-1	4	3	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	2	1	3.2	4.5	1.771317896
290125	2	7	4	2	3	4	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	8	2.4	3.166666667	0.601137076
290126	1	7	1	2	2	-1	1	3	3	2	4	4	2	2	2	2	-1	-1	-1	-1	1	3.6	3.666666667	0.794530349
290127	2	3	1	1	2	-1	2	3	-1	-1	-1	-1	-1	-1	-1	2	1	4	5	4	5	2.6	3.666666667	0.762958317
290128	1	4	2	2	4	-1	5	3	4	3	3	4	3	2	3	5	-1	-1	-1	-1	5	2	3.5	0.652352091
290129	1	3	1	1	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	4	1	3.2	2.5	1.492010944
290130	1	5	2	2	3	-1	5	3	3	2	1	4	4	3	2	4	-1	-1	-1	-1	4	1.8	4.5	0.670226977
290131	2	7	1	2	4	-1	2	3	9	9	9	9	9	4	3	1	-1	-1	-1	-1	1	9	9	0.95935132
290132	1	6	1	2	2	-1	2	3	3	2	2	4	3	4	2	2	-1	-1	-1	-1	2	3	3.166666667	0.9226248
290133	1	3	4	2	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	-1	8	2.8	2.833333333	0.883697946
290134	2	4	4	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	2	3.5	0.580188602
290135	1	5	1	2	1	-1	3	3	4	1	3	2	2	4	2	3	-1	-1	-1	-1	3	2.4	3.5	0.846144947
290136	2	6	3	2	2	3	5	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	5	1.6	3.5	0.512431698
290137	1	7	1	2	4	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	1	1	5	5	9	1	2.4	4.333333333	0.68794022
290138	1	5	1	2	2	4	4	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	3.2	3.833333333	1.340453955
290139	1	7	1	2	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	2.8	3.166666667	0.878423135
290140	2	6	1	2	2	-1	2	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	4.2	2.666666667	1.446492453
290141	1	4	2	2	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	4	1	3	4.166666667	0.598988431
290142	2	4	4	2	3	-1	5	2	3	2	2	3	3	4	3	2	-1	-1	-1	-1	2	2.2	4.333333333	0.437748573
290143	1	3	1	1	1	1	5	-1	-1	-1	-1	-1	-1	-1	-1	3	1	3	9	3	2	2.8	3.666666667	1.265640446
290144	2	3	4	1	2	-1	1	2	8	4	2	3	2	3	4	3	-1	-1	-1	-1	2	2.4	3.5	0.592613027
290145	2	7	3	1	4	-1	2	3	8	8	8	8	8	8	8	3	-1	-1	-1	-1	1	3	3.166666667	1.373494398
290146	2	4	1	1	3	1	3	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	-1	-1	1.360316229
290147	2	2	1	2	1	-1	1	3	4	2	4	2	1	2	1	3	-1	-1	-1	-1	1	2.8	2.666666667	0.992562692
290148	1	5	1	2	3	5	3	3	-1	-1	-1	-1	-1	-1	-1	3	2	9	9	1	5	5	4.333333333	1.161734963
290149	2	4	1	1	1	3	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	4	3.333333333	1.114451004
290150	1	6	3	2	3	-1	5	3	4	2	8	2	3	4	2	3	-1	-1	-1	-1	2	1.8	4	0.363268953
290151	2	3	1	1	8	4	1	3	-1	-1	-1	-1	-1	-1	-1	2	2	-1	-1	-1	1	3.4	3.166666667	0.773204229
290152	1	1	4	2	4	4	5	1	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	-1	2	2.2	3.666666667	2.944834656
290153	2	3	1	1	2	4	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	-1	-1	0.91650192
290154	1	4	4	2	4	4	4	3	-1	-1	-1	-1	-1	-1	-1	3	2	4	9	2	5	3.2	4.333333333	0.656163754
290155	1	3	1	1	1	4	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	-1	-1	1.090374236
290156	2	4	1	2	2	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	1	1	2.2	4.333333333	0.842162665
290157	2	2	4	1	3	-1	5	3	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	5	-1	-1	0.559890532
290158	1	7	2	2	4	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	1	2	5	5	2	1	1.6	3	0.682442868
290159	2	7	2	2	4	3	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	1	9	2	1	9	4.5	0.469792381
290160	1	3	1	2	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	2	1	1	4	2	2	1.4	3.166666667	1.40802159
290161	1	7	1	2	2	5	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	3.4	3.333333333	0.775880595
290162	2	5	2	2	4	-1	5	3	3	3	8	4	2	2	2	5	-1	-1	-1	-1	5	2	4.166666667	0.413461219
290163	1	1	4	2	3	-1	4	3	2	3	3	3	2	3	3	5	-1	-1	-1	-1	5	2.4	3.333333333	3.174901523
290164	2	3	4	1	4	1	4	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	5	2	4	0.632184559
290165	1	2	1	1	1	-1	1	3	3	1	4	2	2	4	2	2	-1	-1	-1	-1	4	2.2	3	1.439369147
290166	2	4	2	1	3	4	5	-1	-1	-1	-1	-1	-1	-1	-1	4	1	3	5	5	1	4	4.333333333	0.836978463
290167	2	1	4	2	3	2	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	3	4.333333333	1.443393755
290168	1	4	1	2	3	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	2.2	3.333333333	1.301309745
290169	2	7	3	2	2	3	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	3	2.8	1.333333333	0.543558766
290170	2	7	1	2	2	-1	2	1	3	2	3	4	2	2	2	3	-1	-1	-1	-1	1	4	3.333333333	1.097430996
290171	1	2	1	1	2	-1	3	1	2	3	2	5	2	4	3	3	-1	-1	-1	-1	2	2	4.5	1.240210716
290172	2	2	4	1	3	-1	5	3	4	2	2	3	2	4	2	3	-1	-1	-1	-1	4	2.2	3.333333333	0.512911135
290173	2	7	3	2	3	3	5	3	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	3	2	2.4	3.666666667	0.617541732
290174	1	2	1	1	1	-1	1	3	3	2	2	3	1	3	2	3	-1	-1	-1	-1	2	3.4	4.333333333	1.225952266
290175	2	3	1	1	2	-1	1	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	3	3	1.23731916
290176	1	7	2	2	3	4	1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	3	1	2.4	3.5	0.391911862
290177	1	2	1	1	3	-1	5	1	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	3	3	1.326312269
290178	2	4	2	2	2	-1	3	3	4	2	2	3	2	4	2	3	-1	-1	-1	-1	2	3.4	3.5	0.468309075
290179	2	2	1	1	2	3	2	3	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	2	2	2.6	2.833333333	1.15564141
290180	1	7	4	2	1	3	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	5	5	4	3	4	2.666666667	0.446564416
290181	1	3	1	1	1	3	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	3	-1	-1	1.241310186
290182	2	5	1	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	4	3	2.6	1.666666667	0.897984484
290183	2	7	2	2	4	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0.591617321
290184	2	2	4	1	4	1	5	-1	-1	-1	-1	-1	-1	-1	-1	5	2	5	1	2	8	1.8	2.166666667	0.756695073
290185	2	7	3	2	3	-1	2	2	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	2.8	4.166666667	0.528963062
290186	1	2	1	2	3	2	3	-1	-1	-1	-1	-1	-1	-1	-1	5	2	4	5	4	5	3	4.5	1.280259479
290187	2	6	1	2	2	-1	2	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	-1	-1	0.84514955
290188	1	1	4	2	2	-1	5	3	1	2	1	5	2	2	1	2	-1	-1	-1	-1	2	1.6	2.5	2.273347726
290189	2	7	1	1	2	-1	1	3	5	2	2	5	4	4	5	2	-1	-1	-1	-1	1	2.6	3.5	2.218359505
290190	2	3	2	1	4	2	5	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	1	1.6	3.833333333	0.742362572
290191	2	4	1	2	2	3	1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	3	8	3	4	0.9046104
290192	1	3	1	1	1	-1	1	3	4	1	4	2	2	2	2	3	-1	-1	-1	-1	5	2.2	3	1.286238744
290193	2	2	1	2	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	-1	-1	1.15184058
290194	2	3	4	1	3	1	5	3	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	2	5	3	4	0.927035294
290195	2	4	1	1	4	-1	5	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	5	-1	-1	1.463441119
290196	1	6	1	2	3	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	2	2	1.8	4	0.899230973
290197	1	7	1	2	2	-1	3	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	1	-1	-1	0.846769545
290198	1	4	1	2	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	4	5	3	1	3.2	3.666666667	0.561619592
290199	1	3	1	1	3	3	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	-1	-1	1.079624048
290200	2	1	4	2	2	-1	5	3	4	2	1	8	1	4	3	4	-1	-1	-1	-1	2	2.8	3	1.853883332
290201	1	5	1	1	4	4	4	3	-1	-1	-1	-1	-1	-1	-1	1	2	5	5	2	1	3.4	3.333333333	1.996149182
290202	2	2	1	1	1	3	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	3	4.166666667	0.974412648
290203	1	7	1	2	3	-1	5	3	4	2	3	4	2	5	2	2	-1	-1	-1	-1	1	1.6	4.166666667	0.772131454
290204	2	7	1	2	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	5	1	1	4	4.166666667	0.778162331
290205	1	5	1	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	4	1	4.2	3.5	1.136242787
