YYYY,Month,MM,DD,Tmax,Tmin,Tmean,Trange,Rainfall_mm
1827,Oct,10,14,13.3,12.8,13.1,0.5,0
1827,Oct,10,15,16.1,9.4,12.8,6.7,0
1827,Oct,10,16,16.7,13.3,15,3.4,0
1827,Oct,10,17,16.1,9.4,12.8,6.7,0
1827,Oct,10,18,16.7,5.6,11.2,11.1,0
1827,Oct,10,19,16.7,10,13.4,6.7,0
1827,Oct,10,20,10.6,9.7,10.2,0.9,1.6
1827,Oct,10,21,15,14.1,14.6,0.9,0
1827,Oct,10,22,15,10.6,12.8,4.4,4.8
1827,Oct,10,23,13.3,11.1,12.2,2.2,14.8
1827,Oct,10,24,15.6,9.4,12.5,6.2,16.6
1827,Oct,10,25,15,10,12.5,5,0
1827,Oct,10,26,15.6,11.7,13.7,3.9,4.4
1827,Oct,10,27,15.6,11.1,13.4,4.5,0
1827,Oct,10,28,8.3,7.8,8.1,0.5,0
1827,Oct,10,29,8.3,0.6,4.5,7.7,11.7
1827,Oct,10,30,10,1.7,5.9,8.3,0
1827,Oct,10,31,11.1,3.9,7.5,7.2,1.3
1827,Nov,11,1,11.1,1.1,6.1,10,0
1827,Nov,11,2,11.1,3.3,7.2,7.8,0
1827,Nov,11,3,10.6,0.6,5.6,10,0
1827,Nov,11,4,13.9,7.9,10.9,6,0
1827,Nov,11,5,13.9,7.8,10.9,6.1,0
1827,Nov,11,6,12.8,10.6,11.7,2.2,0
1827,Nov,11,7,12.2,8.9,10.6,3.3,0
1827,Nov,11,8,10,7.2,8.6,2.8,0
1827,Nov,11,9,12.8,8.3,10.6,4.5,0
1827,Nov,11,10,11.7,7.2,9.5,4.5,1.5
1827,Nov,11,11,12.2,8.9,10.6,3.3,0
1827,Nov,11,12,12.8,8.3,10.6,4.5,0
1827,Nov,11,13,15.6,9.4,12.5,6.2,0
1827,Nov,11,14,10,9.4,9.7,0.6,0
1827,Nov,11,15,10,7.8,8.9,2.2,9.3
1827,Nov,11,16,9.4,6.1,7.8,3.3,0
1827,Nov,11,17,10.6,0.6,5.6,10,10
1827,Nov,11,18,8.9,6.5,7.7,2.4,0
1827,Nov,11,19,10,6.7,8.4,3.3,0
1827,Nov,11,20,8.9,7.2,8.1,1.7,0
1827,Nov,11,21,2.8,2.2,2.5,0.6,0.4
1827,Nov,11,22,1.7,-5.6,-2,7.3,0
1827,Nov,11,23,0.6,-5.6,-2.5,6.2,0
1827,Nov,11,24,0.6,-3.3,-1.4,3.9,0
1827,Nov,11,25,6.1,-4.4,0.9,10.5,0
1827,Nov,11,26,7.8,2.8,5.3,5,0
1827,Nov,11,27,8.9,3.3,6.1,5.6,0
1827,Nov,11,28,7.2,3.3,5.3,3.9,0
1827,Nov,11,29,10,5.6,7.8,4.4,18.5
1827,Nov,11,30,11.7,6.7,9.2,5,5.5
1827,Dec,12,1,10.6,8.9,9.8,1.7,0
1827,Dec,12,2,7.8,6.1,7,1.7,0
1827,Dec,12,3,10,6.1,8.1,3.9,1.6
1827,Dec,12,4,11.7,5.6,8.7,6.1,0
1827,Dec,12,5,12.2,8.9,10.6,3.3,0
1827,Dec,12,6,7.8,6.7,7.3,1.1,1.8
1827,Dec,12,7,9.4,-0.1,4.7,9.5,0
1827,Dec,12,8,12.9,4.4,8.7,8.5,1.3
1827,Dec,12,9,10.6,-1.1,4.8,11.7,0
1827,Dec,12,10,11.7,1.7,6.7,10,0
1827,Dec,12,11,10,5.6,7.8,4.4,0
1827,Dec,12,12,6.1,1.1,3.6,5,7
1827,Dec,12,13,7.2,1.7,4.5,5.5,2.9
1827,Dec,12,14,10.6,2.2,6.4,8.4,0
1827,Dec,12,15,11.1,5,8.1,6.1,0
1827,Dec,12,16,7.1,5.6,6.4,1.5,16.9
1827,Dec,12,17,10.9,1.1,6,9.8,0
1827,Dec,12,18,12.1,5.7,8.9,6.4,2.5
1827,Dec,12,19,12.2,9.8,11,2.4,8.7
1827,Dec,12,20,8.4,7.7,8.1,0.7,3.6
1827,Dec,12,21,9.3,2.8,6.1,6.5,0
1827,Dec,12,22,9.8,3.6,6.7,6.2,0
1827,Dec,12,23,11.1,5.9,8.5,5.2,2.9
1827,Dec,12,24,12.2,3.9,8.1,8.3,14.8
1827,Dec,12,25,8.9,2.2,5.6,6.7,0
1827,Dec,12,26,10,5,7.5,5,0
1827,Dec,12,27,10.6,7.2,8.9,3.4,0
1827,Dec,12,28,4.4,0.6,2.5,3.8,0
1827,Dec,12,29,1.1,-1.1,0,2.2,0
1827,Dec,12,30,3.9,-4.4,-0.3,8.3,0
1827,Dec,12,31,7.8,0,3.9,7.8,7.7
1828,Jan,1,1,7.2,3.3,5.3,3.9,0
1828,Jan,1,2,10,1.1,5.6,8.9,0
1828,Jan,1,3,6.7,2.8,4.8,3.9,12.8
1828,Jan,1,4,4.4,0,2.2,4.4,0
1828,Jan,1,5,3.3,0,1.7,3.3,3.6
1828,Jan,1,6,2.8,0.6,1.7,2.2,0
1828,Jan,1,7,3.3,-1.1,1.1,4.4,0
1828,Jan,1,8,2.2,-1.1,0.6,3.3,0
1828,Jan,1,9,-1.1,-1.1,-1.1,0,0
1828,Jan,1,10,-0.6,-5,-2.8,4.4,0
1828,Jan,1,11,2.8,-4.4,-0.8,7.2,0
1828,Jan,1,12,7.8,-2.8,2.5,10.6,0
1828,Jan,1,13,7.8,1.7,4.8,6.1,24.5
1828,Jan,1,14,3.3,2.2,2.8,1.1,0
1828,Jan,1,15,1.7,1.1,1.4,0.6,1.7
1828,Jan,1,16,7.8,0,3.9,7.8,0
1828,Jan,1,17,8.9,1.7,5.3,7.2,16.9
1828,Jan,1,18,12.8,8.3,10.6,4.5,3.4
1828,Jan,1,19,12.8,7.8,10.3,5,0
1828,Jan,1,20,11.7,8.6,10.2,3.1,0
1828,Jan,1,21,10,5.6,7.8,4.4,0
1828,Jan,1,22,11.1,6.7,8.9,4.4,0
1828,Jan,1,23,10.6,6.7,8.7,3.9,0
1828,Jan,1,24,11.1,5,8.1,6.1,0
1828,Jan,1,25,11.7,8.3,10,3.4,0
1828,Jan,1,26,8.3,3.9,6.1,4.4,0.4
1828,Jan,1,27,10,5.6,7.8,4.4,0
1828,Jan,1,28,6.1,0.6,3.4,5.5,0
1828,Jan,1,29,8.3,3.9,6.1,4.4,0
1828,Jan,1,30,8.3,2.8,5.6,5.5,0
1828,Jan,1,31,10,3.3,6.7,6.7,1.7
1828,Feb,2,1,10,8.9,9.5,1.1,0
1828,Feb,2,2,8.8,6.1,7.5,2.7,0
1828,Feb,2,3,9.4,1.3,5.4,8.1,0
1828,Feb,2,4,11.7,2.2,7,9.5,0.5
1828,Feb,2,5,11.7,8.3,10,3.4,0
1828,Feb,2,6,10.6,7.2,8.9,3.4,0
1828,Feb,2,7,8.3,3.9,6.1,4.4,0
1828,Feb,2,8,5.6,1.1,3.4,4.5,2.9
1828,Feb,2,9,4.4,1.1,2.8,3.3,0
1828,Feb,2,10,2.2,0.6,1.4,1.6,0
1828,Feb,2,11,1.7,-2.2,-0.3,3.9,0
1828,Feb,2,12,-0.6,-3.3,-2,2.7,0
1828,Feb,2,13,1.7,-3.3,-0.8,5,0
1828,Feb,2,14,2.8,-1.1,0.9,3.9,7.5
1828,Feb,2,15,3.9,-1.1,1.4,5,0
1828,Feb,2,16,5.3,-3.9,0.7,9.2,0
1828,Feb,2,17,4.4,-1.7,1.4,6.1,0
1828,Feb,2,18,6.7,-0.6,3.1,7.3,0
1828,Feb,2,19,8.3,1.7,5,6.6,0
1828,Feb,2,20,9.4,2.2,5.8,7.2,0
1828,Feb,2,21,7.2,3.9,5.6,3.3,0
1828,Feb,2,22,8.3,2.2,5.3,6.1,0
1828,Feb,2,23,5,3.9,4.5,1.1,3.5
1828,Feb,2,24,8.9,1.7,5.3,7.2,0
1828,Feb,2,25,11.7,5.6,8.7,6.1,0
1828,Feb,2,26,13.9,10.6,12.3,3.3,5.4
1828,Feb,2,27,15,8.9,12,6.1,0
1828,Feb,2,28,11.1,5.6,8.4,5.5,0
1828,Feb,2,29,15.2,4.4,9.8,10.8,0
1828,Mar,3,1,9.1,7.8,8.5,1.3,0
1828,Mar,3,2,7.8,5.6,6.7,2.2,0
1828,Mar,3,3,8.9,0.6,4.8,8.3,0
1828,Mar,3,4,10.6,3.3,7,7.3,0
1828,Mar,3,5,6.1,-1.1,2.5,7.2,0
1828,Mar,3,6,2.8,-2.8,0,5.6,0
1828,Mar,3,7,5.6,-4.4,0.6,10,0
1828,Mar,3,8,13.9,1.7,7.8,12.2,2
1828,Mar,3,9,12.8,8.9,10.9,3.9,0
1828,Mar,3,10,12.8,6.1,9.5,6.7,0
1828,Mar,3,11,15,6.1,10.6,8.9,0
1828,Mar,3,12,11.1,6.1,8.6,5,0
1828,Mar,3,13,15.6,6.7,11.2,8.9,0
1828,Mar,3,14,13.3,6.7,10,6.6,0
1828,Mar,3,15,16.5,2.8,9.7,13.7,0
1828,Mar,3,16,11.1,7.6,9.4,3.5,0
1828,Mar,3,17,15,8.9,12,6.1,1.3
1828,Mar,3,18,12.8,6.7,9.8,6.1,0
1828,Mar,3,19,10,7.2,8.6,2.8,0.7
1828,Mar,3,20,10,3.9,7,6.1,0
1828,Mar,3,21,9.4,3.3,6.4,6.1,0
1828,Mar,3,22,7.2,0.6,3.9,6.6,0.5
1828,Mar,3,23,7.2,-1.1,3.1,8.3,0
1828,Mar,3,24,7.8,-1.1,3.4,8.9,0
1828,Mar,3,25,7.8,0,3.9,7.8,0
1828,Mar,3,26,8.3,-3.3,2.5,11.6,0
1828,Mar,3,27,12.8,3.3,8.1,9.5,4.2
1828,Mar,3,28,7.8,3.9,5.9,3.9,0
1828,Mar,3,29,7.2,1.1,4.2,6.1,0
1828,Mar,3,30,8.3,-0.7,3.8,9,1
1828,Mar,3,31,10.6,-2.8,3.9,13.4,0
1828,Apr,4,1,11.7,0,5.9,11.7,0
1828,Apr,4,2,9.4,2.8,6.1,6.6,0
1828,Apr,4,3,7.8,-1.7,3.1,9.5,0
1828,Apr,4,4,7.2,-1.1,3.1,8.3,0
1828,Apr,4,5,11.1,-1.1,5,12.2,0
1828,Apr,4,6,9.4,2.2,5.8,7.2,0
1828,Apr,4,7,10,3.3,6.7,6.7,7
1828,Apr,4,8,11.1,1.1,6.1,10,0
1828,Apr,4,9,12.2,5.6,8.9,6.6,0
1828,Apr,4,10,13.9,3.3,8.6,10.6,1.8
1828,Apr,4,11,13.9,3.9,8.9,10,0
1828,Apr,4,12,12.1,8.3,10.2,3.8,0
1828,Apr,4,13,15,8.2,11.6,6.8,11.4
1828,Apr,4,14,15,5,10,10,0
1828,Apr,4,15,15,6.7,10.9,8.3,0
1828,Apr,4,16,14.4,7.2,10.8,7.2,11.9
1828,Apr,4,17,13.9,6.7,10.3,7.2,8.9
1828,Apr,4,18,15,7.8,11.4,7.2,0
1828,Apr,4,19,11.1,6.7,8.9,4.4,6.2
1828,Apr,4,20,10,7.2,8.6,2.8,0
1828,Apr,4,21,8.9,5.6,7.3,3.3,0
1828,Apr,4,22,10,3.3,6.7,6.7,4.1
1828,Apr,4,23,13.3,5.6,9.5,7.7,4.3
1828,Apr,4,24,14.4,7.8,11.1,6.6,0
1828,Apr,4,25,14.4,8.3,11.4,6.1,0
1828,Apr,4,26,17.1,6.1,11.6,11,4.6
1828,Apr,4,27,20,2.7,11.4,17.3,0
1828,Apr,4,28,20.6,7.8,14.2,12.8,0
1828,Apr,4,29,21.7,9.4,15.6,12.3,0
1828,Apr,4,30,17.2,11.1,14.2,6.1,0
1828,May,5,1,16.7,5,10.9,11.7,0
1828,May,5,2,17.2,3.9,10.6,13.3,0
1828,May,5,3,16.1,8.3,12.2,7.8,2.8
1828,May,5,4,16.1,10.6,13.4,5.5,0
1828,May,5,5,18.9,6.1,12.5,12.8,0
1828,May,5,6,17.2,5.6,11.4,11.6,1.9
1828,May,5,7,14.4,2.8,8.6,11.6,0
1828,May,5,8,14.4,6.7,10.6,7.7,1.6
1828,May,5,9,15.6,3.3,9.5,12.3,0
1828,May,5,10,17.7,5,11.4,12.7,0
1828,May,5,11,18.3,9.3,13.8,9,0
1828,May,5,12,18.9,8.3,13.6,10.6,0
1828,May,5,13,21.7,7.2,14.5,14.5,0
1828,May,5,14,20,8,14,12,0
1828,May,5,15,21.7,6.7,14.2,15,0
1828,May,5,16,21.1,11.7,16.4,9.4,0
1828,May,5,17,20.6,10.6,15.6,10,1.1
1828,May,5,18,17.8,13.3,15.6,4.5,5.1
1828,May,5,19,7.8,5,6.4,2.8,0
1828,May,5,20,16.7,4.4,10.6,12.3,0
1828,May,5,21,16.1,8.9,12.5,7.2,0
1828,May,5,22,15,8.9,12,6.1,0
1828,May,5,23,17.8,6.7,12.3,11.1,0
1828,May,5,24,18.7,12.2,15.5,6.5,0
1828,May,5,25,18.9,12.2,15.6,6.7,11.4
1828,May,5,26,20.8,10,15.4,10.8,4.3
1828,May,5,27,19.8,9.7,14.8,10.1,7.4
1828,May,5,28,19.6,14.1,16.9,5.5,0
1828,May,5,29,21.8,12.4,17.1,9.4,7.9
1828,May,5,30,22.4,10.2,16.3,12.2,0
1828,May,5,31,20.6,11.7,16.2,8.9,1.2
1828,Jun,6,1,19.6,11.2,15.4,8.4,0
1828,Jun,6,2,18.3,11.3,14.8,7,0.2
1828,Jun,6,3,17.8,10.6,14.2,7.2,0.1
1828,Jun,6,4,17.2,12.2,14.7,5,3.6
1828,Jun,6,5,17.2,8.3,12.8,8.9,8.1
1828,Jun,6,6,16.7,9.4,13.1,7.3,0
1828,Jun,6,7,15.6,10,12.8,5.6,0
1828,Jun,6,8,18.3,12.2,15.3,6.1,3.2
1828,Jun,6,9,21.1,11.7,16.4,9.4,2.8
1828,Jun,6,10,19.4,9.3,14.4,10.1,0
1828,Jun,6,11,20.6,12.2,16.4,8.4,0
1828,Jun,6,12,22.2,12.3,17.3,9.9,0
1828,Jun,6,13,23.3,10.6,17,12.7,0
1828,Jun,6,14,22.2,11.1,16.7,11.1,0
1828,Jun,6,15,22.8,11.7,17.3,11.1,0
1828,Jun,6,16,21.7,13.3,17.5,8.4,0
1828,Jun,6,17,21.1,13.9,17.5,7.2,12.8
1828,Jun,6,18,21.7,11.7,16.7,10,0
1828,Jun,6,19,21.1,13.3,17.2,7.8,3.2
1828,Jun,6,20,21.7,12.8,17.3,8.9,0
1828,Jun,6,21,20.6,14.4,17.5,6.2,5.3
1828,Jun,6,22,21.7,13.3,17.5,8.4,0
1828,Jun,6,23,21.7,10.6,16.2,11.1,4.7
1828,Jun,6,24,24.4,9.4,16.9,15,0
1828,Jun,6,25,28.3,11.7,20,16.6,0
1828,Jun,6,26,28.3,12.2,20.3,16.1,0
1828,Jun,6,27,25,15.9,20.5,9.1,0
1828,Jun,6,28,25.6,13.3,19.5,12.3,0
1828,Jun,6,29,25,15.2,20.1,9.8,0
1828,Jun,6,30,25,12.8,18.9,12.2,0
1828,Jul,7,1,23.9,15.6,19.8,8.3,0
1828,Jul,7,2,24.4,17.8,21.1,6.6,0
1828,Jul,7,3,25.6,18.3,22,7.3,0
1828,Jul,7,4,24.4,17.2,20.8,7.2,0
1828,Jul,7,5,23.9,16.7,20.3,7.2,0
1828,Jul,7,6,21.1,13.9,17.5,7.2,0.7
1828,Jul,7,7,22.8,18.3,20.6,4.5,0
1828,Jul,7,8,25.6,15,20.3,10.6,0
1828,Jul,7,9,18.9,15.6,17.3,3.3,28.8
1828,Jul,7,10,21.7,12.8,17.3,8.9,0
1828,Jul,7,11,23.3,15,19.2,8.3,0.5
1828,Jul,7,12,18.1,15.6,16.9,2.5,9.8
1828,Jul,7,13,17.8,11.9,14.9,5.9,8.3
1828,Jul,7,14,18.3,10.6,14.5,7.7,0
1828,Jul,7,15,20,12.8,16.4,7.2,13.3
1828,Jul,7,16,22.2,13.3,17.8,8.9,0
1828,Jul,7,17,22.8,15,18.9,7.8,3.1
1828,Jul,7,18,22.8,15.6,19.2,7.2,4.8
1828,Jul,7,19,20.6,14.4,17.5,6.2,0.7
1828,Jul,7,20,19.4,12.8,16.1,6.6,0
1828,Jul,7,21,21.7,11.7,16.7,10,9.7
1828,Jul,7,22,21.8,12.4,17.1,9.4,0
1828,Jul,7,23,21.7,13.9,17.8,7.8,2.2
1828,Jul,7,24,21.1,15,18.1,6.1,0
1828,Jul,7,25,22.2,15.6,18.9,6.6,0
1828,Jul,7,26,22.2,13.9,18.1,8.3,3.5
1828,Jul,7,27,17.8,11.7,14.8,6.1,9.3
1828,Jul,7,28,17.2,11.7,14.5,5.5,0
1828,Jul,7,29,16.7,11.1,13.9,5.6,0
1828,Jul,7,30,15.6,6.7,11.2,8.9,0.3
1828,Jul,7,31,14.2,6.7,10.5,7.5,0
1828,Aug,8,1,21.1,12.8,17,8.3,0
1828,Aug,8,2,18.9,13.9,16.4,5,6.6
1828,Aug,8,3,19.4,11.4,15.4,8,0
1828,Aug,8,4,18.7,12.2,15.5,6.5,5.6
1828,Aug,8,5,19.4,11.5,15.5,7.9,1
1828,Aug,8,6,20,11.1,15.6,8.9,0
1828,Aug,8,7,21.1,15,18.1,6.1,3.1
1828,Aug,8,8,20.6,14.4,17.5,6.2,13.8
1828,Aug,8,9,18.9,13.3,16.1,5.6,4
1828,Aug,8,10,18.9,12.8,15.9,6.1,2.2
1828,Aug,8,11,19.4,10.6,15,8.8,2.2
1828,Aug,8,12,18.9,12.8,15.9,6.1,8.3
1828,Aug,8,13,19.4,8.9,14.2,10.5,0
1828,Aug,8,14,13.3,11.7,12.5,1.6,16.9
1828,Aug,8,15,16.1,7.8,12,8.3,1.3
1828,Aug,8,16,19.4,7.8,13.6,11.6,0
1828,Aug,8,17,20,15,17.5,5,0
1828,Aug,8,18,17.8,11.7,14.8,6.1,7.1
1828,Aug,8,19,18.9,11.7,15.3,7.2,0
1828,Aug,8,20,20,11.7,15.9,8.3,0
1828,Aug,8,21,20,14.4,17.2,5.6,0
1828,Aug,8,22,17.2,11.1,14.2,6.1,0
1828,Aug,8,23,18.3,11.1,14.7,7.2,0.2
1828,Aug,8,24,22.8,10,16.4,12.8,0
1828,Aug,8,25,22.8,14.4,18.6,8.4,0
1828,Aug,8,26,21.1,15,18.1,6.1,0
1828,Aug,8,27,21.7,10,15.9,11.7,0
1828,Aug,8,28,22.8,10,16.4,12.8,0
1828,Aug,8,29,19.4,11.7,15.6,7.7,0
1828,Aug,8,30,19.4,16.1,17.8,3.3,0
1828,Aug,8,31,17.2,13.3,15.3,3.9,0
1828,Sep,9,1,17.8,13.3,15.6,4.5,0
1828,Sep,9,2,18.3,11.7,15,6.6,0
1828,Sep,9,3,17.8,10,13.9,7.8,0
1828,Sep,9,4,18.3,12.8,15.6,5.5,2.7
1828,Sep,9,5,16.7,11.1,13.9,5.6,12.8
1828,Sep,9,6,19.4,13.9,16.7,5.5,0
1828,Sep,9,7,22.8,14.4,18.6,8.4,0
1828,Sep,9,8,23.3,15.6,19.5,7.7,0
1828,Sep,9,9,21.7,16.7,19.2,5,2.7
1828,Sep,9,10,19.4,13.3,16.4,6.1,17.3
1828,Sep,9,11,20.2,13.9,17.1,6.3,0
1828,Sep,9,12,20.6,14.4,17.5,6.2,1.1
1828,Sep,9,13,20,12.8,16.4,7.2,11.3
1828,Sep,9,14,11.7,9.4,10.6,2.3,5.5
1828,Sep,9,15,15.1,6.7,10.9,8.4,0
1828,Sep,9,16,15.6,3.9,9.8,11.7,0
1828,Sep,9,17,15.6,4.4,10,11.2,0
1828,Sep,9,18,17.2,8.9,13.1,8.3,0
1828,Sep,9,19,17.8,6.7,12.3,11.1,0
1828,Sep,9,20,18.8,8.3,13.6,10.5,0
1828,Sep,9,21,18.3,5.5,11.9,12.8,0
1828,Sep,9,22,18.3,11.7,15,6.6,0
1828,Sep,9,23,19.4,11.1,15.3,8.3,0
1828,Sep,9,24,20,13.3,16.7,6.7,0
1828,Sep,9,25,21.1,13.9,17.5,7.2,0
1828,Sep,9,26,21.1,13.9,17.5,7.2,0
1828,Sep,9,27,18.3,13.3,15.8,5,0
1828,Sep,9,28,17.8,12.2,15,5.6,0
1828,Sep,9,29,17.8,11.1,14.5,6.7,12.4
1828,Sep,9,30,16.1,11.7,13.9,4.4,0
1828,Oct,10,1,13.9,10,12,3.9,6.9
1828,Oct,10,2,15,5.6,10.3,9.4,0
1828,Oct,10,3,15.6,3.9,9.8,11.7,0
1828,Oct,10,4,15.6,11.7,13.7,3.9,9
1828,Oct,10,5,16.7,9.4,13.1,7.3,0
1828,Oct,10,6,15,12.8,13.9,2.2,19.3
1828,Oct,10,7,14.4,8.9,11.7,5.5,4.9
1828,Oct,10,8,13.9,9.4,11.7,4.5,0
1828,Oct,10,9,13.9,8.3,11.1,5.6,0
1828,Oct,10,10,15.6,8.9,12.3,6.7,0
1828,Oct,10,11,16.1,8.3,12.2,7.8,0
1828,Oct,10,12,17.2,7.8,12.5,9.4,0
1828,Oct,10,13,17.2,7.8,12.5,9.4,0
1828,Oct,10,14,13.9,8.9,11.4,5,0
1828,Oct,10,15,12.8,7.8,10.3,5,0
1828,Oct,10,16,12.2,9.4,10.8,2.8,0
1828,Oct,10,17,13.3,10,11.7,3.3,0
1828,Oct,10,18,14.8,6.1,10.5,8.7,0
1828,Oct,10,19,11.6,6.1,8.9,5.5,0
1828,Oct,10,20,11,0.4,5.7,10.6,0
1828,Oct,10,21,15.1,5.1,10.1,10,0
1828,Oct,10,22,17.1,10.9,14,6.2,0
1828,Oct,10,23,11.4,10.7,11.1,0.7,12.3
1828,Oct,10,24,11.6,2.2,6.9,9.4,2.5
1828,Oct,10,25,12.2,5.9,9.1,6.3,0
1828,Oct,10,26,12.7,1.7,7.2,11,0
1828,Oct,10,27,11.2,5.4,8.3,5.8,0
1828,Oct,10,28,10.6,9,9.8,1.6,0
1828,Oct,10,29,9.1,2.2,5.7,6.9,0
1828,Oct,10,30,8.1,5.4,6.8,2.7,0
1828,Oct,10,31,10,6.9,8.5,3.1,0
1828,Nov,11,1,11.1,6.9,9,4.2,0
1828,Nov,11,2,10.8,9.7,10.3,1.1,0
1828,Nov,11,3,11.1,6.1,8.6,5,0
1828,Nov,11,4,10.9,4.4,7.7,6.5,0
1828,Nov,11,5,9.2,5,7.1,4.2,0
1828,Nov,11,6,9.4,2.8,6.1,6.6,0
1828,Nov,11,7,8.9,7.2,8.1,1.7,2.6
1828,Nov,11,8,2.2,1.1,1.7,1.1,0
1828,Nov,11,9,7.1,-1.7,2.7,8.8,0
1828,Nov,11,10,2.8,-0.5,1.2,3.3,0
1828,Nov,11,11,2.8,-4.4,-0.8,7.2,0
1828,Nov,11,12,6.1,-6.1,0,12.2,0
1828,Nov,11,13,10.6,2.2,6.4,8.4,0
1828,Nov,11,14,9.4,6.7,8.1,2.7,0
1828,Nov,11,15,11.3,7.8,9.6,3.5,6.5
1828,Nov,11,16,11.1,8.9,10,2.2,6.5
1828,Nov,11,17,10,7.8,8.9,2.2,4
1828,Nov,11,18,8.3,4.4,6.4,3.9,0
1828,Nov,11,19,10,3.9,7,6.1,3.6
1828,Nov,11,20,11.1,5.6,8.4,5.5,0
1828,Nov,11,21,12.2,8.3,10.3,3.9,0
1828,Nov,11,22,12.3,10,11.2,2.3,0.5
1828,Nov,11,23,10,2.1,6.1,7.9,0
1828,Nov,11,24,10.2,6.1,8.2,4.1,0
1828,Nov,11,25,11.1,7.2,9.2,3.9,0
1828,Nov,11,26,10,8.3,9.2,1.7,0
1828,Nov,11,27,11.1,6.1,8.6,5,4.6
1828,Nov,11,28,13.9,9.4,11.7,4.5,0.5
1828,Nov,11,29,13.1,8.9,11,4.2,0
1828,Nov,11,30,12.2,9.2,10.7,3,0
1828,Dec,12,1,6.5,6.4,6.5,0.1,0
1828,Dec,12,2,4.4,-1.6,1.4,6,0
1828,Dec,12,3,10.6,0.6,5.6,10,0
1828,Dec,12,4,12.2,8.3,10.3,3.9,0
1828,Dec,12,5,9.4,6.1,7.8,3.3,0
1828,Dec,12,6,10,3.3,6.7,6.7,0
1828,Dec,12,7,10,8.3,9.2,1.7,0.8
1828,Dec,12,8,6.7,5.6,6.2,1.1,16.9
1828,Dec,12,9,5.6,1.7,3.7,3.9,1.9
1828,Dec,12,10,10.6,2.2,6.4,8.4,0
1828,Dec,12,11,10.6,7.8,9.2,2.8,0
1828,Dec,12,12,11.1,3.9,7.5,7.2,0
1828,Dec,12,13,12.1,8.3,10.2,3.8,0
1828,Dec,12,14,9.5,9,9.3,0.5,0
1828,Dec,12,15,7.9,3.9,5.9,4,0
1828,Dec,12,16,9.8,3.9,6.9,5.9,0
1828,Dec,12,17,12.8,7.8,10.3,5,8.9
1828,Dec,12,18,11.7,9,10.4,2.7,2.9
1828,Dec,12,19,10.5,4.9,7.7,5.6,0
1828,Dec,12,20,11.2,7.8,9.5,3.4,0
1828,Dec,12,21,12.2,10.3,11.3,1.9,0
1828,Dec,12,22,12.8,10.2,11.5,2.6,0
1828,Dec,12,23,9.8,8.7,9.3,1.1,0
1828,Dec,12,24,10.5,6.1,8.3,4.4,4.5
1828,Dec,12,25,6.6,5.2,5.9,1.4,11.5
1828,Dec,12,26,5.8,-0.8,2.5,6.6,0
1828,Dec,12,27,5.1,1.8,3.5,3.3,0
1828,Dec,12,28,6.7,3.2,5,3.5,0
1828,Dec,12,29,3.9,-0.9,1.5,4.8,4.5
1828,Dec,12,30,7.3,-1.6,2.9,8.9,2.3
1828,Dec,12,31,9.6,4.6,7.1,5,0
1829,Jan,1,1,7.9,1.4,4.7,6.5,1.1
1829,Jan,1,2,5.6,2.3,4,3.3,0
